site_id,igbp,network,n_record_years,ge_10yr,ge_20yr
US-MMS,DBF,AmeriFlux;Phenocam,25,TRUE,TRUE
US-MN1,CRO,AmeriFlux,8,FALSE,FALSE
US-MN2,CRO,AmeriFlux,8,FALSE,FALSE
US-MN3,CRO,AmeriFlux,5,FALSE,FALSE
US-Mo1,CRO,AmeriFlux;LTAR;Phenocam,9,FALSE,FALSE
US-Mo2,GRA,AmeriFlux;LTAR;Phenocam,7,FALSE,FALSE
US-Mo3,CRO,AmeriFlux;LTAR;Phenocam,8,FALSE,FALSE
US-MOz,DBF,AmeriFlux;Phenocam,18,TRUE,FALSE
US-Mpj,WSA,AmeriFlux;Phenocam,18,TRUE,FALSE
US-MtB,ENF,AmeriFlux,15,TRUE,FALSE
US-Myb,WET,AmeriFlux;Phenocam,15,TRUE,FALSE
US-MZA,WET,AmeriFlux,0,FALSE,FALSE
US-NC1,ENF,AmeriFlux;USCCC,8,FALSE,FALSE
US-NC2,ENF,AmeriFlux;Phenocam;USCCC,21,TRUE,TRUE
US-NC3,ENF,AmeriFlux;USCCC,7,FALSE,FALSE
US-NC4,WET,AmeriFlux;Phenocam,13,TRUE,FALSE
US-NC5,ENF,AmeriFlux,1,FALSE,FALSE
US-Ne1,CRO,AmeriFlux,24,TRUE,TRUE
US-Ne2,CRO,AmeriFlux,24,TRUE,TRUE
US-Ne3,CRO,AmeriFlux,22,TRUE,TRUE
US-NGB,SNO,AmeriFlux;Phenocam,6,FALSE,FALSE
US-NGC,GRA,AmeriFlux,3,FALSE,FALSE
US-NR1,ENF,AmeriFlux;Phenocam,27,TRUE,TRUE
US-NR3,GRA,AmeriFlux,7,FALSE,FALSE
US-NSa,CRO,AmeriFlux,1,FALSE,FALSE
US-NSb,CRO,AmeriFlux,1,FALSE,FALSE
US-Oho,DBF,AmeriFlux;USCCC,10,TRUE,FALSE
US-ONA,GRA,AmeriFlux;LTAR,7,FALSE,FALSE
US-OPE,CRO,AmeriFlux;LTAR;Phenocam,1,FALSE,FALSE
US-OWC,WET,AmeriFlux,7,FALSE,FALSE
US-PAS,GRA,AmeriFlux;LTAR,2,FALSE,FALSE
US-PFb,ENF,AmeriFlux,0,FALSE,FALSE
US-PFc,DBF,AmeriFlux,0,FALSE,FALSE
US-PFd,WET,AmeriFlux,0,FALSE,FALSE
US-PFf,GRA,AmeriFlux,0,FALSE,FALSE
US-PFg,ENF,AmeriFlux,0,FALSE,FALSE
US-PFh,ENF,AmeriFlux,0,FALSE,FALSE
US-PFi,DBF,AmeriFlux,0,FALSE,FALSE
US-PFj,DBF,AmeriFlux,0,FALSE,FALSE
US-PFk,DBF,AmeriFlux,0,FALSE,FALSE
US-PFL,DBF,AmeriFlux,0,FALSE,FALSE
US-PFm,DBF,AmeriFlux,0,FALSE,FALSE
US-PFn,DBF,AmeriFlux,0,FALSE,FALSE
US-PFp,DBF,AmeriFlux,0,FALSE,FALSE
US-PFq,DBF,AmeriFlux,0,FALSE,FALSE
US-PFr,WET,AmeriFlux,0,FALSE,FALSE
US-PFt,ENF,AmeriFlux,0,FALSE,FALSE
US-PLo,WET,AmeriFlux,2,FALSE,FALSE
US-Prr,ENF,AmeriFlux,12,TRUE,FALSE
US-PSH,DBF,AmeriFlux,0,FALSE,FALSE
US-PSL,DBF,AmeriFlux,0,FALSE,FALSE
US-RC1,CRO,AmeriFlux;LTAR,5,FALSE,FALSE
US-RC2,CRO,AmeriFlux;LTAR,5,FALSE,FALSE
US-RC3,CRO,AmeriFlux,5,FALSE,FALSE
US-RC4,CRO,AmeriFlux,5,FALSE,FALSE
US-RC5,CRO,AmeriFlux,2,FALSE,FALSE
US-RGA,CRO,AmeriFlux;Phenocam,4,FALSE,FALSE
US-RGB,CRO,AmeriFlux;Phenocam,3,FALSE,FALSE
US-RGF,CRO,AmeriFlux;Phenocam,2,FALSE,FALSE
US-RGo,CRO,AmeriFlux;Phenocam,4,FALSE,FALSE
US-RGW,CRO,AmeriFlux;Phenocam,3,FALSE,FALSE
US-Rls,CSH,AmeriFlux;LTAR;Phenocam,9,FALSE,FALSE
US-Rms,CSH,AmeriFlux;LTAR;Phenocam,9,FALSE,FALSE
US-Ro1,CRO,AmeriFlux;Phenocam,13,TRUE,FALSE
US-Ro2,CRO,AmeriFlux;Phenocam,7,FALSE,FALSE
US-Ro3,CRO,AmeriFlux,4,FALSE,FALSE
US-Ro4,GRA,AmeriFlux;Phenocam,12,TRUE,FALSE
US-Ro5,CRO,AmeriFlux;Phenocam,8,FALSE,FALSE
US-Ro6,CRO,AmeriFlux;Phenocam,8,FALSE,FALSE
US-Rpf,DBF,AmeriFlux,16,TRUE,FALSE
US-RRC,WET,AmeriFlux;Phenocam,3,FALSE,FALSE
US-Rwe,CSH,AmeriFlux,5,FALSE,FALSE
US-Rwf,CSH,AmeriFlux;LTAR,10,TRUE,FALSE
US-Rws,OSH,AmeriFlux;LTAR;Phenocam,9,FALSE,FALSE
US-Sag,WET,AmeriFlux,0,FALSE,FALSE
US-SD1,CRO,AmeriFlux,2,FALSE,FALSE
US-SD2,CRO,AmeriFlux,2,FALSE,FALSE
US-Seg,GRA,AmeriFlux;Phenocam,19,TRUE,FALSE
US-Ses,OSH,AmeriFlux;Phenocam,19,TRUE,FALSE
US-SHC,ENF,AmeriFlux;Phenocam,4,FALSE,FALSE
US-Slt,DBF,AmeriFlux;Phenocam,18,TRUE,FALSE
US-Sne,GRA,AmeriFlux;Phenocam,4,FALSE,FALSE
US-Snf,GRA,AmeriFlux;Phenocam,2,FALSE,FALSE
US-SP1,ENF,AmeriFlux;Phenocam,20,TRUE,TRUE
US-SRC,OSH,AmeriFlux,6,FALSE,FALSE
US-SRG,GRA,AmeriFlux;LTAR;Phenocam,18,TRUE,FALSE
US-SRM,WSA,AmeriFlux;LTAR;Phenocam,22,TRUE,TRUE
US-Srr,WET,AmeriFlux,4,FALSE,FALSE
US-SRS,WSA,AmeriFlux,8,FALSE,FALSE
US-SSH,DBF,AmeriFlux;Phenocam,5,FALSE,FALSE
US-Sta,OSH,AmeriFlux,3,FALSE,FALSE
US-StJ,WET,AmeriFlux;Phenocam,6,FALSE,FALSE
US-Syv,MF,AmeriFlux;Phenocam,20,TRUE,TRUE
US-TaS,WET,AmeriFlux;LTER,6,FALSE,FALSE
US-TKs,CSH,AmeriFlux,8,FALSE,FALSE
US-TLR,MF,AmeriFlux,1,FALSE,FALSE
US-Ton,WSA,AmeriFlux;Phenocam,25,TRUE,TRUE
US-Tw1,WET,AmeriFlux;Phenocam,13,TRUE,FALSE
US-Tw2,CRO,AmeriFlux,1,FALSE,FALSE
US-Tw3,CRO,AmeriFlux;Phenocam,5,FALSE,FALSE
US-Tw4,WET,AmeriFlux;Phenocam,11,TRUE,FALSE
US-Tw5,WET,AmeriFlux;Phenocam,2,FALSE,FALSE
US-Twt,CRO,AmeriFlux;Phenocam,8,FALSE,FALSE
US-Uaf,ENF,AmeriFlux,23,TRUE,TRUE
US-UC1,CVM,AmeriFlux;LTAR,6,FALSE,FALSE
US-UC2,CVM,AmeriFlux;LTAR,6,FALSE,FALSE
US-UiA,CRO,AmeriFlux,10,TRUE,FALSE
US-UiB,CRO,AmeriFlux,17,TRUE,FALSE
US-UiC,CRO,AmeriFlux,17,TRUE,FALSE
US-UiD,GRA,AmeriFlux,8,FALSE,FALSE
US-UiE,CRO,AmeriFlux,7,FALSE,FALSE
US-UiF,CRO,AmeriFlux,5,FALSE,FALSE
US-UiG,CRO,AmeriFlux,6,FALSE,FALSE
US-UMd,DBF,AmeriFlux;Phenocam,19,TRUE,FALSE
US-UTB,BSV,AmeriFlux;UFLUX,2,FALSE,FALSE
US-UTD,CRO,AmeriFlux;UFLUX,1,FALSE,FALSE
US-UTE,CRO,AmeriFlux;UFLUX,1,FALSE,FALSE
US-UTJ,CRO,AmeriFlux;UFLUX,2,FALSE,FALSE
US-UTL,CRO,AmeriFlux;UFLUX,1,FALSE,FALSE
US-UTM,WET,AmeriFlux;UFLUX,2,FALSE,FALSE
US-UTP,WET,AmeriFlux;UFLUX,0,FALSE,FALSE
US-UTV,CRO,AmeriFlux;UFLUX,2,FALSE,FALSE
US-UTW,CRO,AmeriFlux;UFLUX,4,FALSE,FALSE
US-Var,GRA,AmeriFlux;Phenocam,25,TRUE,TRUE
US-Vcm,ENF,AmeriFlux,18,TRUE,FALSE
US-Vcp,ENF,AmeriFlux,19,TRUE,FALSE
US-VT1,CRO,AmeriFlux,2,FALSE,FALSE
US-VT2,CRO,AmeriFlux,2,FALSE,FALSE
US-WCr,DBF,AmeriFlux;Phenocam,23,TRUE,TRUE
US-Whs,OSH,AmeriFlux;LTAR;Phenocam,19,TRUE,FALSE
US-Wjs,SAV,AmeriFlux,19,TRUE,FALSE
US-Wkg,GRA,AmeriFlux;LTAR;Phenocam,22,TRUE,TRUE
US-WPT,WET,AmeriFlux,3,FALSE,FALSE
US-WT1,CRO,AmeriFlux,1,FALSE,FALSE
US-xAB,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xAE,GRA,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xBA,WET,AmeriFlux;NEON;Phenocam,4,FALSE,FALSE
US-xBL,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xBN,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xBR,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xCL,GRA,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xCP,GRA,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xDC,GRA,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xDJ,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xDL,MF,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xDS,CVM,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xGR,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xHE,OSH,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xJE,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xJR,OSH,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xKZ,GRA,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xLE,DBF,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xMB,OSH,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xML,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xNG,GRA,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xNQ,OSH,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xNW,ENF,AmeriFlux;NEON;Phenocam,4,FALSE,FALSE
US-xPU,EBF,AmeriFlux;NEON,6,FALSE,FALSE
US-xRM,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xRN,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xSB,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xSC,DBF,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xSE,DBF,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xSJ,SAV,AmeriFlux;NEON,6,FALSE,FALSE
US-xSL,CRO,AmeriFlux;NEON,6,FALSE,FALSE
US-xSP,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xSR,OSH,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xST,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xTE,ENF,AmeriFlux;NEON,6,FALSE,FALSE
US-xTL,WET,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xTR,DBF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xUK,DBF,AmeriFlux;NEON;Phenocam,5,FALSE,FALSE
US-xUN,MF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xWD,GRA,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xWR,ENF,AmeriFlux;NEON;Phenocam,6,FALSE,FALSE
US-xYE,ENF,AmeriFlux;NEON,6,FALSE,FALSE
US-YK1,WET,AmeriFlux,4,FALSE,FALSE
US-YK2,WET,AmeriFlux,4,FALSE,FALSE
US-ZF2,CRO,AmeriFlux,1,FALSE,FALSE
ZA-Uby,GRA,EFTEON SAEON;European Fluxes Database,2,FALSE,FALSE
ZA-Spk,GRA,EFTEON SAEON;European Fluxes Database,2,FALSE,FALSE
ZA-Jks,GRA,EFTEON SAEON;European Fluxes Database,1,FALSE,FALSE
ZA-BfS,OSH,EFTEON SAEON;European Fluxes Database,5,FALSE,FALSE
ZA-BfK,OSH,EFTEON SAEON;European Fluxes Database,5,FALSE,FALSE
KR-WdE,EBF,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-UAO,CRO,AsiaFlux;KoFlux,3,FALSE,FALSE
KR-TwC,ENF,NA,1,FALSE,FALSE
KR-TwB,DBF,NA,1,FALSE,FALSE
KR-SmM,MF,NA,7,FALSE,FALSE
KR-ScC,ENF,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-PcD,DBF,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-Nj2,CRO,AsiaFlux;KoFlux,2,FALSE,FALSE
KR-Nj1,CRO,NA,2,FALSE,FALSE
KR-Kw2,DBF,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-Kw1,ENF,NA,5,FALSE,FALSE
KR-JjM,MF,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-Hnm,CRO,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-HcM,MF,AsiaFlux;KoFlux,4,FALSE,FALSE
KR-HPK,CRO,AsiaFlux;KoFlux,3,FALSE,FALSE
KR-GmS,CRO,AsiaFlux;KoFlux,3,FALSE,FALSE
KR-GmR,CRO,AsiaFlux;KoFlux,3,FALSE,FALSE
KR-GmP,CRO,NA,2,FALSE,FALSE
KR-CmF,CRO,NA,8,FALSE,FALSE
KR-CRK,CRO,AsiaFlux;KoFlux,7,FALSE,FALSE
KR-AdC,ENF,AsiaFlux;KoFlux,4,FALSE,FALSE
TH-Mae,DBF,AsiaFlux;JapanFlux,10,TRUE,FALSE
TH-Kog,EBF,AsiaFlux;JapanFlux,5,FALSE,FALSE
RU-Tur,DNF,AsiaFlux;JapanFlux,0,FALSE,FALSE
RU-SkP,DNF,AsiaFlux;JapanFlux;PAGE21,8,FALSE,FALSE
RU-Sk2,ENF,AsiaFlux;JapanFlux,3,FALSE,FALSE
