site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
US-Bar,USA – NH – Bartlett Experimental Forest,44.06460189819336,-71.28807830810547,DBF,LaThuile,measured
US-Bkg,USA – SD – Brookings,44.345298767089844,-96.83619689941406,GRA,LaThuile,measured
US-Blo,USA – CA – Blodgett Forest,38.895198822021484,-120.63275146484375,ENF,LaThuile,measured
US-Bn1,"USA – AK – Bonanza Creek, 1920 Burn site near Delta Junction",63.9197998046875,-145.3780059814453,ENF,LaThuile,measured
US-Bn2,"USA – AK – Bonanza Creek, 1987 Burn site near Delta Junction",63.9197998046875,-145.3780059814453,DBF,LaThuile,measured
US-Bn3,"USA – AK – Bonanza Creek, 1999 Burn site near Delta Junction",63.922698974609375,-145.74400329589844,OSH,LaThuile,measured
US-Bo1,USA – IL – Bondville,40.00619888305664,-88.29039764404297,CRO,LaThuile,measured
US-Bo2,USA – IL – Bondville (companion site),40.00899887084961,-88.29000091552734,CRO,LaThuile,measured
US-Brw,USA – AK – Barrow,71.32250213623047,-156.6259002685547,WET,LaThuile,measured
US-CaV,USA – WV – Canaan Valley,39.06330108642578,-79.4207992553711,GRA,LaThuile,measured
US-Dk1,USA – NC – Duke Forest-open field,35.97119903564453,-79.09339904785156,GRA,LaThuile,measured
US-Dk2,USA – NC – Duke Forest-hardwoods,35.97359848022461,-79.10040283203125,DBF,LaThuile,measured
US-Dk3,USA – NC – Duke Forest – loblolly pine,35.97819900512695,-79.09420013427734,ENF,LaThuile,measured
US-Fmf,USA – AZ – Flagstaff – Managed Forest,35.142601013183594,-111.72730255126953,ENF,LaThuile,measured
US-FPe,USA – MT – Fort Peck,48.307701110839844,-105.10189819335938,GRA,LaThuile,measured
US-FR2,USA – TX – Freeman Ranch- Mesquite Juniper,29.949499130249023,-97.99620056152344,WSA,LaThuile,measured
US-Fuf,USA – AZ – Flagstaff – Unmanaged Forest,35.0890007019043,-111.76200103759766,ENF,LaThuile,measured
US-Fwf,USA – AZ – Flagstaff – Wildfire,35.44540023803711,-111.77179718017578,GRA,LaThuile,measured
US-Goo,USA – MS – Goodwin Creek,34.25469970703125,-89.87349700927734,GRA,LaThuile,measured
US-Ha1,USA – MA – Harvard Forest EMS Tower (HFR1),42.53779983520508,-72.17150115966797,DBF,LaThuile,measured
US-Ha2,USA – MA – Harvard Forest Hemlock Site,42.53929901123047,-72.17790222167969,ENF,LaThuile,measured
US-Ho1,USA – ME – Howland Forest (main tower),45.2041015625,-68.74019622802734,ENF,LaThuile,measured
US-Ho2,USA – ME – Howland Forest (west tower),45.20909881591797,-68.74700164794922,ENF,LaThuile,measured
US-IB1,USA – IL – Fermi National Accelerator Laboratory- Batavia (Agricultural site),41.85929870605469,-88.22270202636719,CRO,LaThuile,measured
US-IB2,USA – IL – Fermi National Accelerator Laboratory- Batavia (Prairie site),41.840599060058594,-88.240997314453125,GRA,LaThuile,measured
US-Ivo,USA – AK – Ivotuk,68.48650360107422,-155.75,WET,LaThuile,measured
US-KS1,USA – FL – Kennedy Space Center (slash pine),28.45829963684082,-80.6708984375,ENF,LaThuile,measured
US-KS2,USA – FL – Kennedy Space Center (scrub oak),28.608600616455078,-80.67150115966797,CSH,LaThuile,measured
US-Los,USA – WI – Lost Creek,46.082698822021484,-89.97920227050781,CSH,LaThuile,measured
US-LPH,USA – MA – Little Prospect Hill,42.541900634765625,-72.18499755859375,DBF,LaThuile,measured
US-Me1,USA – OR – Metolius – Eyerly burn,44.57939910888672,-121.5,ENF,LaThuile,measured
US-Me2,USA – OR – Metolius-intermediate aged ponderosa pine,44.452301025390625,-121.55740356445312,ENF,LaThuile,measured
US-Me3,USA – OR – Metolius-second young aged pine,44.315399169921875,-121.60780334472656,ENF,LaThuile,measured
US-Me4,USA – OR – Metolius-old aged ponderosa pine,44.49919891357422,-121.62239837646484,ENF,LaThuile,measured
US-MMS,USA – IN – Morgan Monroe State Forest,39.32310104370117,-86.41310119628906,DBF,LaThuile,measured
US-MOz,USA – MO – Missouri Ozark Site,38.74409866333008,-92.19999694824219,DBF,LaThuile,measured
US-NC1,USA – NC – NC_Clearcut,35.811500549316406,-76.71150207519531,OSH,LaThuile,measured
US-NC2,USA – NC – NC_Loblolly Plantation,35.8031005859375,-76.66790008544922,ENF,LaThuile,measured
US-Ne1,USA – NE – Mead – irrigated continuous maize site,41.16510009765625,-96.47660064697266,CRO,LaThuile,measured
US-Ne2,USA – NE – Mead – irrigated maize-soybean rotation site,41.16490173339844,-96.47010040283203,CRO,LaThuile,measured
US-Ne3,USA – NE – Mead – rainfed maize-soybean rotation site,41.1796989440918,-96.439697265625,CRO,LaThuile,measured
US-NR1,USA – CO – Niwot Ridge Forest (LTER NWT1),40.032901763916016,-105.5459976196289,ENF,LaThuile,measured
US-Oho,USA – OH – Oak Openings,41.554500579833984,-83.84380340576172,DBF,LaThuile,measured
US-PFa,USA – WI – Park Falls/WLEF,45.945899963378906,-90.27230072021484,MF,LaThuile,measured
US-SO2,USA – CA – Sky Oaks- Old Stand,33.3739013671875,-116.62288665771484,CSH,LaThuile,measured
US-SO3,USA – CA – Sky Oaks- Young Stand,33.377201080322266,-116.62268829345703,CSH,LaThuile,measured
US-SO4,USA – CA – Sky Oaks- New Stand,33.3843994140625,-116.64025115966797,CSH,LaThuile,measured
US-SP1,USA – FL – Slashpine-Austin Cary- 65yrs nat regen,29.738100051879883,-82.21880340576172,ENF,LaThuile,measured
US-SP2,"USA – FL – Slashpine-Mize-clearcut-3yr,regen",29.764799118041992,-82.24479675292969,ENF,LaThuile,measured
US-SP3,USA – FL – Slashpine-Donaldson-mid-rot- 12yrs,29.75480079650879,-82.163299560546875,ENF,LaThuile,measured
US-SP4,USA – FL – Slashpine-Rayonier-mid-rot- 12yrs,29.802799224853516,-82.2031021118164,ENF,LaThuile,measured
US-SRM,USA – AZ – Santa Rita Mesquite,31.821399688720703,-110.86599731445312,WSA,LaThuile,measured
US-Syv,USA – MI – Sylvania Wilderness Area,46.242000579833984,-89.34770202636719,MF,LaThuile,measured
US-Ton,USA – CA – Tonzi Ranch,38.43159866333008,-120.96600341796875,WSA,LaThuile,measured
US-UMB,USA – MI – Univ. of Mich. Biological Station,45.55979919433594,-84.71379852294922,DBF,LaThuile,measured
US-Var,USA – CA – Vaira Ranch- Ione,38.413299560546875,-120.95072937011719,GRA,LaThuile,measured
US-WBW,USA – TN – Walker Branch Watershed,35.95880126953125,-84.28739929199219,DBF,LaThuile,measured
US-WCr,USA – WI – Willow Creek,45.80590057373047,-90.07990264892578,DBF,LaThuile,measured
US-Wi0,USA – WI – Young red pine (YRP),46.61880111694336,-91.0813980102539,ENF,LaThuile,measured
US-Wi1,USA – WI – Intermediate hardwood (IHW),46.730499267578125,-91.23290252685547,DBF,LaThuile,measured
US-Wi2,USA – WI – Intermediate red pine (IRP),46.6869010925293,-91.152801513671875,ENF,LaThuile,measured
US-Wi4,USA – WI – Mature red pine (MRP),46.73929977416992,-91.16629791259766,ENF,LaThuile,measured
US-Wi5,USA – WI – Mixed young jack pine (MYJP),46.653099060058594,-91.08580017089844,ENF,LaThuile,measured
US-Wi6,USA – WI – Pine barrens #1 (PB1),46.624900817871094,-91.29820251464844,OSH,LaThuile,measured
US-Wi7,USA – WI – Red pine clearcut (RPCC),46.64910125732422,-91.06929779052734,OSH,LaThuile,measured
US-Wi8,USA – WI – Young hardwood clearcut (YHW),46.7223014831543,-91.25240325927734,DBF,LaThuile,measured
US-Wi9,USA – WI – Young Jack pine (YJP),46.61880111694336,-91.0813980102539,ENF,LaThuile,measured
US-Wkg,USA – AZ – Walnut Gulch Kendall Grasslands,31.736499786376953,-109.94200134277344,GRA,LaThuile,measured
US-Wrc,USA – WA – Wind River Crane Site,45.820499420166016,-121.9520034790039,ENF,LaThuile,measured
VU-Coc,Vanuatu – CocoFlux,-15.442700386047363,167.19200134277344,EBF,LaThuile,measured
ZA-Kru,South Africa – Skukuza- Kruger National Park,-25.019699096679688,31.49690055847168,SAV,LaThuile,measured
