site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
US-BZo,64.6936,-148.33,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-CAK,64.8618,-163.7002,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
US-CdM,37.5241,-109.7471,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
US-Ced,39.8379,-74.3791,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-CF1,46.7815,-117.0821,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CF2,46.784,-117.0908,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CF3,46.7551,-117.1261,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CF4,46.7518,-117.1285,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CGG,37.938,-121.9761,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
US-ChR,35.9311,-84.3324,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
US-CLF,40.6366,-77.9424,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",10,Other,exact,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",4,Mosaic nat-veg/cropland,10,Other
US-Cms,71.3202,-156.6223,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
US-CMW,31.6637,-110.1777,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",8,NL deciduous forest,2,Forest
US-Cop,38.09,-109.39,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
US-CRK,31.4629,-95.3415,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-CRT,41.6285,-83.3471,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CS1,44.1031,-89.5379,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CS2,44.1467,-89.5002,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-CS3,44.1394,-89.5727,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
US-CS4,44.1597,-89.5475,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
