site_id,site_name,country,lat,lon,elev,igbp,dataset
US-Bo2,USA – IL – Bondville (companion site),USA,40.00899887084961,-88.29000091552734,219,CRO,LaThuile
US-Brw,USA – AK – Barrow,USA,71.32250213623047,-156.6259002685547,1,WET,LaThuile
US-CaV,USA – WV – Canaan Valley,USA,39.06330108642578,-79.4207992553711,994,GRA,LaThuile
US-Dk1,USA – NC – Duke Forest-open field,USA,35.97119903564453,-79.09339904785156,168,GRA,LaThuile
US-Dk2,USA – NC – Duke Forest-hardwoods,USA,35.97359848022461,-79.10040283203125,168,DBF,LaThuile
US-Dk3,USA – NC – Duke Forest – loblolly pine,USA,35.97819900512695,-79.09420013427734,163,ENF,LaThuile
US-Fmf,USA – AZ – Flagstaff – Managed Forest,USA,35.142601013183594,-111.72730255126953,2160,ENF,LaThuile
US-FPe,USA – MT – Fort Peck,USA,48.307701110839844,-105.10189819335938,634,GRA,LaThuile
US-FR2,USA – TX – Freeman Ranch- Mesquite Juniper,USA,29.949499130249023,-97.99620056152344,271.9,WSA,LaThuile
US-Fuf,USA – AZ – Flagstaff – Unmanaged Forest,USA,35.0890007019043,-111.76200103759766,2180,ENF,LaThuile
US-Fwf,USA – AZ – Flagstaff – Wildfire,USA,35.44540023803711,-111.77179718017578,2270,GRA,LaThuile
US-Goo,USA – MS – Goodwin Creek,USA,34.25469970703125,-89.87349700927734,87,GRA,LaThuile
US-Ha1,USA – MA – Harvard Forest EMS Tower (HFR1),USA,42.53779983520508,-72.17150115966797,340,DBF,LaThuile
US-Ha2,USA – MA – Harvard Forest Hemlock Site,USA,42.53929901123047,-72.17790222167969,360,ENF,LaThuile
US-Ho1,USA – ME – Howland Forest (main tower),USA,45.2041015625,-68.74019622802734,60,ENF,LaThuile
US-Ho2,USA – ME – Howland Forest (west tower),USA,45.20909881591797,-68.74700164794922,91,ENF,LaThuile
US-IB1,USA – IL – Fermi National Accelerator Laboratory- Batavia (Agricultural site),USA,41.85929870605469,-88.22270202636719,NA,CRO,LaThuile
US-IB2,USA – IL – Fermi National Accelerator Laboratory- Batavia (Prairie site),USA,41.840599060058594,-88.240997314453125,NA,GRA,LaThuile
US-Ivo,USA – AK – Ivotuk,USA,68.48650360107422,-155.75,NA,WET,LaThuile
US-KS1,USA – FL – Kennedy Space Center (slash pine),USA,28.45829963684082,-80.6708984375,NA,ENF,LaThuile
US-KS2,USA – FL – Kennedy Space Center (scrub oak),USA,28.608600616455078,-80.67150115966797,3,CSH,LaThuile
US-Los,USA – WI – Lost Creek,USA,46.082698822021484,-89.97920227050781,480,CSH,LaThuile
US-LPH,USA – MA – Little Prospect Hill,USA,42.541900634765625,-72.18499755859375,NA,DBF,LaThuile
US-Me1,USA – OR – Metolius – Eyerly burn,USA,44.57939910888672,-121.5,896,ENF,LaThuile
US-Me2,USA – OR – Metolius-intermediate aged ponderosa pine,USA,44.452301025390625,-121.55740356445312,1253,ENF,LaThuile
US-Me3,USA – OR – Metolius-second young aged pine,USA,44.315399169921875,-121.60780334472656,1005,ENF,LaThuile
US-Me4,USA – OR – Metolius-old aged ponderosa pine,USA,44.49919891357422,-121.62239837646484,922,ENF,LaThuile
US-MMS,USA – IN – Morgan Monroe State Forest,USA,39.32310104370117,-86.41310119628906,275,DBF,LaThuile
US-MOz,USA – MO – Missouri Ozark Site,USA,38.74409866333008,-92.19999694824219,219.4,DBF,LaThuile
US-NC1,USA – NC – NC_Clearcut,USA,35.811500549316406,-76.71150207519531,5,OSH,LaThuile
US-NC2,USA – NC – NC_Loblolly Plantation,USA,35.8031005859375,-76.66790008544922,12,ENF,LaThuile
US-Ne1,USA – NE – Mead – irrigated continuous maize site,USA,41.16510009765625,-96.47660064697266,361,CRO,LaThuile
US-Ne2,USA – NE – Mead – irrigated maize-soybean rotation site,USA,41.16490173339844,-96.47010040283203,362,CRO,LaThuile
US-Ne3,USA – NE – Mead – rainfed maize-soybean rotation site,USA,41.1796989440918,-96.439697265625,363,CRO,LaThuile
US-NR1,USA – CO – Niwot Ridge Forest (LTER NWT1),USA,40.032901763916016,-105.5459976196289,3050,ENF,LaThuile
US-Oho,USA – OH – Oak Openings,USA,41.554500579833984,-83.84380340576172,230,DBF,LaThuile
US-PFa,USA – WI – Park Falls/WLEF,USA,45.945899963378906,-90.27230072021484,470,MF,LaThuile
US-SO2,USA – CA – Sky Oaks- Old Stand,USA,33.3739013671875,-116.62288665771484,1394,CSH,LaThuile
US-SO3,USA – CA – Sky Oaks- Young Stand,USA,33.377201080322266,-116.62268829345703,1429,CSH,LaThuile
US-SO4,USA – CA – Sky Oaks- New Stand,USA,33.3843994140625,-116.64025115966797,1429,CSH,LaThuile
US-SP1,USA – FL – Slashpine-Austin Cary- 65yrs nat regen,USA,29.738100051879883,-82.21880340576172,50,ENF,LaThuile
US-SP2,"USA – FL – Slashpine-Mize-clearcut-3yr,regen",USA,29.764799118041992,-82.24479675292969,50,ENF,LaThuile
US-SP3,USA – FL – Slashpine-Donaldson-mid-rot- 12yrs,USA,29.75480079650879,-82.163299560546875,50,ENF,LaThuile
US-SP4,USA – FL – Slashpine-Rayonier-mid-rot- 12yrs,USA,29.802799224853516,-82.2031021118164,NA,ENF,LaThuile
US-SRM,USA – AZ – Santa Rita Mesquite,USA,31.821399688720703,-110.86599731445312,1120,WSA,LaThuile
US-Syv,USA – MI – Sylvania Wilderness Area,USA,46.242000579833984,-89.34770202636719,540,MF,LaThuile
US-Ton,USA – CA – Tonzi Ranch,USA,38.43159866333008,-120.96600341796875,177,WSA,LaThuile
US-UMB,USA – MI – Univ. of Mich. Biological Station,USA,45.55979919433594,-84.71379852294922,234,DBF,LaThuile
US-Var,USA – CA – Vaira Ranch- Ione,USA,38.413299560546875,-120.95072937011719,129,GRA,LaThuile
US-WBW,USA – TN – Walker Branch Watershed,USA,35.95880126953125,-84.28739929199219,283,DBF,LaThuile
US-WCr,USA – WI – Willow Creek,USA,45.80590057373047,-90.07990264892578,520,DBF,LaThuile
US-Wi0,USA – WI – Young red pine (YRP),USA,46.61880111694336,-91.0813980102539,NA,ENF,LaThuile
US-Wi1,USA – WI – Intermediate hardwood (IHW),USA,46.730499267578125,-91.23290252685547,NA,DBF,LaThuile
US-Wi2,USA – WI – Intermediate red pine (IRP),USA,46.6869010925293,-91.152801513671875,NA,ENF,LaThuile
US-Wi4,USA – WI – Mature red pine (MRP),USA,46.73929977416992,-91.16629791259766,NA,ENF,LaThuile
US-Wi5,USA – WI – Mixed young jack pine (MYJP),USA,46.653099060058594,-91.08580017089844,NA,ENF,LaThuile
US-Wi6,USA – WI – Pine barrens #1 (PB1),USA,46.624900817871094,-91.29820251464844,NA,OSH,LaThuile
US-Wi7,USA – WI – Red pine clearcut (RPCC),USA,46.64910125732422,-91.06929779052734,NA,OSH,LaThuile
