site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_twoletter,koppen_main,koppen_main_name,koppen_method
US-Los,46.0827,-89.9792,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-LWW,34.9604,-97.9789,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
US-Me1,44.5794,-121.5,9,Csb,"Temperate, dry summer, warm summer",Cs,C,Temperate,exact
US-Me2,44.4526,-121.5589,18,Dsb,"Cold, dry summer, warm summer",Ds,D,Cold,exact
US-Me3,44.3154,-121.6078,9,Csb,"Temperate, dry summer, warm summer",Cs,C,Temperate,exact
US-Me4,44.4992,-121.6224,9,Csb,"Temperate, dry summer, warm summer",Cs,C,Temperate,exact
US-Me5,44.4372,-121.5668,18,Dsb,"Cold, dry summer, warm summer",Ds,D,Cold,exact
US-Me6,44.3233,-121.6078,9,Csb,"Temperate, dry summer, warm summer",Cs,C,Temperate,exact
US-MMS,39.3232,-86.4131,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-Myb,38.0499,-121.765,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-Ne1,41.1651,-96.4766,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-Ne2,41.1649,-96.4701,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-Ne3,41.1797,-96.4397,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-NR1,40.0329,-105.5464,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
US-Oho,41.5545,-83.8438,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-ORv,40.0201,-83.0183,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
US-PFa,45.9459,-90.2723,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Prr,65.1237,-147.4876,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-SRC,31.9083,-110.8395,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
US-SRG,31.7894,-110.8277,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
US-SRM,31.8214,-110.8661,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
US-Sta,41.3966,-106.8024,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Syv,46.242,-89.3477,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Ton,38.4309,-120.966,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-Tw1,38.1074,-121.6469,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-Tw2,38.0969,-121.6365,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-Tw3,38.1152,-121.6469,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-Tw4,38.1027,-121.6413,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-Twt,38.1087,-121.6531,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-UMB,45.5598,-84.7138,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-UMd,45.5625,-84.6975,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Var,38.4133,-120.9508,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
US-WCr,45.8059,-90.0799,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Whs,31.7438,-110.0522,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
US-Wi0,46.6188,-91.0814,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi1,46.7305,-91.2329,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi2,46.6869,-91.1528,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi3,46.6347,-91.0987,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi4,46.7393,-91.1663,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi5,46.6531,-91.0858,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi6,46.6249,-91.2982,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi7,46.6491,-91.0693,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi8,46.7223,-91.2524,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wi9,46.7385,-91.0746,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
US-Wkg,31.7365,-109.9419,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
US-WPT,41.4646,-82.9962,25,Dfa,"Cold, no dry season, hot summer",Df,D,Cold,exact
ZA-Kru,-25.0197,31.4969,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
ZM-Mon,-15.4391,23.2525,11,Cwa,"Temperate, dry winter, hot summer",Cw,C,Temperate,exact
