site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
US-CMW,31.6637,-110.1777,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Cop,38.09,-109.39,120,Shrubland,3,Shrubland,exact
US-CRK,31.4629,-95.3415,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-CRT,41.6285,-83.3471,11,Herbaceous cover,1,Cropland,exact
US-CS1,44.1031,-89.5379,11,Herbaceous cover,1,Cropland,exact
US-CS2,44.1467,-89.5002,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-CS3,44.1394,-89.5727,11,Herbaceous cover,1,Cropland,exact
US-CS4,44.1597,-89.5475,11,Herbaceous cover,1,Cropland,exact
US-CS5,44.1095,-89.5377,11,Herbaceous cover,1,Cropland,exact
US-CS6,44.4297,-89.544,11,Herbaceous cover,1,Cropland,exact
US-CS8,44.4338,-89.5364,11,Herbaceous cover,1,Cropland,exact
US-Cst,33.0442,-91.9204,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Cwt,35.0592,-83.4275,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-DFC,43.3448,-89.7117,11,Herbaceous cover,1,Cropland,exact
US-DFK,43.3453,-89.7154,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
US-Dix,39.9712,-74.4346,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Dk1,35.9712,-79.0934,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-Dk2,35.9736,-79.1004,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Dk3,35.9782,-79.0942,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Dmg,38.0015,-121.6691,11,Herbaceous cover,1,Cropland,exact
US-DPW,28.0521,-81.4361,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-DS1,38.1335,-121.539,11,Herbaceous cover,1,Cropland,exact
US-DS2,38.1375,-121.514,11,Herbaceous cover,1,Cropland,exact
US-DS3,38.1235,-121.549,11,Herbaceous cover,1,Cropland,exact
US-EA4,29.6633,-98.3816,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-EA5,29.3584,-99.9576,10,"Cropland, rainfed",1,Cropland,exact
US-EA6,29.6561,-99.9588,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-EDN,37.6156,-122.114,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-EKH,36.8094,-121.7523,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-EKN,36.8357,-121.7328,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-EKP,36.8558,-121.7488,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Elm,25.5519,-80.7826,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-EML,63.8784,-149.2536,130,Grassland,4,Grassland,exact
US-Esm,25.4379,-80.5946,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-EvM,25.3539,-80.381,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-Fcr,65.3968,-148.9348,120,Shrubland,3,Shrubland,exact
US-Fmf,35.1426,-111.7273,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Fo1,70.085,-148.5671,140,Lichens and mosses,10,Other,exact
US-Fo2,70.0229,-148.6598,140,Lichens and mosses,10,Other,exact
US-Fuf,35.089,-111.762,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-Fwf,35.4454,-111.7718,120,Shrubland,3,Shrubland,exact
US-GLE,41.3665,-106.2399,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Ha1,42.5378,-72.1715,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-HB1,33.3455,-79.1957,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-HB2,33.3242,-79.244,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-HB3,33.3482,-79.2322,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-HB4,33.2015,-79.2975,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-HBK,43.9397,-71.7181,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
US-Hn2,46.6889,-119.4641,120,Shrubland,3,Shrubland,exact
US-Hn3,46.6878,-119.4614,120,Shrubland,3,Shrubland,exact
US-Ho2,45.209,-68.747,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Ho3,45.2072,-68.7265,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-HRA,34.5852,-91.7517,11,Herbaceous cover,1,Cropland,exact
US-HRC,34.5888,-91.7517,11,Herbaceous cover,1,Cropland,exact
US-Hsm,38.2368,-122.0212,130,Grassland,4,Grassland,exact
US-HVs,69.1672,-148.8569,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
US-HWB,40.8608,-77.8488,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
US-IAB,42.0001,-93.7016,11,Herbaceous cover,1,Cropland,exact
US-IAC,41.9984,-93.7016,11,Herbaceous cover,1,Cropland,exact
US-IAM,41.9994,-93.7042,11,Herbaceous cover,1,Cropland,exact
US-ICh,68.6068,-149.2958,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
US-ICs,68.6058,-149.311,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
US-ICt,68.6063,-149.3041,130,Grassland,4,Grassland,exact
US-Jo1,32.582,-106.635,120,Shrubland,3,Shrubland,exact
US-Jo2,32.5849,-106.6032,120,Shrubland,3,Shrubland,exact
US-KFS,39.0561,-95.1907,130,Grassland,4,Grassland,exact
US-Kon,39.0824,-96.5603,130,Grassland,4,Grassland,exact
US-KPL,60.5382,-150.5061,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-KS1,28.4583,-80.6709,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-KS2,28.6086,-80.6715,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-KS3,28.7084,-80.7427,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-LA2,29.8587,-90.2869,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-LA3,29.4936,-89.9153,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-Lin,36.3566,-119.0922,11,Herbaceous cover,1,Cropland,exact
US-Los,46.0827,-89.9786,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-LS1,31.5615,-110.1403,120,Shrubland,3,Shrubland,exact
US-MBP,47.5051,-93.4893,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Me1,44.5794,-121.5,120,Shrubland,3,Shrubland,exact
US-Me3,44.3154,-121.6078,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Me5,44.4372,-121.5668,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Me6,44.3232,-121.6044,120,Shrubland,3,Shrubland,exact
US-Me7,44.4534,-121.5619,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-MEF,39.1006,-105.1024,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-MMS,39.3232,-86.4133,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-MN1,45.6168,-96.1269,11,Herbaceous cover,1,Cropland,exact
US-MN2,45.627,-96.1271,11,Herbaceous cover,1,Cropland,exact
US-MN3,45.6091,-96.1265,11,Herbaceous cover,1,Cropland,exact
US-Mo1,39.2298,-92.1167,11,Herbaceous cover,1,Cropland,exact
US-Mo2,38.9488,-91.9945,80,"Tree cover, needleleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Mo3,39.2322,-92.1493,11,Herbaceous cover,1,Cropland,exact
US-MOz,38.7441,-92.2,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Mpj,34.4382,-106.2385,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-MtB,32.416,-110.7256,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-Myb,38.0499,-121.765,11,Herbaceous cover,1,Cropland,exact
US-MZA,43.0441,-76.7897,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
US-NC1,35.8118,-76.7119,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-NC2,35.803,-76.6685,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
US-NC3,35.799,-76.656,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-NC4,35.7817,-75.9135,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
US-NC5,36.1565,-78.7878,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
US-Ne1,41.1651,-96.4766,11,Herbaceous cover,1,Cropland,exact
US-Ne2,41.1649,-96.4701,11,Herbaceous cover,1,Cropland,exact
US-Ne3,41.1797,-96.4397,11,Herbaceous cover,1,Cropland,exact
US-NGB,71.28,-156.6092,140,Lichens and mosses,10,Other,exact
US-NGC,64.8618,-163.7002,120,Shrubland,3,Shrubland,exact
US-NR1,40.0329,-105.547,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact
