site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
US-Lin,Lindcove Orange Orchard,36.3566,-119.0922,CRO,FLUXNET2015,measured
US-Los,Lost Creek,46.0827,-89.9792,WET,FLUXNET2015,measured
US-LWW,Little Washita Watershed,34.9604,-97.9789,GRA,FLUXNET2015,measured
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,ENF,FLUXNET2015,measured
US-Me2,Metolius mature ponderosa pine,44.4526,-121.5589,ENF,FLUXNET2015,measured
US-Me3,Metolius-second young aged pine,44.3154,-121.6078,ENF,FLUXNET2015,measured
US-Me4,Metolius-old aged ponderosa pine,44.4992,-121.6224,ENF,FLUXNET2015,measured
US-Me5,Metolius-first young aged pine,44.4372,-121.5668,ENF,FLUXNET2015,measured
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,ENF,FLUXNET2015,measured
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,DBF,FLUXNET2015,measured
US-Myb,Mayberry Wetland,38.0499,-121.765,WET,FLUXNET2015,measured
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,CRO,FLUXNET2015,measured
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,CRO,FLUXNET2015,measured
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,CRO,FLUXNET2015,measured
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,ENF,FLUXNET2015,measured
US-Oho,Oak Openings,41.5545,-83.8438,DBF,FLUXNET2015,measured
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,WET,FLUXNET2015,measured
US-PFa,Park Falls/WLEF,45.9459,-90.2723,MF,FLUXNET2015,measured
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,ENF,FLUXNET2015,measured
US-SRC,Santa Rita Creosote,31.9083,-110.8395,OSH,FLUXNET2015,measured
US-SRG,Santa Rita Grassland,31.7894,-110.8277,GRA,FLUXNET2015,measured
US-SRM,Santa Rita Mesquite,31.8214,-110.8661,WSA,FLUXNET2015,measured
US-Sta,Saratoga,41.3966,-106.8024,OSH,FLUXNET2015,measured
US-Syv,Sylvania Wilderness Area,46.242,-89.3477,MF,FLUXNET2015,measured
US-Ton,Tonzi Ranch,38.4309,-120.966,WSA,FLUXNET2015,measured
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,WET,FLUXNET2015,measured
US-Tw2,Twitchell Corn,38.0969,-121.6365,CRO,FLUXNET2015,measured
US-Tw3,Twitchell Alfalfa,38.1152,-121.6469,CRO,FLUXNET2015,measured
US-Tw4,Twitchell East End Wetland,38.1027,-121.6413,WET,FLUXNET2015,measured
US-Twt,Twitchell Island,38.1087,-121.6531,CRO,FLUXNET2015,measured
US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,DBF,FLUXNET2015,measured
US-UMd,UMBS Disturbance,45.5625,-84.6975,DBF,FLUXNET2015,measured
US-Var,Vaira Ranch- Ione,38.4133,-120.9508,GRA,FLUXNET2015,measured
US-WCr,Willow Creek,45.8059,-90.0799,DBF,FLUXNET2015,measured
US-Whs,Walnut Gulch Lucky Hills Shrub,31.7438,-110.0522,OSH,FLUXNET2015,measured
US-Wi0,Young red pine (YRP),46.6188,-91.0814,ENF,FLUXNET2015,measured
US-Wi1,Intermediate hardwood (IHW),46.7305,-91.2329,DBF,FLUXNET2015,measured
US-Wi2,Intermediate red pine (IRP),46.6869,-91.1528,ENF,FLUXNET2015,measured
US-Wi3,Mature hardwood (MHW),46.6347,-91.0987,DBF,FLUXNET2015,measured
US-Wi4,Mature red pine (MRP),46.7393,-91.1663,ENF,FLUXNET2015,measured
US-Wi5,Mixed young jack pine (MYJP),46.6531,-91.0858,ENF,FLUXNET2015,measured
US-Wi6,Pine barrens #1 (PB1),46.6249,-91.2982,OSH,FLUXNET2015,measured
US-Wi7,Red pine clearcut (RPCC),46.6491,-91.0693,OSH,FLUXNET2015,measured
US-Wi8,Young hardwood clearcut (YHW),46.7223,-91.2524,DBF,FLUXNET2015,measured
US-Wi9,Young Jack pine (YJP),46.7385,-91.0746,ENF,FLUXNET2015,measured
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,GRA,FLUXNET2015,measured
US-WPT,Winous Point North Marsh,41.4646,-82.9962,WET,FLUXNET2015,measured
ZA-Kru,Skukuza,-25.0197,31.4969,SAV,FLUXNET2015,measured
ZM-Mon,Mongu,-15.4391,23.2525,DBF,FLUXNET2015,measured
