site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
US-LA3,29.4936,-89.9153,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Lin,36.3566,-119.0922,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-Los,46.0827,-89.9786,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-LS1,31.5615,-110.1403,6,BSh,"Arid, steppe, hot",B,Arid,exact
US-MBP,47.5051,-93.4893,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-Me1,44.5794,-121.5,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-Me3,44.3154,-121.6078,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-Me5,44.4372,-121.5668,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-Me6,44.3232,-121.6044,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-Me7,44.4534,-121.5619,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-MEF,39.1006,-105.1024,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
US-MMS,39.3232,-86.4133,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-MN1,45.6168,-96.1269,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-MN2,45.627,-96.1271,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-MN3,45.6091,-96.1265,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-Mo1,39.2298,-92.1167,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Mo2,38.9488,-91.9945,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Mo3,39.2322,-92.1493,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-MOz,38.7441,-92.2,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-Mpj,34.4382,-106.2385,7,BSk,"Arid, steppe, cold",B,Arid,exact
US-MtB,32.416,-110.7256,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
US-Myb,38.0499,-121.765,7,BSk,"Arid, steppe, cold",B,Arid,exact
US-MZA,43.0441,-76.7897,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
US-NC1,35.8118,-76.7119,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
US-NC2,35.803,-76.6685,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
