site_id,site_name,lat,lon,elev,igbp,mat,map,dataset
IT-SRo,San Rossore,43.7279,10.2844,6,ENF,14.2,920,FLUXNET2015
IT-Tor,Torgnon,45.8444,7.5781,2160,GRA,2.9,920,FLUXNET2015
JP-MBF,Moshiri Birch Forest Site,44.3869,142.3186,NA,DBF,NA,NA,FLUXNET2015
JP-SMF,Seto Mixed Forest Site,35.2617,137.0788,NA,MF,NA,NA,FLUXNET2015
MY-PSO,Pasoh Forest Reserve (PSO),2.973,102.3062,NA,EBF,NA,NA,FLUXNET2015
NL-Hor,Horstermeer,52.2403,5.0713,2.2,GRA,10,800,FLUXNET2015
NL-Loo,Loobos,52.1666,5.7436,25,ENF,9.8,786,FLUXNET2015
PA-SPn,Sardinilla Plantation,9.3181,-79.6346,78,DBF,26.5,2350,FLUXNET2015
PA-SPs,Sardinilla-Pasture,9.3138,-79.6314,68,GRA,26.5,2350,FLUXNET2015
RU-Che,Cherski,68.613,161.3414,6,WET,-11,197,FLUXNET2015
RU-Cok,Chokurdakh,70.8291,147.4943,48,OSH,-14.3,232,FLUXNET2015
RU-Fyo,Fyodorovskoye,56.4615,32.9221,265,ENF,3.9,711,FLUXNET2015
RU-Ha1,Hakasia steppe,54.7252,90.0022,446,GRA,-0.07,591.87,FLUXNET2015
RU-Sam,Samoylov,72.3738,126.4958,NA,GRA,NA,NA,FLUXNET2015
RU-SkP,Yakutsk Spasskaya Pad larch,62.255,129.168,246,DNF,NA,NA,FLUXNET2015
RU-Tks,Tiksi,71.5943,128.8878,7,GRA,-12.7,323,FLUXNET2015
RU-Vrk,Seida/Vorkuta,67.0547,62.9405,100,CSH,-5.6,501,FLUXNET2015
SD-Dem,Demokeya,13.2829,30.4783,500,SAV,26,320,FLUXNET2015
SE-St1,Stordalen grassland,68.3541,19.0503,351,WET,-0.7,303.3,FLUXNET2015
SJ-Adv,Adventdalen,78.186,15.923,17,WET,NA,NA,FLUXNET2015
SJ-Blv,"Bayelva, Spitsbergen",78.9216,11.8311,25,SNO,-4.5,400,FLUXNET2015
SN-Dhr,Dahra,15.4028,-15.4322,40,SAV,29,404,FLUXNET2015
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,611,GRA,NA,NA,FLUXNET2015
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,646,GRA,NA,NA,FLUXNET2015
US-ARM,ARM Southern Great Plains site- Lamont,36.6058,-97.4888,314,CRO,14.76,843,FLUXNET2015
US-ARb,ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,424,GRA,NA,NA,FLUXNET2015
US-ARc,ARM Southern Great Plains control site- Lamont,35.5465,-98.04,424,GRA,NA,NA,FLUXNET2015
US-Atq,Atqasuk,70.4696,-157.4089,15,WET,-9.7,93,FLUXNET2015
US-Blo,Blodgett Forest,38.8953,-120.6328,1315,ENF,11.09,1226,FLUXNET2015
US-CRT,Curtice Walter-Berger cropland,41.6285,-83.3471,180,CRO,10.1,849,FLUXNET2015
US-Cop,Corral Pocket,38.09,-109.39,1520,GRA,NA,NA,FLUXNET2015
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,3191,ENF,0.8,1200,FLUXNET2015
US-GLE,GLEES,41.3665,-106.2399,3197,ENF,0.8,1200,FLUXNET2015
US-Goo,Goodwin Creek,34.2547,-89.8735,87,GRA,15.89,1425.77,FLUXNET2015
US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,340,DBF,6.62,1071,FLUXNET2015
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),41.8406,-88.241,226.5,GRA,9.04,930.25,FLUXNET2015
US-Ivo,Ivotuk,68.4865,-155.7503,568,WET,-8.28,304,FLUXNET2015
US-KS1,Kennedy Space Center (slash pine),28.4583,-80.6709,1,ENF,21.9,1266,FLUXNET2015
US-KS2,Kennedy Space Center (scrub oak),28.6086,-80.6715,3,CSH,21.66,1294,FLUXNET2015
US-LWW,Little Washita Watershed,34.9604,-97.9789,365,GRA,16.09,805.12,FLUXNET2015
US-Lin,Lindcove Orange Orchard,36.3566,-119.0922,131,CRO,NA,NA,FLUXNET2015
US-Los,Lost Creek,46.0827,-89.9792,480,WET,4.08,828,FLUXNET2015
US-MMS,Morgan Monroe State Forest,39.3232,-86.4131,275,DBF,10.85,1032,FLUXNET2015
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,896,ENF,7.88,704.61,FLUXNET2015
US-Me2,Metolius mature ponderosa pine,44.4526,-121.5589,1253,ENF,6.28,523,FLUXNET2015
US-Me3,Metolius-second young aged pine,44.3154,-121.6078,1005,ENF,7.07,719,FLUXNET2015
US-Me4,Metolius-old aged ponderosa pine,44.4992,-121.6224,922,ENF,7.61,1038.82,FLUXNET2015
US-Me5,Metolius-first young aged pine,44.4372,-121.5668,1188,ENF,6.47,590.81,FLUXNET2015
US-Me6,Metolius Young Pine Burn,44.3233,-121.6078,998,ENF,7.59,494,FLUXNET2015
US-Myb,Mayberry Wetland,38.0499,-121.765,-4,WET,15.9,338,FLUXNET2015
US-NR1,Niwot Ridge Forest (LTER NWT1),40.0329,-105.5464,3050,ENF,1.5,800,FLUXNET2015
US-Ne1,Mead - irrigated continuous maize site,41.1651,-96.4766,361,CRO,10.07,790.37,FLUXNET2015
US-Ne2,Mead - irrigated maize-soybean rotation site,41.1649,-96.4701,362,CRO,10.08,788.89,FLUXNET2015
US-Ne3,Mead - rainfed maize-soybean rotation site,41.1797,-96.4397,363,CRO,10.11,783.68,FLUXNET2015
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,221,WET,11.63,1499.1,FLUXNET2015
US-Oho,Oak Openings,41.5545,-83.8438,230,DBF,10.1,849,FLUXNET2015
US-PFa,Park Falls/WLEF,45.9459,-90.2723,470,MF,4.33,823,FLUXNET2015
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,210,ENF,-2,275,FLUXNET2015
US-SRC,Santa Rita Creosote,31.9083,-110.8395,950,OSH,22,330,FLUXNET2015
US-SRG,Santa Rita Grassland,31.7894,-110.8277,1291,GRA,17,420,FLUXNET2015
