site_id,mat_worldclim,map_worldclim,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
US-RC5,10.163666725158691,190,10.163666725158691,13.0339994430542,37.197486877441406,831.0489501953125,29.63599967956543,-5.404000282287598,35.040000915527344,0.23000001907348633,19.623332977294922,20.15999984741211,-0.3086666166782379,190,33,5,50.20566177368164,83,20,23,73
US-RGA,16.84516716003418,1291,16.84516716003418,11.503000259399414,34.05269241333008,829.51629638671875,33.46800231933594,-0.31200000643730164,33.78000259399414,16.900667190551758,25.97333335876465,26.80466651916504,6.25933313369751,1291,132,76,18.546096801757812,388,254,264,331
US-RGB,16.11716651916504,573,16.11716651916504,14.382333755493164,47.50407409667969,612.98211669921875,33.4119987487793,3.135999917984009,30.275999069213867,10.234000205993652,23.521333694458008,23.521333694458008,8.654000282287598,573,112,1,85.189971923828125,306,14,14,286
US-RGF,15.97266674041748,287,15.97266674041748,14.169333457946777,46.92454147338867,605.00701904296875,32.62799835205078,2.432000160217285,30.195999145507812,9.99666690826416,22.97599983215332,22.97599983215332,8.266666412353516,287,54,1,83.86219787597656,145,5,5,140
US-RGo,16.048999786376953,560,16.048999786376953,14.72266674041748,46.2918701171875,646.85748291015625,33.90399932861328,2.0999999046325684,31.803998947143555,9.829999923706055,23.80466651916504,23.80466651916504,8.181333541870117,560,115,1,86.495635986328125,302,14,14,287
US-RGW,17.24483299255371,1340,17.24483299255371,12.300333023071289,36.691123962402344,809.12115478515625,33.66400146484375,0.14000000059604645,33.52400207519531,8.180000305175781,22.8613338470459,26.891334533691406,6.9033331871032715,1340,140,73,19.287994384765625,385,245,284,378
US-Rls,7.153166770935059,375,7.153166770935059,14.938333511352539,41.116188049316406,770.78106689453125,28.804000854492188,-7.5279998779296875,36.332000732421875,-0.60999995470047,17.157333374023438,17.157333374023438,-1.7000000476837158,375,46,12,35.0594596862793,137,48,48,128
US-Rms,5.204500198364258,448,5.204500198364258,14.264333724975586,40.1314811706543,754.16314697265625,26.371999740600586,-9.17199993133545,35.54399871826172,-1.931333303451538,15.172666549682617,15.172666549682617,-3.322666645050049,448,56,15,35.19908905029297,163,57,57,152
US-Ro1,7.046999931335449,768,7.046999931335449,11.458666801452637,25.577381134033203,1204.2783203125,28.54400062561035,-16.256000518798828,44.80000305175781,21.10333251953125,-8.66333293914795,21.10333251953125,-8.66333293914795,768,107,18,50.354312896728516,313,65,313,65
US-Ro2,7.046999931335449,768,7.046999931335449,11.458666801452637,25.577381134033203,1204.2783203125,28.54400062561035,-16.256000518798828,44.80000305175781,21.10333251953125,-8.66333293914795,21.10333251953125,-8.66333293914795,768,107,18,50.354312896728516,313,65,313,65
US-Ro3,7.046999931335449,768,7.046999931335449,11.458666801452637,25.577381134033203,1204.2783203125,28.54400062561035,-16.256000518798828,44.80000305175781,21.10333251953125,-8.66333293914795,21.10333251953125,-8.66333293914795,768,107,18,50.354312896728516,313,65,313,65
US-Ro4,6.932666778564453,766,6.932666778564453,11.538000106811523,25.844459533691406,1202.9224853515625,28.26799964904785,-16.375999450683594,44.64399719238281,20.913999557495117,-8.79800033569336,20.913999557495117,-8.79800033569336,766,105,18,49.862308502197266,308,65,308,65
US-Ro5,6.932666778564453,766,6.932666778564453,11.538000106811523,25.844459533691406,1202.9224853515625,28.26799964904785,-16.375999450683594,44.64399719238281,20.913999557495117,-8.79800033569336,20.913999557495117,-8.79800033569336,766,105,18,49.862308502197266,308,65,308,65
US-Ro6,6.932666778564453,766,6.932666778564453,11.538000106811523,25.844459533691406,1202.9224853515625,28.26799964904785,-16.375999450683594,44.64399719238281,20.913999557495117,-8.79800033569336,20.913999557495117,-8.79800033569336,766,105,18,49.862308502197266,308,65,308,65
US-Rpf,-3.257499933242798,321,-3.257499933242798,11.48900032043457,24.434284210205078,1363.6588134765625,21.375999450683594,-25.644001007080078,47.02000045776367,13.624666213989258,-10.56933307647705,13.624666213989258,-18.900667190551758,321,52,9,53.27585983276367,146,37,146,55
US-RRC,14.465499877929688,1137,14.465499877929688,12.500999450683594,36.565460205078125,813.48138427734375,31.583999633789062,-2.6039998531341553,34.1879997253418,23.772666931152344,10.02733325958252,24.374666213989258,4.239999771118164,1137,116,82,13.105999946594238,333,254,309,260
US-Rwe,4.895166873931885,463,4.895166873931885,14.364999771118164,40.00055694580078,762.114013671875,26.26799964904785,-9.644000053405762,35.9119987487793,-2.316666603088379,14.986666679382324,14.986666679382324,-3.732666492462158,463,57,15,34.79716491699219,166,58,58,155
US-Rwf,5.72866678237915,449,5.72866678237915,14.523333549499512,40.89236831665039,747.129150390625,27.007999420166016,-8.508000373840332,35.51599884033203,-1.3553333282470703,15.621999740600586,15.621999740600586,-2.679333209991455,449,55,15,35.12492752075195,162,56,56,152
US-Rws,8.45633316040039,309,8.45633316040039,15.088666915893555,40.81989669799805,795.0291748046875,30.079999923706055,-6.883999824523926,36.9640007019043,-0.027333298698067665,18.43666648864746,18.570667266845703,-0.8740000128746033,309,35,10,30.873287200927734,105,42,57,97
US-Sag,-10.353333473205566,179,-10.353333473205566,8.814666748046875,18.453079223632812,1498.7808837890625,15.85200023651123,-31.916000366210938,47.768001556396484,7.026666641235352,-22.516000747680664,8.917333602905273,-26.700666427612305,179,35,6,57.73509979248047,84,23,82,23
US-SD1,9.619832992553711,970,9.619832992553711,11.060333251953125,29.182937622070312,997.26422119140625,28.5,-9.399999618530273,37.900001525878906,19.501998901367188,-3.2673332691192627,21.441333770751953,-3.2673332691192627,970,104,45,23.48148536682129,300,166,294,166
US-SD2,9.599332809448242,966,9.599332809448242,11.01533317565918,29.085691452026367,996.4110107421875,28.472000122070312,-9.399999618530273,37.87200164794922,15.022666931152344,-3.2726666927337646,21.413333892822266,-3.2726666927337646,966,104,45,23.37737274169922,298,166,293,166
