site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
DE-Lkb,49.0996,13.3047,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
DE-Lnf,51.3282,10.3678,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
DE-Obe,50.7867,13.7213,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
DE-RuR,50.6219,6.3041,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
DE-RuS,50.8659,6.4471,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
DE-Seh,50.8706,6.4497,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
DE-SfN,47.8064,11.3275,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",18,Flooded shrub/herb,5,Wetland
DE-Spw,51.8922,14.0337,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
DE-Tha,50.9626,13.5651,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
DE-Zrk,53.8759,12.889,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
DK-Eng,55.6905,12.1918,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
DK-Fou,56.4842,9.5872,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
DK-Sor,55.4859,11.6446,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
ES-Amo,36.8336,-2.2523,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
ES-LgS,37.0979,-2.9658,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
ES-LJu,36.9266,-2.7521,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
ES-Ln2,36.9695,-3.4758,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
FI-Hyy,61.8474,24.2948,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FI-Jok,60.8986,23.5134,10,"Cropland, rainfed",1,Cropland,exact,10,"Cropland, rainfed",1,Rainfed cropland,1,Cropland
FI-Let,60.6418,23.9595,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FI-Lom,67.9972,24.2092,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FI-Sod,67.3624,26.6386,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FR-Fon,48.4764,2.7801,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
FR-Gri,48.8442,1.9519,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
FR-LBr,44.7171,-0.7693,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
FR-Pue,43.7413,3.5957,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
GF-Guy,5.2788,-52.9249,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
GH-Ank,5.2685,-2.6942,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
GL-NuF,64.1308,-51.3861,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",15,Sparse vegetation,3,Shrubland
GL-ZaF,74.4814,-20.5545,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
GL-ZaH,74.4733,-20.5503,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
IT-BCi,40.5237,14.9574,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
