site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
US-Ne3,41.1797,-96.4397,566.23126220703125,exact,5,394.0–634.7 mm yr-1,20,8,12,14
US-NGB,71.28,-156.6092,79.7755126953125,exact,2,5.0–143.4 mm yr-1,4,3,3,3
US-NGC,64.8618,-163.7002,207.1805725097656,exact,3,143.4–263.9 mm yr-1,9,4,6,6
US-NR1,40.0329,-105.547,339.7502136230469,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-NR3,40.052,-105.5864,339.7502136230469,exact,4,263.9–394.0 mm yr-1,14,6,9,10
US-NSa,36.6029,-119.5061,259.68609619140625,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-NSb,36.3354,-120.1183,255.7493896484375,exact,3,143.4–263.9 mm yr-1,11,5,7,8
US-Oho,41.5545,-83.8438,563.61822509765625,exact,5,394.0–634.7 mm yr-1,20,8,12,13
US-ONA,27.3836,-81.9509,987.92230224609375,exact,7,>968.6 mm yr-1,26,11,16,17
US-OPE,39.0293,-76.8457,634.4901123046875,exact,5,394.0–634.7 mm yr-1,21,9,13,14
US-OWC,41.3793,-82.5124,609.33782958984375,exact,5,394.0–634.7 mm yr-1,20,9,13,14
US-PAS,27.3944,-81.951,987.92230224609375,exact,7,>968.6 mm yr-1,26,11,16,17
US-PFb,45.972,-90.3232,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFc,45.9677,-90.3088,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFd,45.9689,-90.301,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFf,45.9458,-90.2944,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFg,45.9735,-90.2723,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFh,45.9557,-90.2406,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFi,45.9749,-90.2327,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFj,45.9619,-90.227,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFk,45.9149,-90.3425,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFL,45.9409,-90.3177,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFm,45.9207,-90.3099,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFn,45.9392,-90.2823,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFp,45.9365,-90.2641,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFq,45.9271,-90.2475,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFr,45.9245,-90.2475,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PFt,45.9197,-90.2288,509.120361328125,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-PLo,42.7496,-70.9157,513.7030029296875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
US-Prr,65.1237,-147.4876,215.7005157470703,exact,3,143.4–263.9 mm yr-1,9,4,6,7
US-PSH,36.2347,-119.9247,196.43191528320312,exact,3,143.4–263.9 mm yr-1,8,4,6,6
US-PSL,36.8276,-120.1397,228.5197601318359,exact,3,143.4–263.9 mm yr-1,10,5,6,7
US-RC1,46.7837,-117.0777,357.47283935546875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-RC2,46.7776,-117.0807,357.47283935546875,exact,4,263.9–394.0 mm yr-1,15,7,9,10
US-RC3,46.991,-118.598,243.69113159179688,exact,3,143.4–263.9 mm yr-1,10,5,7,7
US-RC4,46.758,-116.949,413.6740417480469,exact,5,394.0–634.7 mm yr-1,17,7,10,11
US-RC5,47.01,-119.248,196.109619140625,exact,3,143.4–263.9 mm yr-1,8,4,6,6
US-RGA,34.4159,-91.6733,836.91552734375,exact,6,634.7–968.6 mm yr-1,24,10,15,16
US-RGB,39.5782,-121.8579,462.67926025390625,exact,5,394.0–634.7 mm yr-1,18,8,11,12
US-RGF,37.6995,-121.1369,306.0780334472656,exact,4,263.9–394.0 mm yr-1,13,6,8,9
US-RGo,39.6805,-122.0026,429.9253234863281,exact,5,394.0–634.7 mm yr-1,17,7,11,12
