site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
US-NSa,36.6029,-119.5061,1,1,0–5 Mg/ha,exact,1,1,1,1
US-NSb,36.3354,-120.1183,0,1,0–5 Mg/ha,exact,1,1,1,1
US-Oho,41.5545,-83.8438,108,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-ONA,27.3836,-81.9509,7,2,5–13.0 Mg/ha,exact,3,2,2,3
US-OPE,39.0293,-76.8457,109,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-OWC,41.3793,-82.5124,45,4,27.0–51.0 Mg/ha,exact,15,7,9,10
US-PAS,27.3944,-81.951,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-PFb,45.972,-90.3232,84,5,51.0–94.0 Mg/ha,exact,20,9,12,14
US-PFc,45.9677,-90.3088,114,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PFd,45.9689,-90.301,114,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PFf,45.9458,-90.2944,94,6,94.0–171.0 Mg/ha,exact,21,9,13,14
US-PFg,45.9735,-90.2723,123,6,94.0–171.0 Mg/ha,exact,23,10,14,16
US-PFh,45.9557,-90.2406,117,6,94.0–171.0 Mg/ha,exact,23,10,14,15
US-PFi,45.9749,-90.2327,120,6,94.0–171.0 Mg/ha,exact,23,10,14,16
US-PFj,45.9619,-90.227,124,6,94.0–171.0 Mg/ha,exact,23,10,14,16
US-PFk,45.9149,-90.3425,110,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PFL,45.9409,-90.3177,95,6,94.0–171.0 Mg/ha,exact,21,9,13,14
US-PFm,45.9207,-90.3099,102,6,94.0–171.0 Mg/ha,exact,22,9,13,15
US-PFn,45.9392,-90.2823,108,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PFp,45.9365,-90.2641,122,6,94.0–171.0 Mg/ha,exact,23,10,14,16
US-PFq,45.9271,-90.2475,113,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PFr,45.9245,-90.2475,113,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PFt,45.9197,-90.2288,111,6,94.0–171.0 Mg/ha,exact,22,9,14,15
US-PLo,42.7496,-70.9157,54,5,51.0–94.0 Mg/ha,exact,16,7,10,11
US-Prr,65.1237,-147.4876,91,5,51.0–94.0 Mg/ha,exact,21,9,13,14
US-PSH,36.2347,-119.9247,4,1,0–5 Mg/ha,exact,1,1,1,1
US-PSL,36.8276,-120.1397,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-RC1,46.7837,-117.0777,0,1,0–5 Mg/ha,exact,1,1,1,1
US-RC2,46.7776,-117.0807,0,1,0–5 Mg/ha,exact,1,1,1,1
US-RC3,46.991,-118.598,0,1,0–5 Mg/ha,exact,1,1,1,1
US-RC4,46.758,-116.949,0,1,0–5 Mg/ha,exact,1,1,1,1
US-RC5,47.01,-119.248,11,2,5–13.0 Mg/ha,exact,5,3,4,4
US-RGA,34.4159,-91.6733,8,2,5–13.0 Mg/ha,exact,4,2,3,3
US-RGB,39.5782,-121.8579,0,1,0–5 Mg/ha,exact,1,1,1,1
US-RGF,37.6995,-121.1369,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-RGo,39.6805,-122.0026,10,2,5–13.0 Mg/ha,exact,5,3,4,4
US-RGW,33.6216,-91.4306,15,3,13.0–27.0 Mg/ha,exact,7,4,5,5
US-Rls,43.1439,-116.7356,2,1,0–5 Mg/ha,exact,1,1,1,1
US-Rms,43.0645,-116.7486,13,3,13.0–27.0 Mg/ha,exact,7,3,4,5
US-Ro1,44.7143,-93.0898,2,1,0–5 Mg/ha,exact,1,1,1,1
US-Ro2,44.7288,-93.0888,2,1,0–5 Mg/ha,exact,1,1,1,1
