site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
BR-Sa3,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2000,2004,4,3,75,FALSE,Tropical rainforest,11,Am,Am,A,25.549833297729492,1852,1.5936,Humid
CA-CF3,AmeriFlux,WET,Northern America,Americas,2022,2025,3,3,100,FALSE,Boreal tundra woodland,42,Dfc,Df,D,-6.677000045776367,417,0.986,Humid
CA-DSM,AmeriFlux,WET,Northern America,Americas,2021,2024,3,3,100,FALSE,Temperate oceanic forest,31,Csb,Cs,C,10.187137603759766,1464,1.7831,Humid
CA-TPA,AmeriFlux,CRO,Northern America,Americas,2020,2023,3,3,100,FALSE,Temperate continental forest,32,NA,NA,NA,8.348166465759277,970,1.1646,Humid
PE-QFR,AmeriFlux,WET,Latin America and the Caribbean,Americas,2018,2022,4,3,75,FALSE,Tropical rainforest,11,Af,Af,A,26.167667388916016,2705,2.5726,Humid
US-CF1,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2021,4,3,75,FALSE,Temperate desert,34,Dsb,Ds,D,8.233333587646484,611,0.6109,Dry sub-humid
US-CF2,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2020,3,3,100,FALSE,Temperate desert,34,Dsb,Ds,D,8.321499824523926,583,0.6077,Dry sub-humid
US-CGG,AmeriFlux,GRA,Northern America,Americas,2019,2024,5,3,60,FALSE,Subtropical mountain system,25,Csa,Cs,C,15.511500358581545,507,0.3377,Semi-arid
US-Cop,AmeriFlux,GRA,Northern America,Americas,2001,2007,6,3,50,FALSE,Temperate desert,34,NA,NA,NA,9.607999801635742,330,0.234,Semi-arid
US-CRT,AmeriFlux;Phenocam,CRO,Northern America,Americas,2011,2013,2,3,150,FALSE,Temperate continental forest,32,Dfa,Df,D,9.742666244506836,854,0.8537,Humid
US-Dix,AmeriFlux,MF,Northern America,Americas,2005,2008,3,3,100,FALSE,Temperate continental forest,32,Cfa,Cf,C,11.530333518981934,1153,1.106,Humid
US-DPW,AmeriFlux,WET,Northern America,Americas,2013,2016,3,3,100,FALSE,Subtropical humid forest,21,Cwa,Cw,C,22.29283332824707,1223,0.7954,Humid
US-DS3,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2025,4,3,75,FALSE,Subtropical dry forest,22,Csa,Cs,C,15.436333656311035,373,0.2687,Semi-arid
US-HBK,AmeriFlux,DBF,Northern America,Americas,2016,2024,8,3,37.5,FALSE,Temperate mountain system,35,Dfb,Df,D,5.324666500091553,1152,1.3628,Humid
US-HRA,AmeriFlux;Phenocam,CRO,Northern America,Americas,2015,2024,9,3,33.3,FALSE,Subtropical humid forest,21,Cfa,Cf,C,16.70866584777832,1289,0.9822,Humid
US-IAB,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33,Dfa,Df,D,8.942333221435547,849,0.8195,Humid
US-IAM,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33,Dfa,Df,D,8.972833633422852,851,0.8207,Humid
US-KPL,AmeriFlux,WET,Northern America,Americas,2021,2024,3,3,100,FALSE,Boreal mountain system,43,Dfc,Df,D,2.2960000038146973,850,1.7762,Humid
US-KS2,AmeriFlux,CSH,Northern America,Americas,2003,2006,3,3,100,FALSE,Subtropical humid forest,21,Cwa,Cw,C,21.948333740234375,1276,0.8412,Humid
US-Me3,AmeriFlux,ENF,Northern America,Americas,2004,2009,5,3,60,FALSE,Temperate mountain system,35,Csb,Cs,C,7.504666805267334,537,0.4798,Semi-arid
