site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
US-IAB,42.0001,-93.7016,41.4586296081543,exact,4,31.7–41.8 gC m-2 yr-1,16
US-IAC,41.9984,-93.7016,42.34272766113281,exact,5,41.8–54.3 gC m-2 yr-1,16
US-IAM,41.9994,-93.7042,42.34272766113281,exact,5,41.8–54.3 gC m-2 yr-1,16
US-ICh,68.6068,-149.2958,27.298269271850582,exact,3,20.5–31.7 gC m-2 yr-1,9
US-ICs,68.6058,-149.311,27.298269271850582,exact,3,20.5–31.7 gC m-2 yr-1,9
US-ICt,68.6063,-149.3041,27.298269271850582,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Jo1,32.582,-106.635,16.812679290771484,exact,2,5.0–20.5 gC m-2 yr-1,5
US-Jo2,32.5849,-106.6032,16.812679290771484,exact,2,5.0–20.5 gC m-2 yr-1,5
US-KFS,39.0561,-95.1907,55.88271713256836,exact,6,54.3–70.2 gC m-2 yr-1,21
US-Kon,39.0824,-96.5603,52.32865905761719,exact,5,41.8–54.3 gC m-2 yr-1,20
US-KPL,60.5382,-150.5061,33.23625183105469,exact,4,31.7–41.8 gC m-2 yr-1,12
US-KS1,28.4583,-80.6709,51.665809631347656,exact,5,41.8–54.3 gC m-2 yr-1,20
US-KS2,28.6086,-80.6715,67.67423248291016,exact,6,54.3–70.2 gC m-2 yr-1,25
US-KS3,28.7084,-80.7427,67.67423248291016,exact,6,54.3–70.2 gC m-2 yr-1,25
US-LA2,29.8587,-90.2869,63.95899200439453,exact,6,54.3–70.2 gC m-2 yr-1,24
US-LA3,29.4936,-89.9153,48.15446472167969,exact,5,41.8–54.3 gC m-2 yr-1,18
US-Lin,36.3566,-119.0922,27.39079475402832,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Los,46.0827,-89.9786,53.117305755615234,exact,5,41.8–54.3 gC m-2 yr-1,20
US-LS1,31.5615,-110.1403,26.135007858276367,exact,3,20.5–31.7 gC m-2 yr-1,9
US-MBP,47.5051,-93.4893,58.99855422973633,exact,6,54.3–70.2 gC m-2 yr-1,22
US-Me1,44.5794,-121.5,40.97549819946289,exact,4,31.7–41.8 gC m-2 yr-1,16
US-Me3,44.3154,-121.6078,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Me5,44.4372,-121.5668,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Me6,44.3232,-121.6044,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Me7,44.4534,-121.5619,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1,15
US-MEF,39.1006,-105.1024,50.36993408203125,exact,5,41.8–54.3 gC m-2 yr-1,19
US-MMS,39.3232,-86.4133,60.12395095825195,exact,6,54.3–70.2 gC m-2 yr-1,23
US-MN1,45.6168,-96.1269,42.490013122558594,exact,5,41.8–54.3 gC m-2 yr-1,16
US-MN2,45.627,-96.1271,42.490013122558594,exact,5,41.8–54.3 gC m-2 yr-1,16
US-MN3,45.6091,-96.1265,42.490013122558594,exact,5,41.8–54.3 gC m-2 yr-1,16
US-Mo1,39.2298,-92.1167,51.681034088134766,exact,5,41.8–54.3 gC m-2 yr-1,20
US-Mo2,38.9488,-91.9945,63.39969253540039,exact,6,54.3–70.2 gC m-2 yr-1,24
US-Mo3,39.2322,-92.1493,51.681034088134766,exact,5,41.8–54.3 gC m-2 yr-1,20
US-MOz,38.7441,-92.2,65.41484832763672,exact,6,54.3–70.2 gC m-2 yr-1,24
US-Mpj,34.4382,-106.2385,27.18646240234375,exact,3,20.5–31.7 gC m-2 yr-1,9
US-MtB,32.416,-110.7256,24.007251739501953,exact,3,20.5–31.7 gC m-2 yr-1,8
US-Myb,38.0499,-121.765,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-MZA,43.0441,-76.7897,46.255008697509766,exact,5,41.8–54.3 gC m-2 yr-1,18
US-NC1,35.8118,-76.7119,56.50391387939453,exact,6,54.3–70.2 gC m-2 yr-1,22
US-NC2,35.803,-76.6685,56.50391387939453,exact,6,54.3–70.2 gC m-2 yr-1,22
US-NC3,35.799,-76.656,56.50391387939453,exact,6,54.3–70.2 gC m-2 yr-1,22
US-NC4,35.7817,-75.9135,37.83340072631836,exact,4,31.7–41.8 gC m-2 yr-1,14
US-NC5,36.1565,-78.7878,64.393707275390625,exact,6,54.3–70.2 gC m-2 yr-1,24
US-Ne1,41.1651,-96.4766,41.15948867797851,exact,4,31.7–41.8 gC m-2 yr-1,16
US-Ne2,41.1649,-96.4701,41.15948867797851,exact,4,31.7–41.8 gC m-2 yr-1,16
US-Ne3,41.1797,-96.4397,41.15948867797851,exact,4,31.7–41.8 gC m-2 yr-1,16
US-NGB,71.28,-156.6092,1.4065983295440674,exact,1,0–5 gC m-2 yr-1,1
US-NGC,64.8618,-163.7002,26.73303604125977,exact,3,20.5–31.7 gC m-2 yr-1,9
US-NR1,40.0329,-105.547,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1,12
US-NR3,40.052,-105.5864,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1,12
US-NSa,36.6029,-119.5061,24.751543045043945,exact,3,20.5–31.7 gC m-2 yr-1,8
US-NSb,36.3354,-120.1183,32.012489318847656,exact,4,31.7–41.8 gC m-2 yr-1,11
US-Oho,41.5545,-83.8438,58.87558364868164,exact,6,54.3–70.2 gC m-2 yr-1,22
US-ONA,27.3836,-81.9509,54.40349960327149,exact,6,54.3–70.2 gC m-2 yr-1,21
US-OPE,39.0293,-76.8457,57.39830780029297,exact,6,54.3–70.2 gC m-2 yr-1,22
US-OWC,41.3793,-82.5124,50.49251556396485,exact,5,41.8–54.3 gC m-2 yr-1,19
US-PAS,27.3944,-81.951,54.40349960327149,exact,6,54.3–70.2 gC m-2 yr-1,21
US-PFb,45.972,-90.3232,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
