site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
IT-Non,44.68980026245117,11.088700294494627,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Pia,42.58390045166016,10.078399658203123,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-PT1,45.20090103149414,9.061039924621582,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Ren,46.587799072265625,11.434700012207031,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
IT-Ro1,42.40810012817383,11.93000030517578,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Ro2,42.39030075073242,11.920900344848633,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-SRo,43.72785949707031,10.28444004058838,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
IT-Vig,45.31666564941406,8.850000381469727,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
JP-Mas,36.05397033691406,140.02691650390625,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
JP-Tak,36.14619827270508,137.42300415039062,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
JP-Tef,45.056339263916016,142.106201171875,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
JP-Tom,42.739498138427734,141.514892578125,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
KR-Hnm,34.54999923706055,126.56999969482422,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
KR-Kw1,37.74860000610352,127.16300201416016,11,Cwa,"Temperate, dry winter, hot summer",C,Temperate,exact
NL-Ca1,51.97100067138672,4.927000045776367,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
NL-Haa,52.00310134887695,4.805500030517578,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
NL-Hor,52.028900146484375,5.067500114440918,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
NL-Lan,51.9536018371582,4.902900218963623,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
NL-Loo,52.16790008544922,5.743959903717041,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
NL-Lut,53.39889907836914,6.355999946594238,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
NL-Mol,51.650001525878906,4.638999938964844,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
PL-wet,52.76219940185547,16.30940055847168,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
PT-Esp,38.639400482177734,-8.601799964904785,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
PT-Mi1,38.54069900512695,-8.000399589538574,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
PT-Mi2,38.47650146484375,-8.024550437927246,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
RU-Che,68.61470031738281,161.33900451660156,19,Dsc,"Cold, dry summer, cold summer",D,Cold,exact
RU-Cok,70.61669921875,147.88299560546875,19,Dsc,"Cold, dry summer, cold summer",D,Cold,exact
RU-Fyo,56.461669921875,32.92388916015625,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
RU-Ha1,54.72529983520508,90.002197265625,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
RU-Ha2,54.773101806640625,89.95670318603516,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
