site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
MX-Tes,DBF,27.8446,-109.2977,4,3,4,4,4,75.6316,391.213,290.7935,393.26823506938774,72.9539,VUT,VUT,VUT,NT,NT,1
PE-QFR,WET,-3.8344,-73.319,2,2,2,2,2,281.13375,3267.73,2955.38,1003.2392891755101,14.9914,VUT,VUT,VUT,DT,DT,1
PR-xGU,EBF,17.9696,-66.8687,2,2,2,2,2,212.80814999999998,1895.42,1826.345,464.62962915918365,63.075450000000004,VUT,VUT,VUT,DT,DT,1
PR-xLA,GRA,18.0212,-67.0769,1,1,1,2,2,-35.6097,3256.58,3177.26,993.307661632653,41.01575,VUT,VUT,VUT,DT,DT,1
US-A03,BSV,70.4953,-149.8823,3,3,3,4,5,101.306,225.572,357.303,124.01119228408163,20.0162,VUT,VUT,VUT,DT,DT,1
US-A10,BSV,71.3242,-156.6149,4,3,3,5,8,103.7047,259.715,199.821,103.06209814530612,11.24437,CUT,CUT,CUT,NT,NT,0
US-A32,GRA,36.8193,-97.8198,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-A37,CVM,36.3106,-97.928,1,1,1,1,1,-36.8252,1453.37,1483.82,530.8993010938776,35.9204,VUT,VUT,VUT,NT,NT,1
US-A39,CRO,36.3776,-96.069,1,1,1,1,1,32.5491,1072.11,1051.19,550.2872600816327,31.1698,VUT,VUT,VUT,NT,NT,1
US-A74,CRO,36.8085,-97.5489,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-ABa,GRA,27.1301,-81.2011,2,2,2,2,2,366.11,1465.835,1115.971,654.0872908408164,37.286950000000004,VUT,VUT,VUT,NT,NT,1
US-ABb,GRA,27.1346,-81.2031,2,2,2,2,2,141.19265000000001,1557.225,1418.6599999999999,597.0852487836735,38.215450000000004,VUT,VUT,VUT,NT,NT,1
US-ABc,GRA,27.1633,-81.1873,1,1,1,1,1,300.578,1629.51,1254.04,707.7815811918367,24.1612,VUT,VUT,VUT,NT,NT,1
US-ABd,GRA,27.1699,-81.2152,1,1,1,1,1,233.785,1869.53,1646.68,650.4794199183674,36.5596,VUT,VUT,VUT,NT,NT,1
US-ABe,WET,27.1656,-81.2161,2,2,2,2,2,219.2511,2295.85,2082.5550000000003,884.370826432653,24.8842,VUT,VUT,VUT,NT,NT,1
US-ADR,BSV,36.7653,-116.6933,1,1,1,3,3,7.98931,51.11,76.0352,67.2410019820408,56.0433,VUT,VUT,VUT,DT,DT,1
US-Akn,MF,33.3825,-81.5653,4,4,4,4,4,729.749,1641.53,956.3985,703.1381057632652,34.35745,CUT,CUT,CUT,NT,NT,0
US-ALQ,WET,46.0308,-89.6067,5,5,5,7,8,252.427,964.114,850.093,443.43451454693883,18.095550000000003,CUT,CUT,CUT,NT,NT,0
US-AR1,GRA,36.4267,-99.42,2,2,2,2,2,-44.91499999999999,536.471,572.8835,498.2687426938776,39.54625,VUT,VUT,VUT,NT,NT,1
US-AR2,GRA,36.6358,-99.5975,2,2,2,2,2,44.129349999999995,350.4225,302.098,408.30961768163263,43.12195,VUT,VUT,VUT,NT,NT,1
US-ARb,GRA,35.5497,-98.0402,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-ARc,GRA,35.5465,-98.04,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-ARM,CRO,36.6058,-97.4888,22,22,22,22,22,184.4875,1266.675,1056.6950000000002,657.6024210612245,29.6844,VUT,VUT,VUT,NT,NT,1
US-ASH,DBF,36.1697,-120.201,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-ASM,DBF,36.1777,-120.2026,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Aud,GRA,31.5907,-110.5104,16,16,16,18,18,-76.35794999999999,242.83350000000002,283.331,386.5509744979592,62.314,VUT,VUT,VUT,NT,NT,1
US-Bar,DBF,44.0646,-71.2881,15,15,15,15,19,205.99,1271.02,1051.46,332.0889972244898,23.0404,BOTH,BOTH,BOTH,NT,NT,0.9333333333333333
US-Bi1,CRO,38.0992,-121.4993,8,8,8,8,8,41.975899999999996,2227.6000000000004,2158.835,851.3119863183674,15.166599999999999,VUT,VUT,VUT,NT,NT,1
US-Bi2,CRO,38.1091,-121.5351,7,7,7,7,7,-1677.81,1509.89,3192.84,723.1095583346939,31.8385,BOTH,BOTH,BOTH,NT,NT,0.7142857142857143
US-BRG,GRA,39.2167,-86.5406,1,1,1,1,2,79.0157,1924.05,1761.5,677.6962398367348,14.42575,CUT,CUT,CUT,NT,NT,0
US-BZB,WET,64.6955,-148.3208,10,10,10,11,11,-17.5658,536.994,533.327,268.57578504489794,8.66877,VUT,VUT,VUT,NT,NT,1
