site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
US-UiF,AmeriFlux,CRO,Northern America,Americas,2018,2023,5,4,80,FALSE,Temperate steppe,33
US-xBL,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35
US-xDL,AmeriFlux;NEON;Phenocam,MF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21
US-xDS,AmeriFlux;NEON;Phenocam,CVM,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21
US-xHE,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Boreal mountain system,43
US-xMB,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate desert,34
US-xML,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35
US-xNG,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate steppe,33
US-xNQ,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate desert,34
US-xRM,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35
US-xSB,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical humid forest,21
US-xSC,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,4,80,FALSE,Temperate mountain system,35
US-xSJ,AmeriFlux;NEON,SAV,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical mountain system,25
US-xTE,AmeriFlux;NEON,ENF,Northern America,Americas,2019,2024,5,4,80,FALSE,Subtropical mountain system,25
US-xTL,AmeriFlux;NEON;Phenocam,WET,Northern America,Americas,2019,2024,5,4,80,FALSE,Polar,50
AR-CCg,AmeriFlux,GRA,Latin America and the Caribbean,Americas,2018,2024,6,3,50,FALSE,Subtropical humid forest,21
BR-ITA,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2020,2024,4,3,75,FALSE,Tropical moist forest,12
BR-Sa3,AmeriFlux,EBF,Latin America and the Caribbean,Americas,2000,2004,4,3,75,FALSE,Tropical rainforest,11
CA-CF3,AmeriFlux,WET,Northern America,Americas,2022,2025,3,3,100,FALSE,Boreal tundra woodland,42
CA-DSM,AmeriFlux,WET,Northern America,Americas,2021,2024,3,3,100,FALSE,Temperate oceanic forest,31
CA-TPA,AmeriFlux,CRO,Northern America,Americas,2020,2023,3,3,100,FALSE,Temperate continental forest,32
PE-QFR,AmeriFlux,WET,Latin America and the Caribbean,Americas,2018,2022,4,3,75,FALSE,Tropical rainforest,11
US-CF1,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2021,4,3,75,FALSE,Temperate desert,34
US-CF2,AmeriFlux;LTAR;Phenocam,CRO,Northern America,Americas,2017,2020,3,3,100,FALSE,Temperate desert,34
US-CGG,AmeriFlux,GRA,Northern America,Americas,2019,2024,5,3,60,FALSE,Subtropical mountain system,25
US-Cop,AmeriFlux,GRA,Northern America,Americas,2001,2007,6,3,50,FALSE,Temperate desert,34
US-CRT,AmeriFlux;Phenocam,CRO,Northern America,Americas,2011,2013,2,3,150,FALSE,Temperate continental forest,32
US-Dix,AmeriFlux,MF,Northern America,Americas,2005,2008,3,3,100,FALSE,Temperate continental forest,32
US-DPW,AmeriFlux,WET,Northern America,Americas,2013,2016,3,3,100,FALSE,Subtropical humid forest,21
US-DS3,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2025,4,3,75,FALSE,Subtropical dry forest,22
US-HBK,AmeriFlux,DBF,Northern America,Americas,2016,2024,8,3,37.5,FALSE,Temperate mountain system,35
US-HRA,AmeriFlux;Phenocam,CRO,Northern America,Americas,2015,2024,9,3,33.3,FALSE,Subtropical humid forest,21
US-IAB,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33
US-IAM,AmeriFlux,CRO,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33
US-KPL,AmeriFlux,WET,Northern America,Americas,2021,2024,3,3,100,FALSE,Boreal mountain system,43
US-KS2,AmeriFlux,CSH,Northern America,Americas,2003,2006,3,3,100,FALSE,Subtropical humid forest,21
US-Me3,AmeriFlux,ENF,Northern America,Americas,2004,2009,5,3,60,FALSE,Temperate mountain system,35
US-RC2,AmeriFlux;LTAR,CRO,Northern America,Americas,2012,2016,4,3,75,FALSE,Temperate desert,34
US-RC4,AmeriFlux,CRO,Northern America,Americas,2012,2016,4,3,75,FALSE,Temperate mountain system,35
US-RGo,AmeriFlux;Phenocam,CRO,Northern America,Americas,2021,2024,3,3,100,FALSE,Subtropical dry forest,22
US-Ro2,AmeriFlux;Phenocam,CRO,Northern America,Americas,2008,2016,8,3,37.5,FALSE,Temperate steppe,33
US-Ro3,AmeriFlux,CRO,Northern America,Americas,2004,2007,3,3,100,FALSE,Temperate steppe,33
US-Rwe,AmeriFlux,CSH,Northern America,Americas,2003,2007,4,3,75,FALSE,Temperate desert,34
US-SSH,AmeriFlux;Phenocam,DBF,Northern America,Americas,2016,2021,5,3,60,FALSE,Temperate mountain system,35
US-WPT,AmeriFlux,WET,Northern America,Americas,2011,2013,2,3,150,FALSE,Temperate continental forest,32
US-xAB,AmeriFlux;NEON;Phenocam,ENF,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate mountain system,35
US-xCP,AmeriFlux;NEON;Phenocam,GRA,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate steppe,33
US-xGR,AmeriFlux;NEON;Phenocam,DBF,Northern America,Americas,2019,2024,5,3,60,FALSE,Temperate mountain system,35
US-xSR,AmeriFlux;NEON;Phenocam,OSH,Northern America,Americas,2019,2024,5,3,60,FALSE,Subtropical desert,24
