site_id,year,n_months_present,has_data
AU-Gin,2018,12,TRUE
AU-Gin,2019,12,TRUE
AU-Gin,2020,12,TRUE
AU-Gin,2021,12,TRUE
AU-Gin,2022,12,TRUE
AU-Gin,2023,12,TRUE
AU-Gin,2024,12,TRUE
AU-Gin,2025,6,TRUE
AU-How,2002,12,TRUE
AU-How,2003,12,TRUE
AU-How,2004,12,TRUE
AU-How,2005,12,TRUE
AU-How,2006,8,TRUE
AU-How,2007,10,TRUE
AU-How,2008,12,TRUE
AU-How,2009,10,TRUE
AU-How,2010,12,TRUE
AU-How,2011,12,TRUE
AU-How,2012,12,TRUE
AU-How,2013,12,TRUE
AU-How,2014,12,TRUE
AU-How,2015,12,TRUE
AU-How,2016,12,TRUE
AU-How,2017,12,TRUE
AU-How,2018,12,TRUE
AU-How,2019,12,TRUE
AU-How,2020,12,TRUE
AU-How,2021,12,TRUE
AU-How,2022,12,TRUE
AU-How,2023,12,TRUE
AU-How,2024,12,TRUE
AU-How,2025,8,TRUE
AU-Lit,2015,6,TRUE
AU-Lit,2016,12,TRUE
AU-Lit,2017,12,TRUE
AU-Lit,2018,12,TRUE
AU-Lit,2019,12,TRUE
AU-Lit,2020,12,TRUE
AU-Lit,2021,12,TRUE
AU-Lit,2022,8,TRUE
AU-Lit,2023,4,TRUE
AU-Lit,2024,10,TRUE
AU-Lit,2025,11,TRUE
AU-Lon,2018,3,TRUE
AU-Lon,2019,12,TRUE
AU-Lon,2020,12,TRUE
AU-Lon,2021,8,TRUE
AU-Lon,2022,12,TRUE
AU-Lon,2023,3,TRUE
AU-Lon,2024,10,TRUE
AU-Lox,2008,4,TRUE
AU-Lox,2009,5,TRUE
AU-MvA,2023,1,TRUE
AU-MvA,2024,12,TRUE
AU-MvB,2024,12,TRUE
AU-Otw,2007,5,TRUE
AU-Otw,2008,12,TRUE
AU-Otw,2009,12,TRUE
AU-Otw,2010,12,TRUE
AU-RDF,2011,3,TRUE
AU-RDF,2012,12,TRUE
AU-RDF,2013,7,TRUE
AU-Rgf,2015,2,TRUE
AU-Rgf,2016,12,TRUE
AU-Rgf,2017,9,TRUE
AU-Rgf,2018,10,TRUE
AU-Rgf,2019,12,TRUE
AU-Rgf,2020,12,TRUE
AU-Rgf,2021,12,TRUE
AU-Rgf,2022,11,TRUE
AU-Rgf,2023,12,TRUE
AU-Rgf,2024,12,TRUE
AU-Rgf,2025,9,TRUE
AU-Rig,2011,12,TRUE
AU-Rig,2012,12,TRUE
AU-Rig,2013,10,TRUE
AU-Rig,2014,12,TRUE
AU-Rig,2015,12,TRUE
AU-Rig,2016,12,TRUE
AU-Rig,2017,6,TRUE
AU-Rob,2013,5,TRUE
AU-Rob,2014,12,TRUE
AU-Rob,2015,12,TRUE
AU-Rob,2016,12,TRUE
AU-Rob,2017,12,TRUE
AU-Rob,2018,12,TRUE
AU-Rob,2019,12,TRUE
AU-Rob,2020,12,TRUE
AU-Rob,2021,12,TRUE
AU-Rob,2022,12,TRUE
AU-Rob,2023,12,TRUE
AU-Rob,2024,12,TRUE
AU-Rob,2025,11,TRUE
AU-Sam,2010,7,TRUE
