site_id,location_lat,location_long,ai_value,unep_class,aridity_method
US-Me5,44.4372,-121.5668,0.7584000000000001,Humid,exact
US-Me6,44.3232,-121.6044,0.48210000000000003,Semi-Arid,exact
US-Me7,44.4534,-121.5619,0.8805000000000001,Humid,exact
US-MEF,39.1006,-105.1024,0.33480000000000004,Semi-Arid,exact
US-MMS,39.3232,-86.4133,1.0892,Humid,exact
US-MN1,45.6168,-96.1269,0.6215,Dry Sub-Humid,exact
US-MN2,45.627,-96.1271,0.621,Dry Sub-Humid,exact
US-MN3,45.6091,-96.1265,0.6199,Dry Sub-Humid,exact
US-Mo1,39.2298,-92.1167,0.8685,Humid,exact
US-Mo2,38.9488,-91.9945,0.8714000000000001,Humid,exact
US-Mo3,39.2322,-92.1493,0.868,Humid,exact
US-MOz,38.7441,-92.2,0.8584,Humid,exact
US-Mpj,34.4382,-106.2385,0.2602,Semi-Arid,exact
US-MtB,32.416,-110.7256,0.47400000000000003,Semi-Arid,exact
US-Myb,38.0499,-121.765,0.2388,Semi-Arid,exact
US-MZA,43.0441,-76.7897,1.0404,Humid,exact
US-NC1,35.8118,-76.7119,1.0539,Humid,exact
US-NC2,35.803,-76.6685,1.0509,Humid,exact
US-NC3,35.799,-76.656,1.0499,Humid,exact
US-NC4,35.7817,-75.9135,1.1186,Humid,exact
US-NC5,36.1565,-78.7878,0.9863000000000001,Humid,exact
US-Ne1,41.1651,-96.4766,0.6666000000000001,Humid,exact
US-Ne2,41.1649,-96.4701,0.6686000000000001,Humid,exact
US-Ne3,41.1797,-96.4397,0.6652,Humid,exact
US-NGB,71.28,-156.6092,0.5413,Dry Sub-Humid,exact
US-NGC,64.8618,-163.7002,0.9308000000000001,Humid,exact
US-NR1,40.0329,-105.547,0.5048,Dry Sub-Humid,exact
US-NR3,40.052,-105.5864,0.6726000000000001,Humid,exact
US-NSa,36.6029,-119.5061,0.17400000000000002,Arid,exact
US-NSb,36.3354,-120.1183,0.1041,Arid,exact
US-Oho,41.5545,-83.8438,0.8818,Humid,exact
US-ONA,27.3836,-81.9509,0.8437,Humid,exact
US-OPE,39.0293,-76.8457,0.9935,Humid,exact
US-OWC,41.3793,-82.5124,0.8979,Humid,exact
US-PAS,27.3944,-81.951,0.8419000000000001,Humid,exact
US-PFb,45.972,-90.3232,1.0706,Humid,exact
US-PFc,45.9677,-90.3088,1.0718,Humid,exact
US-PFd,45.9689,-90.301,1.07,Humid,exact
US-PFf,45.9458,-90.2944,1.0702,Humid,exact
US-PFg,45.9735,-90.2723,1.0765,Humid,exact
US-PFh,45.9557,-90.2406,1.0835000000000001,Humid,exact
US-PFi,45.9749,-90.2327,1.0819,Humid,exact
US-PFj,45.9619,-90.227,1.0851,Humid,exact
US-PFk,45.9149,-90.3425,1.0568,Humid,exact
US-PFL,45.9409,-90.3177,1.0728,Humid,exact
US-PFm,45.9207,-90.3099,1.0653000000000001,Humid,exact
US-PFn,45.9392,-90.2823,1.071,Humid,exact
US-PFp,45.9365,-90.2641,1.0698,Humid,exact
US-PFq,45.9271,-90.2475,1.0725,Humid,exact
US-PFr,45.9245,-90.2475,1.08,Humid,exact
US-PFt,45.9197,-90.2288,1.0772000000000002,Humid,exact
US-PLo,42.7496,-70.9157,1.0944,Humid,exact
US-Prr,65.1237,-147.4876,0.5956,Dry Sub-Humid,exact
US-PSH,36.2347,-119.9247,0.10060000000000001,Arid,exact
US-PSL,36.8276,-120.1397,0.1441,Arid,exact
US-RC1,46.7837,-117.0777,0.6149,Dry Sub-Humid,exact
US-RC2,46.7776,-117.0807,0.6109,Dry Sub-Humid,exact
US-RC3,46.991,-118.598,0.2164,Semi-Arid,exact
US-RC4,46.758,-116.949,0.6902,Humid,exact
US-RC5,47.01,-119.248,0.15990000000000001,Arid,exact
US-RGA,34.4159,-91.6733,0.9781000000000001,Humid,exact
US-RGB,39.5782,-121.8579,0.3735,Semi-Arid,exact
US-RGF,37.6995,-121.1369,0.1962,Arid,exact
US-RGo,39.6805,-122.0026,0.3599,Semi-Arid,exact
US-RGW,33.6216,-91.4306,1.0153,Humid,exact
US-Rls,43.1439,-116.7356,0.29510000000000003,Semi-Arid,exact
US-Rms,43.0645,-116.7486,0.42860000000000004,Semi-Arid,exact
US-Ro1,44.7143,-93.0898,0.8214,Humid,exact
US-Ro2,44.7288,-93.0888,0.8321000000000001,Humid,exact
US-Ro3,44.7217,-93.0893,0.8273,Humid,exact
US-Ro4,44.6781,-93.0723,0.8318000000000001,Humid,exact
US-Ro5,44.691,-93.0576,0.8294,Humid,exact
US-Ro6,44.6946,-93.0578,0.8323,Humid,exact
US-Rpf,65.1198,-147.429,0.5776,Dry Sub-Humid,exact
US-RRC,37.3344,-77.2065,0.9728,Humid,exact
US-Rwe,43.0653,-116.7591,0.4249,Semi-Arid,exact
US-Rwf,43.1207,-116.7231,0.3699,Semi-Arid,exact
US-Rws,43.1675,-116.7132,0.2529,Semi-Arid,exact
US-Sag,69.5131,-148.5676,0.5891000000000001,Dry Sub-Humid,exact
US-SD1,41.2048,-86.0296,1.0050000000000001,Humid,exact
US-SD2,41.1785,-85.9977,1.0073,Humid,exact
US-Seg,34.3603,-106.7003,0.1365,Arid,exact
US-Ses,34.335,-106.7448,0.1376,Arid,exact
US-SHC,39.4315,-120.2398,0.6924,Humid,exact
US-Slt,39.9138,-74.596,1.0936000000000001,Humid,exact
US-Sne,38.0369,-121.7547,0.23450000000000001,Semi-Arid,exact
US-Snf,38.0402,-121.7272,0.23620000000000002,Semi-Arid,exact
US-SP1,29.7381,-82.2188,0.9545,Humid,exact
US-SRC,31.9083,-110.8395,0.1879,Arid,exact
US-SRG,31.7894,-110.8277,0.2682,Semi-Arid,exact
US-SRM,31.8214,-110.8661,0.22030000000000002,Semi-Arid,exact
US-Srr,38.2006,-122.0264,0.36300000000000004,Semi-Arid,exact
US-SRS,31.8173,-110.8508,0.2248,Semi-Arid,exact
US-SSH,40.6658,-77.9041,1.0366,Humid,exact
US-Sta,41.3966,-106.8024,0.24810000000000001,Semi-Arid,exact
US-StJ,39.0882,-75.4372,0.9861000000000001,Humid,exact
US-Syv,46.2421,-89.3459,1.1236000000000002,Humid,exact
US-TaS,25.1908,-80.6391,0.745,Humid,nearest_land_0.6km
US-TKs,68.6337,-149.5769,0.6315000000000001,Dry Sub-Humid,exact
US-TLR,35.9168,-76.1463,1.0638,Humid,exact
US-Ton,38.4309,-120.966,0.4123,Semi-Arid,exact
US-Tw1,38.1074,-121.6469,0.2597,Semi-Arid,exact
US-Tw2,38.0969,-121.6365,0.2546,Semi-Arid,exact
US-Tw3,38.1152,-121.6469,0.2591,Semi-Arid,exact
US-Tw4,38.1027,-121.6413,0.25930000000000003,Semi-Arid,exact
US-Tw5,38.1072,-121.6426,0.2597,Semi-Arid,exact
US-Twt,38.1087,-121.6531,0.2604,Semi-Arid,exact
US-Uaf,64.8663,-147.8555,0.554,Dry Sub-Humid,exact
US-UC1,40.7536,-78.0056,1.075,Humid,exact
US-UC2,40.7559,-77.9998,1.0737,Humid,exact
US-UiA,40.0646,-88.1961,0.9716,Humid,exact
US-UiB,40.0628,-88.1984,0.9716,Humid,exact
US-UiC,40.0628,-88.1961,0.9716,Humid,exact
US-UiD,40.0646,-88.1985,0.9716,Humid,exact
US-UiE,40.0629,-88.2033,0.9690000000000001,Humid,exact
US-UiF,40.0665,-88.2015,0.9690000000000001,Humid,exact
US-UiG,40.0629,-88.2009,0.9690000000000001,Humid,exact
US-UMd,45.5625,-84.6975,0.9565,Humid,exact
US-UTB,40.7848,-113.8299,0.10600000000000001,Arid,exact
US-UTD,38.1038,-109.5952,0.1751,Arid,exact
US-UTE,37.7353,-111.5708,0.1446,Arid,exact
US-UTJ,37.2818,-109.5348,0.1262,Arid,exact
US-UTL,40.1877,-109.6579,0.15910000000000002,Arid,exact
US-UTM,38.5879,-109.5775,0.1406,Arid,exact
US-UTP,41.0604,-112.1013,0.3105,Semi-Arid,exact
US-UTV,40.1266,-109.9546,0.15910000000000002,Arid,exact
US-UTW,39.4453,-110.7288,0.1608,Arid,exact
US-Var,38.4133,-120.9508,0.4007,Semi-Arid,exact
US-Vcm,35.8885,-106.5322,0.6756,Humid,exact
US-Vcp,35.8641,-106.5965,0.49060000000000004,Semi-Arid,exact
US-VT1,40.4064,-87.5214,0.9919,Humid,exact
US-VT2,40.4018,-87.5213,0.9919,Humid,exact
US-WCr,45.8058,-90.0795,1.096,Humid,exact
US-Whs,31.7438,-110.0522,0.1792,Arid,exact
US-Wjs,34.4258,-105.8617,0.20800000000000002,Semi-Arid,exact
US-Wkg,31.7365,-109.9419,0.20070000000000002,Semi-Arid,exact
US-WPT,41.4646,-82.9962,0.8747,Humid,exact
US-WT1,34.3674,-101.8154,0.2564,Semi-Arid,exact
US-xAB,45.7624,-122.3303,2.6287000000000003,Humid,exact
US-xAE,35.4106,-99.0588,0.40180000000000005,Semi-Arid,exact
US-xBA,71.2824,-156.6194,0.5416000000000001,Dry Sub-Humid,exact
US-xBL,39.0603,-78.0716,0.9364,Humid,exact
US-xBN,65.154,-147.5026,0.6123000000000001,Dry Sub-Humid,exact
US-xBR,44.0639,-71.2873,1.53,Humid,exact
US-xCL,33.4012,-97.57,0.5385,Dry Sub-Humid,exact
US-xCP,40.8155,-104.7456,0.24860000000000002,Semi-Arid,exact
US-xDC,47.1617,-99.1066,0.4338,Semi-Arid,exact
US-xDJ,63.881100000000004,-145.7514,0.5515,Dry Sub-Humid,exact
US-xDL,32.5417,-87.8039,1.0721,Humid,exact
US-xDS,28.125,-81.4362,0.7898000000000001,Humid,exact
US-xGR,35.689,-83.5019,1.2796,Humid,exact
US-xHE,63.8757,-149.2133,0.8396,Humid,exact
US-xJE,31.1948,-84.4686,0.9684,Humid,exact
US-xJR,32.5907,-106.8425,0.1381,Arid,exact
US-xKZ,39.1008,-96.5631,0.6605000000000001,Humid,exact
US-xLE,31.8539,-88.1612,1.1663000000000001,Humid,exact
US-xMB,38.2483,-109.3883,0.2144,Semi-Arid,exact
US-xML,37.3783,-80.5248,1.2264000000000002,Humid,exact
US-xNG,46.7697,-100.9154,0.3866,Semi-Arid,exact
US-xNQ,40.1776,-112.4524,0.198,Arid,exact
US-xNW,40.0543,-105.5824,0.6583,Humid,exact
US-xPU,19.5531,-155.3173,1.9884000000000002,Humid,exact
US-xRM,40.2759,-105.5459,0.4365,Semi-Arid,exact
US-xRN,35.9641,-84.2826,1.1561000000000001,Humid,exact
US-xSB,29.6893,-81.9934,0.9361,Humid,exact
US-xSC,38.8929,-78.1395,1.0045,Humid,exact
US-xSE,38.8901,-76.56,0.9422,Humid,exact
US-xSJ,37.1088,-119.7323,0.32180000000000003,Semi-Arid,exact
US-xSL,40.4619,-103.0293,0.2852,Semi-Arid,exact
US-xSP,37.0334,-119.26220000000001,0.5069,Dry Sub-Humid,exact
US-xSR,31.9107,-110.8355,0.1857,Arid,exact
US-xST,45.5089,-89.5864,1.0541,Humid,exact
US-xTE,37.0058,-119.006,0.6198,Dry Sub-Humid,exact
US-xTL,68.6611,-149.3705,0.6341,Dry Sub-Humid,exact
US-xTR,45.4937,-89.5857,1.0530000000000002,Humid,exact
US-xUK,39.0404,-95.1921,0.7873,Humid,exact
US-xUN,46.2339,-89.5373,1.1218000000000001,Humid,exact
US-xWD,47.1282,-99.2414,0.4179,Semi-Arid,exact
US-xWR,45.8205,-121.9519,2.2241,Humid,exact
US-xYE,44.9535,-110.5391,0.5682,Dry Sub-Humid,exact
US-YK1,61.2723,-163.2228,1.1972,Humid,exact
US-YK2,61.2548,-163.259,1.2022000000000002,Humid,exact
US-ZF2,40.7939,-87.5355,0.9901000000000001,Humid,exact
ZA-Uby,-27.3952,32.5889,0.5601,Dry Sub-Humid,exact
ZA-Spk,-28.70408,29.52614,0.5687,Dry Sub-Humid,exact
ZA-Jks,-33.99029,18.95543,0.6355000000000001,Dry Sub-Humid,exact
