site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method
US-WCr,45.8059,-90.0799,112,6,94.0–171.0 Mg/ha,exact
US-Whs,31.7438,-110.0522,5,2,5–13.0 Mg/ha,exact
US-Wi0,46.6188,-91.0814,103,6,94.0–171.0 Mg/ha,exact
US-Wi1,46.7305,-91.2329,144,6,94.0–171.0 Mg/ha,exact
US-Wi2,46.6869,-91.1528,138,6,94.0–171.0 Mg/ha,exact
US-Wi3,46.6347,-91.0987,106,6,94.0–171.0 Mg/ha,exact
US-Wi4,46.7393,-91.1663,151,6,94.0–171.0 Mg/ha,exact
US-Wi5,46.6531,-91.0858,121,6,94.0–171.0 Mg/ha,exact
US-Wi6,46.6249,-91.2982,15,3,13.0–27.0 Mg/ha,exact
US-Wi7,46.6491,-91.0693,96,6,94.0–171.0 Mg/ha,exact
US-Wi8,46.7223,-91.2524,132,6,94.0–171.0 Mg/ha,exact
US-Wi9,46.7385,-91.0746,142,6,94.0–171.0 Mg/ha,exact
US-Wkg,31.7365,-109.9419,0,1,0–5 Mg/ha,exact
US-WPT,41.4646,-82.9962,10,2,5–13.0 Mg/ha,exact
ZA-Kru,-25.0197,31.4969,1,1,0–5 Mg/ha,exact
ZM-Mon,-15.4391,23.2525,8,2,5–13.0 Mg/ha,exact
