site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label
US-Atq,70.46959686279297,-157.40899658203125,11.701662063598633,exact,2,5.0–20.5 gC m-2 yr-1
US-Aud,31.590700149536133,-110.51000213623048,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1
US-Bar,44.06460189819336,-71.28807830810547,50.109310150146484,exact,5,41.8–54.3 gC m-2 yr-1
US-Bkg,44.34529876708984,-96.83619689941406,39.928829193115234,exact,4,31.7–41.8 gC m-2 yr-1
US-Blo,38.89519882202149,-120.63275146484376,40.76582336425781,exact,4,31.7–41.8 gC m-2 yr-1
US-Bn1,63.9197998046875,-145.3780059814453,25.787246704101562,exact,3,20.5–31.7 gC m-2 yr-1
US-Bn2,63.9197998046875,-145.3780059814453,25.787246704101562,exact,3,20.5–31.7 gC m-2 yr-1
US-Bn3,63.922698974609375,-145.74400329589844,27.92876625061035,exact,3,20.5–31.7 gC m-2 yr-1
US-Bo1,40.00619888305664,-88.29039764404297,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1
US-Bo2,40.00899887084961,-88.29000091552734,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1
US-Brw,71.32250213623047,-156.6259002685547,1.4065983295440674,exact,1,0–5 gC m-2 yr-1
US-CaV,39.06330108642578,-79.4207992553711,64.59270477294922,exact,6,54.3–70.2 gC m-2 yr-1
US-Dk1,35.97119903564453,-79.09339904785156,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1
US-Dk2,35.97359848022461,-79.10040283203125,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1
US-Dk3,35.97819900512695,-79.09420013427734,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1
US-Fmf,35.142601013183594,-111.72730255126952,48.335914611816406,exact,5,41.8–54.3 gC m-2 yr-1
US-FPe,48.30770111083984,-105.10189819335938,36.05140686035156,exact,4,31.7–41.8 gC m-2 yr-1
US-FR2,29.949499130249023,-97.99620056152344,78.77861785888672,exact,7,>70.2 gC m-2 yr-1
US-Fuf,35.0890007019043,-111.76200103759766,48.335914611816406,exact,5,41.8–54.3 gC m-2 yr-1
US-Fwf,35.44540023803711,-111.77179718017578,48.335914611816406,exact,5,41.8–54.3 gC m-2 yr-1
US-Goo,34.25469970703125,-89.87349700927734,67.18597412109375,exact,6,54.3–70.2 gC m-2 yr-1
US-Ha1,42.53779983520508,-72.17150115966797,57.04385757446289,exact,6,54.3–70.2 gC m-2 yr-1
US-Ha2,42.53929901123047,-72.17790222167969,57.04385757446289,exact,6,54.3–70.2 gC m-2 yr-1
US-Ho1,45.2041015625,-68.74019622802734,49.381099700927734,exact,5,41.8–54.3 gC m-2 yr-1
US-Ho2,45.20909881591797,-68.74700164794922,49.381099700927734,exact,5,41.8–54.3 gC m-2 yr-1
US-IB1,41.85929870605469,-88.22270202636719,48.89326477050781,exact,5,41.8–54.3 gC m-2 yr-1
US-IB2,41.840599060058594,-88.240997314453125,48.89326477050781,exact,5,41.8–54.3 gC m-2 yr-1
US-Ivo,68.48650360107422,-155.75,6.100828170776367,exact,2,5.0–20.5 gC m-2 yr-1
US-KS1,28.45829963684082,-80.6708984375,51.665809631347656,exact,5,41.8–54.3 gC m-2 yr-1
US-KS2,28.60860061645508,-80.67150115966797,67.67423248291016,exact,6,54.3–70.2 gC m-2 yr-1
US-Los,46.08269882202149,-89.97920227050781,53.117305755615234,exact,5,41.8–54.3 gC m-2 yr-1
US-LPH,42.541900634765625,-72.18499755859375,57.04385757446289,exact,6,54.3–70.2 gC m-2 yr-1
US-Me1,44.57939910888672,-121.5,40.97549819946289,exact,4,31.7–41.8 gC m-2 yr-1
US-Me2,44.452301025390625,-121.55740356445312,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-Me3,44.315399169921875,-121.60780334472656,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-Me4,44.49919891357422,-121.62239837646484,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1
US-MMS,39.32310104370117,-86.41310119628906,60.12395095825195,exact,6,54.3–70.2 gC m-2 yr-1
US-MOz,38.74409866333008,-92.1999969482422,65.41484832763672,exact,6,54.3–70.2 gC m-2 yr-1
US-NC1,35.811500549316406,-76.71150207519531,56.50391387939453,exact,6,54.3–70.2 gC m-2 yr-1
US-NC2,35.8031005859375,-76.66790008544922,56.50391387939453,exact,6,54.3–70.2 gC m-2 yr-1
US-Ne1,41.16510009765625,-96.47660064697266,41.159488677978516,exact,4,31.7–41.8 gC m-2 yr-1
US-Ne2,41.16490173339844,-96.47010040283205,41.159488677978516,exact,4,31.7–41.8 gC m-2 yr-1
US-Ne3,41.1796989440918,-96.439697265625,41.159488677978516,exact,4,31.7–41.8 gC m-2 yr-1
US-NR1,40.032901763916016,-105.5459976196289,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1
US-Oho,41.554500579833984,-83.84380340576172,58.87558364868164,exact,6,54.3–70.2 gC m-2 yr-1
US-PFa,45.945899963378906,-90.27230072021484,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1
US-SO2,33.3739013671875,-116.62288665771484,56.996055603027344,exact,6,54.3–70.2 gC m-2 yr-1
US-SO3,33.377201080322266,-116.62268829345705,56.996055603027344,exact,6,54.3–70.2 gC m-2 yr-1
US-SO4,33.3843994140625,-116.64025115966795,56.996055603027344,exact,6,54.3–70.2 gC m-2 yr-1
US-SP1,29.738100051879883,-82.21880340576172,58.737823486328125,exact,6,54.3–70.2 gC m-2 yr-1
US-SP2,29.764799118041992,-82.24479675292969,58.737823486328125,exact,6,54.3–70.2 gC m-2 yr-1
US-SP3,29.75480079650879,-82.163299560546875,58.737823486328125,exact,6,54.3–70.2 gC m-2 yr-1
US-SP4,29.802799224853516,-82.2031021118164,58.737823486328125,exact,6,54.3–70.2 gC m-2 yr-1
US-SRM,31.821399688720703,-110.86599731445312,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1
US-Syv,46.242000579833984,-89.34770202636719,57.82821273803711,exact,6,54.3–70.2 gC m-2 yr-1
US-Ton,38.43159866333008,-120.96600341796876,37.63893127441406,exact,4,31.7–41.8 gC m-2 yr-1
US-UMB,45.55979919433594,-84.71379852294922,29.353097915649414,exact,3,20.5–31.7 gC m-2 yr-1
US-Var,38.413299560546875,-120.9507293701172,37.63893127441406,exact,4,31.7–41.8 gC m-2 yr-1
US-WBW,35.95880126953125,-84.28739929199219,59.42998123168945,exact,6,54.3–70.2 gC m-2 yr-1
US-WCr,45.80590057373047,-90.07990264892578,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1
US-Wi0,46.61880111694336,-91.0813980102539,44.10929489135742,exact,5,41.8–54.3 gC m-2 yr-1
