site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
US-MMS,39.3232,-86.4133,59.03190994262695,exact,6,54.4–70.9 gC m-2 yr-1,22
US-MN1,45.6168,-96.1269,47.65911865234375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-MN2,45.627,-96.1271,47.65911865234375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-MN3,45.6091,-96.1265,47.65911865234375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Mo1,39.2298,-92.1167,61.06671142578125,exact,6,54.4–70.9 gC m-2 yr-1,23
US-Mo2,38.9488,-91.9945,63.36971664428711,exact,6,54.4–70.9 gC m-2 yr-1,24
US-Mo3,39.2322,-92.1493,61.06671142578125,exact,6,54.4–70.9 gC m-2 yr-1,23
US-MOz,38.7441,-92.2,67.75593566894531,exact,6,54.4–70.9 gC m-2 yr-1,25
US-Mpj,34.4382,-106.2385,32.67795181274414,exact,4,31.9–42.1 gC m-2 yr-1,11
US-MtB,32.416,-110.7256,31.398038864135746,exact,3,21.3–31.9 gC m-2 yr-1,11
US-Myb,38.0499,-121.765,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-MZA,43.0441,-76.7897,44.0565071105957,exact,5,42.1–54.4 gC m-2 yr-1,17
US-NC1,35.8118,-76.7119,70.90606689453125,exact,7,>70.9 gC m-2 yr-1,26
US-NC2,35.803,-76.6685,70.90606689453125,exact,7,>70.9 gC m-2 yr-1,26
US-NC3,35.799,-76.656,70.90606689453125,exact,7,>70.9 gC m-2 yr-1,26
US-NC4,35.7817,-75.9135,50.05698776245117,exact,5,42.1–54.4 gC m-2 yr-1,19
US-NC5,36.1565,-78.7878,79.237762451171875,exact,7,>70.9 gC m-2 yr-1,27
US-Ne1,41.1651,-96.4766,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ne2,41.1649,-96.4701,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ne3,41.1797,-96.4397,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-NGB,71.28,-156.6092,1.6785470247268677,exact,1,0–5 gC m-2 yr-1,1
US-NGC,64.8618,-163.7002,28.820152282714844,exact,3,21.3–31.9 gC m-2 yr-1,10
US-NR1,40.0329,-105.547,30.316959381103516,exact,3,21.3–31.9 gC m-2 yr-1,10
US-NR3,40.052,-105.5864,30.316959381103516,exact,3,21.3–31.9 gC m-2 yr-1,10
US-NSa,36.6029,-119.5061,30.50186538696289,exact,3,21.3–31.9 gC m-2 yr-1,10
US-NSb,36.3354,-120.1183,40.22392654418945,exact,4,31.9–42.1 gC m-2 yr-1,15
US-Oho,41.5545,-83.8438,57.55900955200195,exact,6,54.4–70.9 gC m-2 yr-1,22
US-ONA,27.3836,-81.9509,51.73332214355469,exact,5,42.1–54.4 gC m-2 yr-1,20
US-OPE,39.0293,-76.8457,59.05137252807617,exact,6,54.4–70.9 gC m-2 yr-1,22
US-OWC,41.3793,-82.5124,52.18299865722656,exact,5,42.1–54.4 gC m-2 yr-1,20
US-PAS,27.3944,-81.951,51.73332214355469,exact,5,42.1–54.4 gC m-2 yr-1,20
US-PFb,45.972,-90.3232,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFc,45.9677,-90.3088,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFd,45.9689,-90.301,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFf,45.9458,-90.2944,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFg,45.9735,-90.2723,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFh,45.9557,-90.2406,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFi,45.9749,-90.2327,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFj,45.9619,-90.227,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFk,45.9149,-90.3425,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFL,45.9409,-90.3177,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFm,45.9207,-90.3099,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFn,45.9392,-90.2823,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFp,45.9365,-90.2641,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFq,45.9271,-90.2475,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFr,45.9245,-90.2475,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PFt,45.9197,-90.2288,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-PLo,42.7496,-70.9157,37.20917510986328,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Prr,65.1237,-147.4876,32.2696418762207,exact,4,31.9–42.1 gC m-2 yr-1,11
US-PSH,36.2347,-119.9247,29.78864097595215,exact,3,21.3–31.9 gC m-2 yr-1,10
US-PSL,36.8276,-120.1397,32.70863723754883,exact,4,31.9–42.1 gC m-2 yr-1,12
US-RC1,46.7837,-117.0777,33.89189147949219,exact,4,31.9–42.1 gC m-2 yr-1,12
US-RC2,46.7776,-117.0807,33.89189147949219,exact,4,31.9–42.1 gC m-2 yr-1,12
US-RC3,46.991,-118.598,29.85625648498535,exact,3,21.3–31.9 gC m-2 yr-1,10
US-RC4,46.758,-116.949,41.46653747558594,exact,4,31.9–42.1 gC m-2 yr-1,16
US-RC5,47.01,-119.248,23.85581398010254,exact,3,21.3–31.9 gC m-2 yr-1,7
US-RGA,34.4159,-91.6733,81.62554168701172,exact,7,>70.9 gC m-2 yr-1,28
US-RGB,39.5782,-121.8579,45.709983825683594,exact,5,42.1–54.4 gC m-2 yr-1,17
US-RGF,37.6995,-121.1369,36.260311126708984,exact,4,31.9–42.1 gC m-2 yr-1,13
US-RGo,39.6805,-122.0026,49.357059478759766,exact,5,42.1–54.4 gC m-2 yr-1,19
US-RGW,33.6216,-91.4306,83.94859313964844,exact,7,>70.9 gC m-2 yr-1,28
US-Rls,43.1439,-116.7356,35.03424835205078,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Rms,43.0645,-116.7486,35.03424835205078,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Ro1,44.7143,-93.0898,37.06844329833984,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Ro2,44.7288,-93.0888,37.06844329833984,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Ro3,44.7217,-93.0893,37.06844329833984,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Ro4,44.6781,-93.0723,37.06844329833984,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Ro5,44.691,-93.0576,37.06844329833984,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Ro6,44.6946,-93.0578,37.06844329833984,exact,4,31.9–42.1 gC m-2 yr-1,14
US-Rpf,65.1198,-147.429,32.2696418762207,exact,4,31.9–42.1 gC m-2 yr-1,11
US-RRC,37.3344,-77.2065,75.794677734375,exact,7,>70.9 gC m-2 yr-1,27
US-Rwe,43.0653,-116.7591,35.03424835205078,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Rwf,43.1207,-116.7231,35.03424835205078,exact,4,31.9–42.1 gC m-2 yr-1,13
