site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
IT-Cp2,41.7043,12.3573,31.610042572021484,exact,3,21.3–31.9 gC m-2 yr-1,11
IT-Cpz,41.7052,12.3761,31.610042572021484,exact,3,21.3–31.9 gC m-2 yr-1,11
IT-Isp,45.8126,8.6336,50.65947341918945,exact,5,42.1–54.4 gC m-2 yr-1,19
IT-La2,45.9542,11.2853,59.2973518371582,exact,6,54.4–70.9 gC m-2 yr-1,22
IT-Lav,45.9562,11.2813,59.2973518371582,exact,6,54.4–70.9 gC m-2 yr-1,22
IT-MBo,46.0147,11.0458,55.9025993347168,exact,6,54.4–70.9 gC m-2 yr-1,21
IT-Noe,40.6062,8.1517,27.429397583007812,exact,3,21.3–31.9 gC m-2 yr-1,9
IT-PT1,45.2009,9.061,79.16117095947266,exact,7,>70.9 gC m-2 yr-1,27
IT-Ren,46.5869,11.4337,44.0641975402832,exact,5,42.1–54.4 gC m-2 yr-1,17
IT-Ro1,42.4081,11.93,43.29387664794922,exact,5,42.1–54.4 gC m-2 yr-1,16
IT-Ro2,42.3903,11.9209,43.29387664794922,exact,5,42.1–54.4 gC m-2 yr-1,16
IT-SR2,43.732,10.2909,52.1485481262207,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-SRo,43.7279,10.2844,52.1485481262207,exact,5,42.1–54.4 gC m-2 yr-1,20
IT-Tor,45.8444,7.5781,39.55758285522461,exact,4,31.9–42.1 gC m-2 yr-1,15
JP-MBF,44.3869,142.3186,38.08851623535156,exact,4,31.9–42.1 gC m-2 yr-1,14
JP-SMF,35.2617,137.0788,51.407814025878906,exact,5,42.1–54.4 gC m-2 yr-1,20
MY-PSO,2.973,102.3062,68.72001647949219,exact,6,54.4–70.9 gC m-2 yr-1,25
NL-Hor,52.2403,5.0713,46.04376602172851,exact,5,42.1–54.4 gC m-2 yr-1,18
NL-Loo,52.1666,5.7436,56.976280212402344,exact,6,54.4–70.9 gC m-2 yr-1,22
PA-SPn,9.3181,-79.6346,34.816104888916016,exact,4,31.9–42.1 gC m-2 yr-1,13
PA-SPs,9.3138,-79.6314,34.816104888916016,exact,4,31.9–42.1 gC m-2 yr-1,13
RU-Che,68.613,161.3414,12.271635055541992,exact,2,5.0–21.3 gC m-2 yr-1,3
RU-Cok,70.8291,147.4943,22.16947364807129,exact,3,21.3–31.9 gC m-2 yr-1,7
RU-Fyo,56.4615,32.9221,54.028594970703125,exact,5,42.1–54.4 gC m-2 yr-1,21
RU-Ha1,54.7252,90.0022,30.178674697875977,exact,3,21.3–31.9 gC m-2 yr-1,10
RU-Sam,72.3738,126.4958,18.489370346069336,exact,2,5.0–21.3 gC m-2 yr-1,5
RU-SkP,62.255,129.168,25.00353240966797,exact,3,21.3–31.9 gC m-2 yr-1,8
RU-Tks,71.5943,128.8878,20.65943145751953,exact,2,5.0–21.3 gC m-2 yr-1,6
RU-Vrk,67.0547,62.9405,38.86795425415039,exact,4,31.9–42.1 gC m-2 yr-1,15
SD-Dem,13.2829,30.4783,27.595870971679688,exact,3,21.3–31.9 gC m-2 yr-1,9
SE-St1,68.3541,19.0503,17.753250122070312,exact,2,5.0–21.3 gC m-2 yr-1,5
SJ-Adv,78.186,15.923,0.6241936683654785,exact,1,0–5 gC m-2 yr-1,1
SJ-Blv,78.9216,11.8311,0.15618331730365753,exact,1,0–5 gC m-2 yr-1,1
SN-Dhr,15.4028,-15.4322,38.76972198486328,exact,4,31.9–42.1 gC m-2 yr-1,14
US-AR1,36.4267,-99.42,56.65922546386719,exact,6,54.4–70.9 gC m-2 yr-1,22
US-AR2,36.6358,-99.5975,56.24404525756836,exact,6,54.4–70.9 gC m-2 yr-1,21
US-ARb,35.5497,-98.0402,54.286258697509766,exact,5,42.1–54.4 gC m-2 yr-1,21
US-ARc,35.5465,-98.04,54.286258697509766,exact,5,42.1–54.4 gC m-2 yr-1,21
US-ARM,36.6058,-97.4888,57.99056243896485,exact,6,54.4–70.9 gC m-2 yr-1,22
US-Atq,70.4696,-157.4089,10.328237533569336,exact,2,5.0–21.3 gC m-2 yr-1,3
US-Blo,38.8953,-120.6328,44.971527099609375,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Cop,38.09,-109.39,35.533748626708984,exact,4,31.9–42.1 gC m-2 yr-1,13
US-CRT,41.6285,-83.3471,31.81790542602539,exact,3,21.3–31.9 gC m-2 yr-1,11
US-GBT,41.3658,-106.2397,21.373937606811523,exact,3,21.3–31.9 gC m-2 yr-1,6
US-GLE,41.3665,-106.2399,21.373937606811523,exact,3,21.3–31.9 gC m-2 yr-1,6
US-Goo,34.2547,-89.8735,69.94374084472656,exact,6,54.4–70.9 gC m-2 yr-1,25
US-Ha1,42.5378,-72.1715,48.78166198730469,exact,5,42.1–54.4 gC m-2 yr-1,19
US-IB2,41.8406,-88.241,44.49059295654297,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ivo,68.4865,-155.7503,6.5149383544921875,exact,2,5.0–21.3 gC m-2 yr-1,2
US-KS1,28.4583,-80.6709,58.07012939453125,exact,6,54.4–70.9 gC m-2 yr-1,22
US-KS2,28.6086,-80.6715,55.89546203613281,exact,6,54.4–70.9 gC m-2 yr-1,21
US-Lin,36.3566,-119.0922,31.211713790893555,exact,3,21.3–31.9 gC m-2 yr-1,11
US-Los,46.0827,-89.9792,46.80606842041016,exact,5,42.1–54.4 gC m-2 yr-1,18
US-LWW,34.9604,-97.9789,64.43492126464844,exact,6,54.4–70.9 gC m-2 yr-1,24
US-Me1,44.5794,-121.5,47.92609405517578,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Me2,44.4526,-121.5589,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me3,44.3154,-121.6078,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me4,44.4992,-121.6224,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me5,44.4372,-121.5668,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Me6,44.3233,-121.6078,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1,17
US-MMS,39.3232,-86.4131,59.03190994262695,exact,6,54.4–70.9 gC m-2 yr-1,22
US-Myb,38.0499,-121.765,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Ne1,41.1651,-96.4766,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ne2,41.1649,-96.4701,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Ne3,41.1797,-96.4397,43.7060546875,exact,5,42.1–54.4 gC m-2 yr-1,17
US-NR1,40.0329,-105.5464,30.316959381103516,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Oho,41.5545,-83.8438,57.55900955200195,exact,6,54.4–70.9 gC m-2 yr-1,22
US-ORv,40.0201,-83.0183,49.48814392089844,exact,5,42.1–54.4 gC m-2 yr-1,19
US-PFa,45.9459,-90.2723,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Prr,65.1237,-147.4876,32.2696418762207,exact,4,31.9–42.1 gC m-2 yr-1,11
US-SRC,31.9083,-110.8395,29.85690116882324,exact,3,21.3–31.9 gC m-2 yr-1,10
US-SRG,31.7894,-110.8277,29.85690116882324,exact,3,21.3–31.9 gC m-2 yr-1,10
US-SRM,31.8214,-110.8661,29.85690116882324,exact,3,21.3–31.9 gC m-2 yr-1,10
US-Sta,41.3966,-106.8024,39.68846893310547,exact,4,31.9–42.1 gC m-2 yr-1,15
US-Syv,46.242,-89.3477,54.891868591308594,exact,6,54.4–70.9 gC m-2 yr-1,21
US-Ton,38.4309,-120.966,42.84930419921875,exact,5,42.1–54.4 gC m-2 yr-1,16
US-Tw1,38.1074,-121.6469,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Tw2,38.0969,-121.6365,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Tw3,38.1152,-121.6469,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Tw4,38.1027,-121.6413,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-Twt,38.1087,-121.6531,35.703857421875,exact,4,31.9–42.1 gC m-2 yr-1,13
US-UMB,45.5598,-84.7138,18.45685386657715,exact,2,5.0–21.3 gC m-2 yr-1,5
US-UMd,45.5625,-84.6975,18.45685386657715,exact,2,5.0–21.3 gC m-2 yr-1,5
US-Var,38.4133,-120.9508,42.84930419921875,exact,5,42.1–54.4 gC m-2 yr-1,16
US-WCr,45.8059,-90.0799,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1,18
US-Whs,31.7438,-110.0522,32.373470306396484,exact,4,31.9–42.1 gC m-2 yr-1,11
US-Wi0,46.6188,-91.0814,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi1,46.7305,-91.2329,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi2,46.6869,-91.1528,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi3,46.6347,-91.0987,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi4,46.7393,-91.1663,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi5,46.6531,-91.0858,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi6,46.6249,-91.2982,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi7,46.6491,-91.0693,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi8,46.7223,-91.2524,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wi9,46.7385,-91.0746,43.861515045166016,exact,5,42.1–54.4 gC m-2 yr-1,17
US-Wkg,31.7365,-109.9419,25.938570022583008,exact,3,21.3–31.9 gC m-2 yr-1,8
US-WPT,41.4646,-82.9962,52.18299865722656,exact,5,42.1–54.4 gC m-2 yr-1,20
ZA-Kru,-25.0197,31.4969,93.5491714477539,exact,7,>70.9 gC m-2 yr-1,29
ZM-Mon,-15.4391,23.2525,65.62340545654297,exact,6,54.4–70.9 gC m-2 yr-1,24
