site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30
US-Me4,44.49919891357422,-121.62239837646484,75,5,51.0–94.0 Mg/ha,exact,19
US-MMS,39.32310104370117,-86.41310119628906,198,7,>171.0 Mg/ha,exact,27
US-MOz,38.74409866333008,-92.1999969482422,145,6,94.0–171.0 Mg/ha,exact,24
US-NC1,35.811500549316406,-76.71150207519531,67,5,51.0–94.0 Mg/ha,exact,18
US-NC2,35.8031005859375,-76.66790008544922,101,6,94.0–171.0 Mg/ha,exact,21
US-Ne1,41.16510009765625,-96.47660064697266,0,1,0–5 Mg/ha,exact,1
US-Ne2,41.16490173339844,-96.47010040283205,0,1,0–5 Mg/ha,exact,1
US-Ne3,41.1796989440918,-96.439697265625,0,1,0–5 Mg/ha,exact,1
US-NR1,40.032901763916016,-105.5459976196289,53,5,51.0–94.0 Mg/ha,exact,16
US-Oho,41.554500579833984,-83.84380340576172,108,6,94.0–171.0 Mg/ha,exact,22
US-PFa,45.945899963378906,-90.27230072021484,117,6,94.0–171.0 Mg/ha,exact,23
US-SO2,33.3739013671875,-116.62288665771484,20,3,13.0–27.0 Mg/ha,exact,9
US-SO3,33.377201080322266,-116.62268829345705,20,3,13.0–27.0 Mg/ha,exact,9
US-SO4,33.3843994140625,-116.64025115966795,17,3,13.0–27.0 Mg/ha,exact,8
US-SP1,29.738100051879883,-82.21880340576172,60,5,51.0–94.0 Mg/ha,exact,17
US-SP2,29.764799118041992,-82.24479675292969,64,5,51.0–94.0 Mg/ha,exact,18
US-SP3,29.75480079650879,-82.163299560546875,57,5,51.0–94.0 Mg/ha,exact,17
US-SP4,29.802799224853516,-82.2031021118164,92,5,51.0–94.0 Mg/ha,exact,21
US-SRM,31.821399688720703,-110.86599731445312,0,1,0–5 Mg/ha,exact,1
US-Syv,46.242000579833984,-89.34770202636719,99,6,94.0–171.0 Mg/ha,exact,21
US-Ton,38.43159866333008,-120.96600341796876,8,2,5–13.0 Mg/ha,exact,4
US-UMB,45.55979919433594,-84.71379852294922,143,6,94.0–171.0 Mg/ha,exact,24
US-Var,38.413299560546875,-120.9507293701172,6,2,5–13.0 Mg/ha,exact,2
US-WBW,35.95880126953125,-84.28739929199219,118,6,94.0–171.0 Mg/ha,exact,23
US-WCr,45.80590057373047,-90.07990264892578,112,6,94.0–171.0 Mg/ha,exact,22
US-Wi0,46.61880111694336,-91.0813980102539,103,6,94.0–171.0 Mg/ha,exact,22
US-Wi1,46.730499267578125,-91.23290252685548,144,6,94.0–171.0 Mg/ha,exact,24
US-Wi2,46.6869010925293,-91.152801513671875,138,6,94.0–171.0 Mg/ha,exact,24
US-Wi4,46.73929977416992,-91.16629791259766,151,6,94.0–171.0 Mg/ha,exact,25
US-Wi5,46.653099060058594,-91.08580017089844,121,6,94.0–171.0 Mg/ha,exact,23
US-Wi6,46.624900817871094,-91.29820251464844,15,3,13.0–27.0 Mg/ha,exact,7
US-Wi7,46.64910125732422,-91.06929779052734,96,6,94.0–171.0 Mg/ha,exact,21
US-Wi8,46.7223014831543,-91.25240325927734,132,6,94.0–171.0 Mg/ha,exact,24
US-Wi9,46.61880111694336,-91.0813980102539,103,6,94.0–171.0 Mg/ha,exact,22
US-Wkg,31.736499786376953,-109.94200134277344,0,1,0–5 Mg/ha,exact,1
US-Wrc,45.820499420166016,-121.9520034790039,264,7,>171.0 Mg/ha,exact,28
VU-Coc,-15.442700386047363,167.19200134277344,24,3,13.0–27.0 Mg/ha,exact,11
ZA-Kru,-25.019699096679688,31.49690055847168,1,1,0–5 Mg/ha,exact,1
