site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30
US-MZA,43.0441,-76.7897,28.351093292236328,exact,4,24.2–32.0 mm yr-1,14
US-NC1,35.8118,-76.7119,32.97030258178711,exact,5,32.0–41.8 mm yr-1,16
US-NC2,35.803,-76.6685,32.97030258178711,exact,5,32.0–41.8 mm yr-1,16
US-NC3,35.799,-76.656,32.97030258178711,exact,5,32.0–41.8 mm yr-1,16
US-NC4,35.7817,-75.9135,35.62569046020508,exact,5,32.0–41.8 mm yr-1,18
US-NC5,36.1565,-78.7878,30.51759147644043,exact,4,24.2–32.0 mm yr-1,15
US-Ne1,41.1651,-96.4766,49.51469039916992,exact,6,41.8–58.1 mm yr-1,24
US-Ne2,41.1649,-96.4701,49.51469039916992,exact,6,41.8–58.1 mm yr-1,24
US-Ne3,41.1797,-96.4397,49.51469039916992,exact,6,41.8–58.1 mm yr-1,24
US-NGB,71.28,-156.6092,15.54870891571045,exact,2,5.0–17.5 mm yr-1,5
US-NGC,64.8618,-163.7002,19.311626434326172,exact,3,17.5–24.2 mm yr-1,8
US-NR1,40.0329,-105.547,29.9481258392334,exact,4,24.2–32.0 mm yr-1,15
US-NR3,40.052,-105.5864,29.9481258392334,exact,4,24.2–32.0 mm yr-1,15
US-NSa,36.6029,-119.5061,51.92042541503906,exact,6,41.8–58.1 mm yr-1,24
US-NSb,36.3354,-120.1183,57.57917785644531,exact,6,41.8–58.1 mm yr-1,26
US-Oho,41.5545,-83.8438,30.20911979675293,exact,4,24.2–32.0 mm yr-1,15
US-ONA,27.3836,-81.9509,52.10189437866211,exact,6,41.8–58.1 mm yr-1,24
US-OPE,39.0293,-76.8457,25.51251983642578,exact,4,24.2–32.0 mm yr-1,12
US-OWC,41.3793,-82.5124,27.213903427124023,exact,4,24.2–32.0 mm yr-1,13
US-PAS,27.3944,-81.951,52.10189437866211,exact,6,41.8–58.1 mm yr-1,24
US-PFb,45.972,-90.3232,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFc,45.9677,-90.3088,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFd,45.9689,-90.301,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFf,45.9458,-90.2944,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFg,45.9735,-90.2723,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFh,45.9557,-90.2406,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFi,45.9749,-90.2327,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFj,45.9619,-90.227,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFk,45.9149,-90.3425,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFL,45.9409,-90.3177,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFm,45.9207,-90.3099,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFn,45.9392,-90.2823,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFp,45.9365,-90.2641,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFq,45.9271,-90.2475,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFr,45.9245,-90.2475,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PFt,45.9197,-90.2288,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-PLo,42.7496,-70.9157,25.00473403930664,exact,4,24.2–32.0 mm yr-1,12
US-Prr,65.1237,-147.4876,20.24443244934082,exact,3,17.5–24.2 mm yr-1,8
US-PSH,36.2347,-119.9247,47.739261627197266,exact,6,41.8–58.1 mm yr-1,23
US-PSL,36.8276,-120.1397,46.40493392944336,exact,6,41.8–58.1 mm yr-1,23
US-RC1,46.7837,-117.0777,27.211999893188477,exact,4,24.2–32.0 mm yr-1,13
US-RC2,46.7776,-117.0807,27.211999893188477,exact,4,24.2–32.0 mm yr-1,13
US-RC3,46.991,-118.598,26.72674560546875,exact,4,24.2–32.0 mm yr-1,13
US-RC4,46.758,-116.949,26.76273536682129,exact,4,24.2–32.0 mm yr-1,13
US-RC5,47.01,-119.248,24.578746795654297,exact,4,24.2–32.0 mm yr-1,11
US-RGA,34.4159,-91.6733,39.59355163574219,exact,5,32.0–41.8 mm yr-1,20
US-RGB,39.5782,-121.8579,43.780120849609375,exact,6,41.8–58.1 mm yr-1,22
US-RGF,37.6995,-121.1369,48.15676498413086,exact,6,41.8–58.1 mm yr-1,23
US-RGo,39.6805,-122.0026,45.89102935791016,exact,6,41.8–58.1 mm yr-1,22
US-RGW,33.6216,-91.4306,40.0261344909668,exact,5,32.0–41.8 mm yr-1,20
US-Rls,43.1439,-116.7356,39.63288879394531,exact,5,32.0–41.8 mm yr-1,20
US-Rms,43.0645,-116.7486,39.63288879394531,exact,5,32.0–41.8 mm yr-1,20
US-Ro1,44.7143,-93.0898,32.63021469116211,exact,5,32.0–41.8 mm yr-1,16
US-Ro2,44.7288,-93.0888,32.63021469116211,exact,5,32.0–41.8 mm yr-1,16
US-Ro3,44.7217,-93.0893,32.63021469116211,exact,5,32.0–41.8 mm yr-1,16
US-Ro4,44.6781,-93.0723,32.63021469116211,exact,5,32.0–41.8 mm yr-1,16
US-Ro5,44.691,-93.0576,32.63021469116211,exact,5,32.0–41.8 mm yr-1,16
US-Ro6,44.6946,-93.0578,32.63021469116211,exact,5,32.0–41.8 mm yr-1,16
US-Rpf,65.1198,-147.429,20.24443244934082,exact,3,17.5–24.2 mm yr-1,8
US-RRC,37.3344,-77.2065,28.809467315673828,exact,4,24.2–32.0 mm yr-1,14
US-Rwe,43.0653,-116.7591,39.63288879394531,exact,5,32.0–41.8 mm yr-1,20
US-Rwf,43.1207,-116.7231,39.63288879394531,exact,5,32.0–41.8 mm yr-1,20
US-Rws,43.1675,-116.7132,39.63288879394531,exact,5,32.0–41.8 mm yr-1,20
US-Sag,69.5131,-148.5676,21.755659103393555,exact,3,17.5–24.2 mm yr-1,9
US-SD1,41.2048,-86.0296,29.14765167236328,exact,4,24.2–32.0 mm yr-1,14
US-SD2,41.1785,-85.9977,29.80430793762207,exact,4,24.2–32.0 mm yr-1,15
US-Seg,34.3603,-106.7003,45.35923385620117,exact,6,41.8–58.1 mm yr-1,22
US-Ses,34.335,-106.7448,45.35923385620117,exact,6,41.8–58.1 mm yr-1,22
US-SHC,39.4315,-120.2398,34.95451354980469,exact,5,32.0–41.8 mm yr-1,18
US-Slt,39.9138,-74.596,30.080398559570312,exact,4,24.2–32.0 mm yr-1,15
US-Sne,38.0369,-121.7547,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-Snf,38.0402,-121.7272,49.37857437133789,exact,6,41.8–58.1 mm yr-1,24
US-SP1,29.7381,-82.2188,46.517574310302734,exact,6,41.8–58.1 mm yr-1,23
US-SRC,31.9083,-110.8395,63.05389022827149,exact,7,>58.1 mm yr-1,27
US-SRG,31.7894,-110.8277,63.05389022827149,exact,7,>58.1 mm yr-1,27
US-SRM,31.8214,-110.8661,63.05389022827149,exact,7,>58.1 mm yr-1,27
US-Srr,38.2006,-122.0264,43.33338928222656,exact,6,41.8–58.1 mm yr-1,21
US-SRS,31.8173,-110.8508,63.05389022827149,exact,7,>58.1 mm yr-1,27
US-SSH,40.6658,-77.9041,22.07541275024414,exact,3,17.5–24.2 mm yr-1,10
US-Sta,41.3966,-106.8024,31.13812828063965,exact,4,24.2–32.0 mm yr-1,16
US-StJ,39.0882,-75.4372,26.668682098388672,exact,4,24.2–32.0 mm yr-1,13
US-Syv,46.2421,-89.3459,30.661664962768555,exact,4,24.2–32.0 mm yr-1,15
US-TaS,25.1908,-80.6391,45.89044952392578,exact,6,41.8–58.1 mm yr-1,22
US-TKs,68.6337,-149.5769,19.253034591674805,exact,3,17.5–24.2 mm yr-1,7
