site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30
US-Ha2,42.53929901123047,-72.17790222167969,548.44464111328125,exact,5,394.0–634.7 mm yr-1,20
US-Ho1,45.2041015625,-68.74019622802734,517.37811279296875,exact,5,394.0–634.7 mm yr-1,19
US-Ho2,45.20909881591797,-68.74700164794922,517.37811279296875,exact,5,394.0–634.7 mm yr-1,19
US-IB1,41.85929870605469,-88.22270202636719,564.1939697265625,exact,5,394.0–634.7 mm yr-1,20
US-IB2,41.840599060058594,-88.240997314453125,564.1939697265625,exact,5,394.0–634.7 mm yr-1,20
US-Ivo,68.48650360107422,-155.75,143.92079162597656,exact,3,143.4–263.9 mm yr-1,6
US-KS1,28.45829963684082,-80.6708984375,900.40399169921875,exact,6,634.7–968.6 mm yr-1,25
US-KS2,28.60860061645508,-80.67150115966797,961.21820068359375,exact,6,634.7–968.6 mm yr-1,26
US-Los,46.08269882202149,-89.97920227050781,489.5101013183594,exact,5,394.0–634.7 mm yr-1,18
US-LPH,42.541900634765625,-72.18499755859375,548.44464111328125,exact,5,394.0–634.7 mm yr-1,20
US-Me1,44.57939910888672,-121.5,417.16650390625,exact,5,394.0–634.7 mm yr-1,17
US-Me2,44.452301025390625,-121.55740356445312,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17
US-Me3,44.315399169921875,-121.60780334472656,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17
US-Me4,44.49919891357422,-121.62239837646484,423.4471435546875,exact,5,394.0–634.7 mm yr-1,17
US-MMS,39.32310104370117,-86.41310119628906,676.22943115234375,exact,6,634.7–968.6 mm yr-1,21
US-MOz,38.74409866333008,-92.1999969482422,722.5723876953125,exact,6,634.7–968.6 mm yr-1,22
US-NC1,35.811500549316406,-76.71150207519531,841.90106201171875,exact,6,634.7–968.6 mm yr-1,24
US-NC2,35.8031005859375,-76.66790008544922,841.90106201171875,exact,6,634.7–968.6 mm yr-1,24
US-Ne1,41.16510009765625,-96.47660064697266,566.23126220703125,exact,5,394.0–634.7 mm yr-1,20
US-Ne2,41.16490173339844,-96.47010040283205,566.23126220703125,exact,5,394.0–634.7 mm yr-1,20
US-Ne3,41.1796989440918,-96.439697265625,566.23126220703125,exact,5,394.0–634.7 mm yr-1,20
US-NR1,40.032901763916016,-105.5459976196289,339.7502136230469,exact,4,263.9–394.0 mm yr-1,14
US-Oho,41.554500579833984,-83.84380340576172,563.61822509765625,exact,5,394.0–634.7 mm yr-1,20
US-PFa,45.945899963378906,-90.27230072021484,509.120361328125,exact,5,394.0–634.7 mm yr-1,19
US-SO2,33.3739013671875,-116.62288665771484,315.0103454589844,exact,4,263.9–394.0 mm yr-1,13
US-SO3,33.377201080322266,-116.62268829345705,315.0103454589844,exact,4,263.9–394.0 mm yr-1,13
US-SO4,33.3843994140625,-116.64025115966795,315.0103454589844,exact,4,263.9–394.0 mm yr-1,13
US-SP1,29.738100051879883,-82.21880340576172,929.49005126953125,exact,6,634.7–968.6 mm yr-1,25
US-SP2,29.764799118041992,-82.24479675292969,929.49005126953125,exact,6,634.7–968.6 mm yr-1,25
US-SP3,29.75480079650879,-82.163299560546875,929.49005126953125,exact,6,634.7–968.6 mm yr-1,25
US-SP4,29.802799224853516,-82.2031021118164,929.49005126953125,exact,6,634.7–968.6 mm yr-1,25
US-SRM,31.821399688720703,-110.86599731445312,363.3477478027344,exact,4,263.9–394.0 mm yr-1,15
US-Syv,46.242000579833984,-89.34770202636719,485.4760437011719,exact,5,394.0–634.7 mm yr-1,18
US-Ton,38.43159866333008,-120.96600341796876,417.7388000488281,exact,5,394.0–634.7 mm yr-1,17
US-UMB,45.55979919433594,-84.71379852294922,469.7247924804687,exact,5,394.0–634.7 mm yr-1,18
US-Var,38.413299560546875,-120.9507293701172,417.7388000488281,exact,5,394.0–634.7 mm yr-1,17
US-WBW,35.95880126953125,-84.28739929199219,758.343017578125,exact,6,634.7–968.6 mm yr-1,23
US-WCr,45.80590057373047,-90.07990264892578,509.120361328125,exact,5,394.0–634.7 mm yr-1,19
US-Wi0,46.61880111694336,-91.0813980102539,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi1,46.730499267578125,-91.23290252685548,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi2,46.6869010925293,-91.152801513671875,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi4,46.73929977416992,-91.16629791259766,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi5,46.653099060058594,-91.08580017089844,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi6,46.624900817871094,-91.29820251464844,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi7,46.64910125732422,-91.06929779052734,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi8,46.7223014831543,-91.25240325927734,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wi9,46.61880111694336,-91.0813980102539,476.473388671875,exact,5,394.0–634.7 mm yr-1,18
US-Wkg,31.736499786376953,-109.94200134277344,307.04742431640625,exact,4,263.9–394.0 mm yr-1,13
US-Wrc,45.820499420166016,-121.9520034790039,477.50738525390625,exact,5,394.0–634.7 mm yr-1,18
VU-Coc,-15.442700386047363,167.19200134277344,1438.723388671875,exact,7,>968.6 mm yr-1,30
ZA-Kru,-25.019699096679688,31.49690055847168,646.2078857421875,exact,6,634.7–968.6 mm yr-1,21
