site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee,network
CZ-BK2,GRA,49.4944,18.5429,4,4,4,4,4,-41.938627499999996,1134.98,1169.78,193.47513737142856,9.780629999999999,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CZ-wet,WET,49.0247,14.7704,8,8,8,8,8,53.378,1140.375,1065.49,473.8154668897959,14.87745,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Akm,WET,53.8662,13.6834,2,2,2,2,2,88.25135,1521.495,1426.74,426.31355049795917,14.501750000000001,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Geb,CRO,51.0997,10.9146,14,14,14,14,14,216.06349999999998,1133.79,862.3515,368.84716089795916,11.79415,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Gri,GRA,50.95,13.5126,11,11,11,11,11,154.382,1674.81,1559.82,377.0064105795919,3.51241,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Hai,DBF,51.0792,10.4522,12,12,12,10,13,566.6265,1652.525,1085.9850000000001,410.52766613877554,14.8927,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Kli,CRO,50.8931,13.5224,7,7,7,7,10,63.6952,1239.85,1134.77,319.0769615020408,7.729115,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Lkb,ENF,49.0996,13.3047,1,1,1,2,3,-265.56,536.5,771.787,468.66384969795917,29.5588,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Lnf,DBF,51.3282,10.3678,7,7,7,7,7,647.055,1733.14,1090.98,382.64684855510205,21.311,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Obe,ENF,50.7867,13.7213,7,7,7,7,7,377.797,1771.24,1481.85,377.8616859428571,19.0023,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-RuR,GRA,50.6219,6.3041,3,3,3,3,3,83.3263,1767.11,1555,530.631383510204,1.87685,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-RuS,CRO,50.8659,6.4471,1,1,1,2,2,543.312,1769.59,1218.19,625.9404877714286,-1.589814,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Seh,CRO,50.8706,6.4497,2,2,2,2,2,305.2865,1284.405,975.964,556.3836731755102,2.9073135,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-SfN,WET,47.8064,11.3275,1,1,1,2,2,412.05,832.048,452.889,457.84732128979596,27.29465,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Spw,WET,51.8922,14.0337,4,4,4,4,4,435.023,1708.04,1262.005,408.9472100081633,16.5379,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Tha,ENF,50.9626,13.5651,18,18,18,18,18,629.711,1980.575,1373.485,393.102074644898,26.05475,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DE-Zrk,WET,53.8759,12.889,1,1,1,1,1,-109.404,700.922,810.579,466.81805211428565,4.4041,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DK-Eng,GRA,55.6905,12.1918,2,2,2,2,2,100.46754999999999,813.2235000000001,714.086,310.2872038530612,3.1038769999999998,VUT,VUT,VUT,NT,NT,1,fluxnet2015
DK-Fou,CRO,56.4842,9.5872,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
DK-Sor,DBF,55.4859,11.6446,17,17,17,17,17,150.14,1948.65,1795.48,426.4681183346939,-3.22814,VUT,VUT,VUT,NT,NT,1,fluxnet2015
ES-Amo,OSH,36.8336,-2.2523,4,4,4,4,4,-183.53199999999998,-25.569580000000002,134.589,190.53384024489793,65.9269,VUT,VUT,VUT,NT,NT,1,fluxnet2015
ES-LgS,OSH,37.0979,-2.9658,2,2,2,2,2,101.26905,432.672,326.45950000000005,370.07146697142855,39.832049999999995,VUT,VUT,VUT,NT,NT,1,fluxnet2015
ES-LJu,OSH,36.9266,-2.7521,6,6,6,9,9,-2.421345,148.3475,137.71800000000002,266.30234977959185,57.417,VUT,VUT,VUT,NT,NT,1,fluxnet2015
ES-Ln2,OSH,36.9695,-3.4758,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
FI-Hyy,ENF,61.8474,24.2948,17,17,17,17,18,216.98,1081.19,907.035,328.29306876734694,15.970949999999998,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FI-Jok,CRO,60.8986,23.5134,2,2,2,2,2,-125.99775,470.343,596.0074999999999,223.31703438367344,3.272645,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FI-Let,ENF,60.6418,23.9595,2,2,2,3,3,-13.48745,1488.555,1521.6,369.18270191020406,24.0573,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FI-Lom,WET,67.9972,24.2092,3,3,3,3,3,57.1033,435.012,401.459,246.66708225306127,9.39608,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FI-Sod,ENF,67.3624,26.6386,13,13,13,13,13,-99.4447,605.185,702.285,286.02391768163267,34.6572,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FR-Fon,DBF,48.4764,2.7801,9,9,9,9,10,661.665,1852.71,1167.87,629.207021387755,14.0317,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FR-Gri,CRO,48.8442,1.9519,5,5,5,10,10,257.591,1302.63,1027.27,494.0091107265306,8.89807,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FR-LBr,ENF,44.7171,-0.7693,7,7,7,10,10,324.674,1909.22,1357.37,589.5861325714286,21.7812,VUT,VUT,VUT,NT,NT,1,fluxnet2015
FR-Pue,EBF,43.7413,3.5957,13,13,13,14,14,214.311,1265.46,1025.79,376.661209077551,25.25575,VUT,VUT,VUT,NT,NT,1,fluxnet2015
GF-Guy,EBF,5.2788,-52.9249,11,11,11,11,11,139.313,3707.54,3520.95,1385.5332078367346,21.4048,VUT,VUT,VUT,NT,NT,1,fluxnet2015
GH-Ank,EBF,5.2685,-2.6942,0,0,0,0,1,NA,NA,NA,NA,22.8457,NA,NA,NA,NA,NA,NA,fluxnet2015
GL-NuF,WET,64.1308,-51.3861,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
GL-ZaF,WET,74.4814,-20.5545,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
GL-ZaH,GRA,74.4733,-20.5503,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
IT-BCi,CRO,40.5237,14.9574,9,9,9,9,9,319.212,1868.69,1454.47,731.1007154938776,14.218,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-CA1,DBF,42.3804,12.0266,2,2,2,2,3,327.209,1358.105,1005.9565,654.0454287183674,37.851,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-CA2,CRO,42.3772,12.026,3,3,3,3,3,73.6953,883.676,849.934,474.4369584,27.2469,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-CA3,DBF,42.38,12.0222,2,2,2,2,2,392.17650000000003,1157.647,747.5195,604.0826635591836,25.262050000000002,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Col,DBF,41.8494,13.5881,5,5,5,5,10,509.243,1225.55,733.422,398.077870922449,33.223,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Cp2,EBF,41.7043,12.3573,1,1,1,1,2,604.29,2005.63,1405.14,408.3205662367347,48.304500000000004,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Cpz,EBF,41.7052,12.3761,4,4,4,6,8,411.37,1932.705,1495.84,405.5602422857143,48.35955,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Isp,DBF,45.8126,8.6336,2,2,2,2,2,284.85,2095.795,2055.51,522.4682696326531,12.0508,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-La2,ENF,45.9542,11.2853,1,1,1,1,1,1049.84,2086.02,1043.67,539.3142317387756,49.9314,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Lav,ENF,45.9562,11.2813,11,11,11,11,12,1757.59,2218.05,431.077,606.4481954938775,41.52865,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-MBo,GRA,46.0147,11.0458,11,11,11,11,11,41.3937,1431.72,1344.21,474.31588026122455,4.38257,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Noe,CSH,40.6062,8.1517,8,8,8,8,8,177.276,1102.895,928.3979999999999,431.00468434285716,61.524100000000004,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-PT1,DBF,45.2009,9.061,1,1,1,1,1,542.653,1456.29,966.946,517.4325783183674,20.5447,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Ren,ENF,46.5869,11.4337,10,10,10,12,12,711.848,1468.245,700.4335,622.9753614367347,63.132450000000006,BOTH,BOTH,BOTH,NT,NT,0.9,fluxnet2015
IT-Ro1,DBF,42.4081,11.93,7,7,7,7,7,250.867,1497.7,1269.47,423.765757322449,38.1676,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Ro2,DBF,42.3903,11.9209,8,8,8,8,9,760.9205,1500.125,807.1175000000001,484.32285962448975,32.7162,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-SR2,ENF,43.732,10.2909,2,2,2,2,2,365.6755,2318.6549999999997,1985.5949999999998,470.0285548897959,26.60765,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-SRo,ENF,43.7279,10.2844,10,10,10,12,12,385.6335,1927.21,1550.145,515.9010686693878,34.079899999999995,VUT,VUT,VUT,NT,NT,1,fluxnet2015
IT-Tor,GRA,45.8444,7.5781,5,5,5,6,6,48.3613,800.139,795.933,444.9338225632654,13.2859,VUT,VUT,VUT,NT,NT,1,fluxnet2015
JP-MBF,DBF,44.3869,142.3186,1,1,1,1,1,398.759,1034.93,652.567,451.00576241632655,22.3864,VUT,VUT,VUT,NT,NT,1,fluxnet2015
JP-SMF,MF,35.2617,137.0788,3,3,3,3,3,-13.2071,1575.38,1547.03,765.5229727346939,20.9204,VUT,VUT,VUT,NT,NT,1,fluxnet2015
MY-PSO,EBF,2.973,102.3062,6,6,6,6,6,915.088,2473.465,1498.425,1269.7354927836734,44.9666,VUT,VUT,VUT,NT,NT,1,fluxnet2015
NL-Hor,GRA,52.2403,5.0713,5,5,5,3,6,229.626,1580.77,1189.32,513.6327856653062,-0.7778885,VUT,VUT,VUT,NT,NT,1,fluxnet2015
NL-Loo,ENF,52.1666,5.7436,16,16,16,16,17,503.221,1643.5749999999998,1172.585,569.1426040653062,15.5258,VUT,VUT,VUT,NT,NT,1,fluxnet2015
PA-SPn,DBF,9.3181,-79.6346,1,1,1,1,1,493.912,2061.93,1542.33,1154.7415304816325,26.7749,VUT,VUT,VUT,NT,NT,1,fluxnet2015
PA-SPs,GRA,9.3138,-79.6314,2,2,2,2,2,-276.9785,2366.105,2646.67,993.896307477551,28.4176,VUT,VUT,VUT,NT,NT,1,fluxnet2015
RU-Che,WET,68.613,161.3414,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
RU-Cok,OSH,70.8291,147.4943,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
RU-Fyo,ENF,56.4615,32.9221,13,13,13,16,16,-122.447,1509.49,1583.33,370.10173650612245,22.56195,VUT,VUT,VUT,NT,NT,1,fluxnet2015
RU-Ha1,GRA,54.7252,90.0022,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
RU-Sam,GRA,72.3738,126.4958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
RU-SkP,DNF,62.255,129.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
RU-Tks,GRA,71.5943,128.8878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
RU-Vrk,CSH,67.0547,62.9405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
SD-Dem,SAV,13.2829,30.4783,1,1,1,2,2,57.6546,460.308,402.279,385.2088104489796,55.57715,VUT,VUT,VUT,NT,NT,1,fluxnet2015
SE-St1,WET,68.3541,19.0503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
SJ-Adv,WET,78.186,15.923,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
SJ-Blv,SNO,78.9216,11.8311,1,1,1,1,1,2.82291,40.6549,38.553,82.43708123755103,-9.46904,VUT,VUT,VUT,NT,NT,1,fluxnet2015
SN-Dhr,SAV,15.4028,-15.4322,1,1,1,1,1,191.48,983.022,791.542,498.71698942040814,50.999,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-AR1,GRA,36.4267,-99.42,2,2,2,2,2,-57.2742,514.71,562.331,508.40646068571436,39.3585,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-AR2,GRA,36.6358,-99.5975,2,2,2,2,2,17.226800000000004,323.1347,298.672,405.8552092408163,43.0553,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-ARb,GRA,35.5497,-98.0402,1,1,1,1,2,-156.647,686.301,839.877,591.4564033959183,46.19855,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-ARc,GRA,35.5465,-98.04,2,2,2,2,2,-3.1825000000000045,1092.0385,1092.362,717.187678089796,45.585899999999995,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-ARM,CRO,36.6058,-97.4888,8,8,8,10,10,8.327955,595.0135,616.6355,499.9342111346939,34.04755,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Atq,WET,70.4696,-157.4089,3,3,3,4,4,7.5823,195.764,165.963,182.24771613061225,1.486685,VUT,VUT,VUT,NT,NT,1,fluxnet2015
US-Blo,ENF,38.8953,-120.6328,7,7,7,7,7,321.78,1486.67,710.555,669.7115230040816,43.8648,BOTH,BOTH,BOTH,NT,NT,0.7142857142857143,fluxnet2015
