site_id,dataset,path,file_name,exists,mtime,size_bytes,feeds
US-TLR,fluxmet_yy,data/extracted/AMF_US-TLR_FLUXNET_2024-2024_v1.3_r1/AMF_US-TLR_FLUXNET_FLUXMET_YY_2024-2024_v1.3_r1.csv,AMF_US-TLR_FLUXNET_FLUXMET_YY_2024-2024_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,4338,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-TaS,era5_yy,data/extracted/AMF_US-TaS_FLUXNET_2017-2023_v1.3_r1/AMF_US-TaS_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-TaS_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3804,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-TaS,fluxmet_yy,data/extracted/AMF_US-TaS_FLUXNET_2017-2023_v1.3_r1/AMF_US-TaS_FLUXNET_FLUXMET_YY_2017-2023_v1.3_r1.csv,AMF_US-TaS_FLUXNET_FLUXMET_YY_2017-2023_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,19298,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Ton,era5_yy,data/extracted/AMF_US-Ton_FLUXNET_2001-2025_v1.3_r1/AMF_US-Ton_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Ton_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3765,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Ton,fluxmet_yy,data/extracted/AMF_US-Ton_FLUXNET_2001-2025_v1.3_r1/AMF_US-Ton_FLUXNET_FLUXMET_YY_2001-2025_v1.3_r1.csv,AMF_US-Ton_FLUXNET_FLUXMET_YY_2001-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,73835,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw1,era5_yy,data/extracted/AMF_US-Tw1_FLUXNET_2011-2023_v1.3_r1/AMF_US-Tw1_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Tw1_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3793,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw1,fluxmet_yy,data/extracted/AMF_US-Tw1_FLUXNET_2011-2023_v1.3_r1/AMF_US-Tw1_FLUXNET_FLUXMET_YY_2011-2023_v1.3_r1.csv,AMF_US-Tw1_FLUXNET_FLUXMET_YY_2011-2023_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,39499,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw2,era5_yy,data/extracted/AMF_US-Tw2_FLUXNET_2012-2013_v1.3_r1/AMF_US-Tw2_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Tw2_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3787,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw2,fluxmet_yy,data/extracted/AMF_US-Tw2_FLUXNET_2012-2013_v1.3_r1/AMF_US-Tw2_FLUXNET_FLUXMET_YY_2012-2013_v1.3_r1.csv,AMF_US-Tw2_FLUXNET_FLUXMET_YY_2012-2013_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,5818,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw3,era5_yy,data/extracted/AMF_US-Tw3_FLUXNET_2013-2018_v1.3_r1/AMF_US-Tw3_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Tw3_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3766,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw3,fluxmet_yy,data/extracted/AMF_US-Tw3_FLUXNET_2013-2018_v1.3_r1/AMF_US-Tw3_FLUXNET_FLUXMET_YY_2013-2018_v1.3_r1.csv,AMF_US-Tw3_FLUXNET_FLUXMET_YY_2013-2018_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,21119,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw4,era5_yy,data/extracted/AMF_US-Tw4_FLUXNET_2013-2024_v1.3_r1/AMF_US-Tw4_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,AMF_US-Tw4_FLUXNET_ERA5_YY_1981-2025_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,3769,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
US-Tw4,fluxmet_yy,data/extracted/AMF_US-Tw4_FLUXNET_2013-2024_v1.3_r1/AMF_US-Tw4_FLUXNET_FLUXMET_YY_2013-2024_v1.3_r1.csv,AMF_US-Tw4_FLUXNET_FLUXMET_YY_2013-2024_v1.3_r1.csv,TRUE,2026-06-01T17:45:18,37565,table_1 (p_era_mean_mm_1981_2025 dataset='era5_yy'; p_era_mean_mm_tower_years window boundary dataset='fluxmet_yy'); spot_check_nine_sites.csv
