path,feeds,exists,mtime,size_bytes
data/extracted/AMF_CA-Man_FLUXNET_1994-2008_v1.3_r1/AMF_CA-Man_FLUXNET_BIF_1994-2008_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,243172
data/extracted/AMF_CA-Mer_FLUXNET_1998-2020_v1.3_r1/AMF_CA-Mer_FLUXNET_BIF_1998-2020_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,365695
data/extracted/AMF_CA-Mtk_FLUXNET_2024-2024_v1.3_r1/AMF_CA-Mtk_FLUXNET_BIF_2024-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,32320
data/extracted/AMF_CA-Na1_FLUXNET_2003-2005_v1.3_r1/AMF_CA-Na1_FLUXNET_BIF_2003-2005_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,62475
data/extracted/AMF_CA-Ojp_FLUXNET_1999-2010_v1.3_r1/AMF_CA-Ojp_FLUXNET_BIF_1999-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,207883
data/extracted/AMF_CA-PB1_FLUXNET_2016-2024_v1.3_r1/AMF_CA-PB1_FLUXNET_BIF_2016-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,125761
data/extracted/AMF_CA-PB2_FLUXNET_2017-2024_v1.3_r1/AMF_CA-PB2_FLUXNET_BIF_2017-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,138430
data/extracted/AMF_CA-Qc2_FLUXNET_2007-2010_v1.3_r1/AMF_CA-Qc2_FLUXNET_BIF_2007-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,76046
data/extracted/AMF_CA-Qfo_FLUXNET_2003-2010_v1.3_r1/AMF_CA-Qfo_FLUXNET_BIF_2003-2010_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,136741
data/extracted/AMF_CA-RBM_FLUXNET_2022-2024_v1.3_r1/AMF_CA-RBM_FLUXNET_BIF_2022-2024_v1.3_r1.csv,"table_1 (badm_map_mm, elevation_m, oneflux_code_version)",TRUE,2026-06-01T16:37:38,63300
