site_id,data_hub,network,oneflux_code_version_manifest,release_version,product_id,location_lat,location_long,igbp,p_era_mean_mm,p_era_sd_mm,n_years_era_full_record,p_era_cv,p_measured_mean_mm,n_years_measured,n_years_fm_total,bio12_mm,badm_map_mm,elevation_m,oneflux_code_version,frac_measured,record_length_years,log_ratio_era_bio12,log_ratio_measured_bio12,log_ratio_era_measured,log_ratio_badm_bio12
AU-Ync,TERN,OzFlux,v1.3,r1,https://dx.doi.org/10.25901/k8zr-kn41,-34.9878,146.2908,GRA,535.3336888888889,167.8469356220696,45,0.31353703139894684,516.864,13,14,435,NA,NA,1.3.4-rc,0.9285714285714286,14,0.0901353177162413,0.07488702730085156,0.01524829041538977,NA
BE-Bra,ICOS,European Fluxes Database;ICOS,v1.3,r1,LFEir6YGDlkpjoTnCuB1qWeS,51.30761,4.51984,ENF,824.7122222222222,111.49584831852563,45,0.1351936412656712,848.9319583333333,24,26,808,920.7,16,1.3.5-rc,0.9230769230769231,26,0.008891070073660454,0.021461522279074063,-0.01257045220541365,0.05670678237689886
BE-Dor,ICOS,European Fluxes Database;ICOS,v1.3,r1,geqYNPk-fvkZDGtnJI-sq1Je,50.311874,4.968113,GRA,660.2978,78.98480133130334,45,0.11961996743182143,675.6423571428571,14,14,849,827.9,253,1.3.4-rc,1,14,-0.10916783996390284,-0.09919082184826969,-0.00997701811563313,-0.010929807651044421
BE-Lcr,ICOS,European Fluxes Database,v1.3,r1,oc2rvgUbNz-kUIeMsNmvNv8X,51.11218,3.85043,DBF,708.4553636363636,89.972908610674,44,0.1269986977709655,728.2245,4,4,782,861.3,6.25,1.3.2-rc,1,4,-0.042894260420045245,-0.030941467042233734,-0.011952793377811521,0.04194769415632038
BE-Lon,ICOS,European Fluxes Database;ICOS,v1.3,r1,1u2xQ5XcQoX0j2wJiZcyDP3M,50.55162,4.746234,CRO,693.0061333333333,88.12174989947405,45,0.12715868685838574,705.4217,20,21,800,742.6,170,1.3.4-rc,0.9523809523809523,21,-0.062352908713419544,-0.05464117180038835,-0.00771173691303118,-0.03233504210180349
BE-Maa,ICOS,European Fluxes Database;ICOS,v1.3,r1,DwEiFNFPCZypbHKn5zK7Phsl,50.97987,5.631851,CSH,723.4132888888889,93.70021228646328,45,0.12952514658720204,763.602,9,10,757,839.1,87,1.3.5-rc,0.9,10,-0.01970939713957235,0.0037711777121618517,-0.023480574851734166,0.04471784159111697
BE-Vie,ICOS,European Fluxes Database;ICOS,v1.3,r1,mYZAS5TMuYruvEj80RAUa5OO,50.304962,5.998099,MF,935.4652444444445,102.20881826885666,45,0.10925987777296482,946.3836785714285,28,30,1103,915.6,490,1.3.5-rc,0.9333333333333333,30,-0.071547855747281,-0.06650827064226071,-0.005039585105020299,-0.08086972843768528
BJ-Bfg,ICOS,Unaffiliated,v1.3,r1,3e0Uvz3eNFxHLxOGL6H7ciVC,9.791,1.718,DBF,1380.1737555555555,150.95191724702448,45,0.10937167631206147,1342.1776,10,10,1173,1200,445,1.3.4-rc,1,10,0.07063575278478766,0.058511974355824,0.01212377842896374,0.009883233932095609
BJ-Db1,ICOS,Unaffiliated,v1.3,r1,bqZsKSML866fLpZmVsqJ1vC4,6.607338,2.543043,CRO,1421.6769333333334,190.23949554758605,45,0.13381345022004487,1263.13,3,3,1194,1440,54,1.3.5-rc,1,3,0.07579659026760865,0.02444372318971961,0.051352867077889004,0.08135816530189934
BJ-Nhu,ICOS,Unaffiliated,v1.3,r1,lmKaXHkgzrf_23otyyDTLet5,9.74,1.6,SAV,1336.0005777777778,152.61703550025422,45,0.11423425860646566,1289.6543,10,10,1205,1190,449,1.3.5-rc,1,10,0.044819599047237306,0.029486263603093865,0.015333335444143467,-0.00544008551835641
