site_id,n_years_era5,map_era5_after,bio12_mm,badm_map_mm,map_era5_before,ratio_to_bio12_after,ratio_to_badm_after,factor_estimate_after,nearest_cluster_after
BW-Nxr,30,2185.233133333333,436,NA,2185.233133333333,5.012002599388379,NA,5.012002599388379,elsewhere
CA-ARB,30,488.89663333333334,625,700,488.89663333333334,0.7822346133333333,0.698423761904762,0.7403291876190476,elsewhere
CA-ARF,30,488.89456666666666,625,700,488.89456666666666,0.7822313066666666,0.6984208095238095,0.740326058095238,elsewhere
CA-BOU,30,711.3454333333333,1032,1011,711.3454333333333,0.6892882105943152,0.7036057698648203,0.6964469902295678,elsewhere
CA-CF1,30,3649.1881,417,452,3649.1881,8.751050599520383,8.073425,8.412237799760192,8
CA-CF2,30,4963.8835,417,452,4963.8835,11.903797362110312,10.98204314159292,11.442920251851616,elsewhere
CA-CF3,30,252.5199,417,NA,252.5199,0.605563309352518,NA,0.605563309352518,elsewhere
CA-Ca1,30,1315.8228666666666,1692,1369,1315.8228666666666,0.7776730890464932,0.9611562210859508,0.8694146550662221,1
CA-Ca2,30,1178.4454666666666,1587,1474,1178.4454666666666,0.7425617307288385,0.7994881049298959,0.7710249178293671,elsewhere
CA-Ca3,30,1772.5385666666666,1582,1676,1772.5385666666666,1.120441571849979,1.0576005767700876,1.0890210743100333,1
CA-Cbo,30,3332.7779666666665,874,876.34,3332.7779666666665,3.8132471014492753,3.8030649823888747,3.8081560419190748,4
CA-DB2,30,1196.4158333333332,1342,NA,1196.4158333333332,0.8915170144063586,NA,0.8915170144063586,1
CA-DBB,30,1139.3527,1469,1128,1139.3527,0.7755974812797821,1.01006445035461,0.892830965817196,1
CA-DSM,30,1166.4762333333333,1464,1077.8,1166.4762333333333,0.796773383424408,1.0822752211294613,0.9395243022769346,1
CA-EM1,30,395.9318333333333,480,504.8,395.9318333333333,0.824857986111111,0.784334059693608,0.8045960229023595,elsewhere
CA-EM2,30,298.75856666666664,480,473.4,298.75856666666664,0.6224136805555555,0.6310911843402337,0.6267524324478946,elsewhere
CA-Gro,30,822.5417666666667,740,831,822.5417666666667,1.111542927927928,0.9898216205375051,1.0506822742327167,1
CA-HPC,30,1114.4470666666666,238,240.6,1114.4470666666666,4.682550700280112,4.631949570518149,4.6572501353991305,elsewhere
CA-KLP,30,573.9364666666667,648,680,573.9364666666667,0.8857044238683127,0.8440242156862745,0.8648643197772936,1
