site_id,mat_era5,bio1_c,badm_mat_c,diff_bio1,diff_badm
US-PFq,5.608005555555556,4.363999843597412,4.33,1.2440057119581436,1.2780055555555556
US-PFr,3.736588888888889,4.363999843597412,4.33,-0.6274109547085231,-0.5934111111111111
US-PFt,5.464875,4.363999843597412,4.33,1.100875156402588,1.134875
US-PLo,9.146016666666666,9.1616668701171875,8.7,-0.01565020345052126,0.44601666666666695
US-Rls,8.166094444444445,7.153166770935059,8.4,1.0129276735093864,-0.23390555555555537
US-Rws,9.340272222222222,8.45633316040039,8.9,0.883939061821831,0.4402722222222213
US-Syv,4.433480555555556,3.757999897003174,3.81,0.6754806585523818,0.6234805555555556
US-Tw1,14.64033888888889,15.347167015075684,15.5,-0.7068281261867941,-0.8596611111111105
US-Tw2,15.379844444444444,15.347167015075684,15.5,0.03267742936876061,-0.12015555555555579
US-Tw5,14.519652777777777,15.347167015075684,15.5,-0.8275142372979065,-0.9803472222222229
US-UMd,6.969772222222222,6.20283317565918,5.83,0.7669390465630421,1.1397722222222217
US-UTJ,12.322072222222221,12.37933349609375,12.6,-0.05726127387152857,-0.2779277777777782
US-UTW,8.289425,9.196999549865723,9.6,-0.9075745498657231,-1.310575
US-UiA,11.292155555555556,11.01550006866455,10.9,0.2766554868910056,0.39215555555555603
US-UiB,11.385091666666666,11.01550006866455,10.9,0.36959159800211516,0.4850916666666656
US-UiC,11.680444444444445,11.01550006866455,10.9,0.6649443757798945,0.7804444444444449
US-UiD,10.93548611111111,11.01550006866455,10.9,-0.08001395755344021,0.03548611111111022
US-WT1,14.180988888888889,14.193666458129883,14.4,-0.012677569240993947,-0.2190111111111115
IT-MBo,5.005663888888889,6.305333614349365,5.5,-1.2996697254604763,-0.4943361111111111
US-HB4,19.734294444444444,18.128334045410156,18.3,1.6059603990342879,1.4342944444444434
