site_id,data_hub,product_source_network,oneflux_code_version,status,factor_estimate,factor_applied,map_era5_uncorrected,map_era5_corrected,bio12_mm,badm_map_mm,was_in_original_26
CN-HeM,ICOS,CNF,v1.3,systematic_cluster,3.927108899143046,4,152.75446666666667,38.18861666666667,41,37,FALSE
CN-Sdq,ICOS,CNF,v1.3,systematic_cluster,3.927108899143046,4,152.75446666666667,38.18861666666667,41,37,FALSE
US-Ne1,AmeriFlux,AMF,v1.3,systematic_cluster,3.926204709750568,4,3120.004,780.001,799,790.37,FALSE
US-MBP,AmeriFlux,AMF,v1.3,systematic_cluster,3.9053436596876345,4,2870.626166666667,717.6565416666667,695,780,FALSE
JP-Hc3,ICOS,JPF,v1.3,systematic_cluster,3.903512040448589,4,4683.106866666667,1170.7767166666667,1423,1037,FALSE
JP-Hc2,ICOS,JPF,v1.3,systematic_cluster,3.898899553069933,4,4683.106866666667,1170.7767166666667,1427,1037,FALSE
JP-Sb1,ICOS,JPF,v1.3,systematic_cluster,3.892827627848538,4,4275.823066666667,1068.9557666666667,1125,1073,FALSE
JP-Sb2,ICOS,JPF,v1.3,systematic_cluster,3.892827627848538,4,4275.823066666667,1068.9557666666667,1125,1073,FALSE
FI-Si2,ICOS,EUF,v1.3,systematic_cluster,3.884195151515152,4,2563.5688,640.8922,660,NA,FALSE
JP-Yms,ICOS,JPF,v1.3,systematic_cluster,3.879170554633395,4,4913.387,1228.34675,1502,1095,TRUE
US-PFk,AmeriFlux,AMF,v1.3,systematic_cluster,3.857054146570473,4,3162.7420666666667,790.6855166666667,817,823,FALSE
ES-TzM,ICOS,EUF,v1.3,systematic_cluster,3.850616613061276,4,1359.1763666666666,339.79409166666665,403,314,FALSE
US-PFn,AmeriFlux,AMF,v1.3,systematic_cluster,3.840611089991624,4,3162.7420666666667,790.6855166666667,824,823,FALSE
US-PFp,AmeriFlux,AMF,v1.3,systematic_cluster,3.840611089991624,4,3162.7420666666667,790.6855166666667,824,823,FALSE
US-DS1,AmeriFlux,AMF,v1.3,systematic_cluster,3.8397068058704966,4,1578.2313333333334,394.55783333333335,392,432,FALSE
US-PFL,AmeriFlux,AMF,v1.3,systematic_cluster,3.8382848601691273,4,3162.7420666666667,790.6855166666667,825,823,FALSE
US-PFf,AmeriFlux,AMF,v1.3,systematic_cluster,3.8382848601691273,4,3162.7420666666667,790.6855166666667,825,823,FALSE
US-PFm,AmeriFlux,AMF,v1.3,systematic_cluster,3.8382848601691273,4,3162.7420666666667,790.6855166666667,825,823,FALSE
US-PFh,AmeriFlux,AMF,v1.3,systematic_cluster,3.833649277644974,4,3162.7420666666667,790.6855166666667,827,823,FALSE
US-PFq,AmeriFlux,AMF,v1.3,systematic_cluster,3.833649277644974,4,3162.7420666666667,790.6855166666667,827,823,FALSE
US-PFr,AmeriFlux,AMF,v1.3,systematic_cluster,3.833649277644974,4,3162.7420666666667,790.6855166666667,827,823,FALSE
US-PFt,AmeriFlux,AMF,v1.3,systematic_cluster,3.833649277644974,4,3162.7420666666667,790.6855166666667,827,823,FALSE
US-PFg,AmeriFlux,AMF,v1.3,systematic_cluster,3.8313398841773254,4,3162.7420666666667,790.6855166666667,828,823,FALSE
US-PFb,AmeriFlux,AMF,v1.3,systematic_cluster,3.829036062225883,4,3162.7420666666667,790.6855166666667,829,823,FALSE
US-PFc,AmeriFlux,AMF,v1.3,systematic_cluster,3.829036062225883,4,3162.7420666666667,790.6855166666667,829,823,FALSE
