site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id
AU-Ync,30,503.6259,9,641.0347777777778,11,1.8262727272727273,671.5276363636364,108,11,0.8981481481481481,435,NA,FALSE,1.1577606896551724,0.785645205936998,0.7499704743756569,NA,TRUE,FALSE,TERN,TERN,v1.3,TERN_AU-Ync_FLUXNET_2012-2025_v1.3_r1.zip,https://dx.doi.org/10.25901/k8zr-kn41
BE-Bra,30,811.3813666666666,22,822.8568636363636,26,1.9376538461538462,708.1463076923077,264,26,0.9015151515151515,808,920.7,FALSE,1.0041848597359735,0.9860540788114903,1.145782104422431,0.8812657398356322,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Bra_FLUXNET_1999-2024_v1.3_r1.zip,LFEir6YGDlkpjoTnCuB1qWeS
BE-Dor,30,643.6931333333333,10,618.0674,NA,NA,NA,120,0,1,849,827.9,FALSE,0.7581780133490381,1.0414610661124228,NA,0.7775010669565567,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Dor_FLUXNET_2011-2024_v1.3_r1.zip,geqYNPk-fvkZDGtnJI-sq1Je
BE-Lcr,30,696.4490666666667,2,748.4449999999999,NA,NA,NA,24,0,1,782,861.3,FALSE,0.8905998294970162,0.9305280503800102,NA,0.808602190487248,TRUE,FALSE,ICOS,EUF,v1.3,EUF_BE-Lcr_FLUXNET_2019-2022_v1.3_r1.zip,oc2rvgUbNz-kUIeMsNmvNv8X
BE-Lon,30,675.7650333333333,17,718.4119411764706,6,2.0615,754.614,204,6,0.9705882352941176,800,742.6,FALSE,0.8447062916666667,0.940637250860142,0.8955108616237352,0.9099986982673489,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Lon_FLUXNET_2004-2024_v1.3_r1.zip,1u2xQ5XcQoX0j2wJiZcyDP3M
BE-Maa,30,697.2788666666667,5,584.06,10,1.6425,598.5624,60,10,0.8333333333333334,757,839.1,FALSE,0.9211081461911053,1.1938480064833523,1.1649225989916283,0.83098422913439,TRUE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Maa_FLUXNET_2016-2025_v1.3_r1.zip,DwEiFNFPCZypbHKn5zK7Phsl
BE-Vie,30,918.7797333333333,25,900.50388,16,1.779625,649.98375,300,16,0.9466666666666667,1103,915.6,FALSE,0.8329825324871563,1.0202951411306893,1.4135426206167974,1.0034728411242173,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_BE-Vie_FLUXNET_1996-2025_v1.3_r1.zip,mYZAS5TMuYruvEj80RAUa5OO
BJ-Bfg,30,1396.9521,10,1342.1749,NA,NA,NA,120,0,1,1173,1200,FALSE,1.1909225063938618,1.0408122667172512,NA,1.1641267499999999,TRUE,FALSE,ICOS,FLX,v1.3,FLX_BJ-Bfg_FLUXNET_2008-2017_v1.3_r1.zip,3e0Uvz3eNFxHLxOGL6H7ciVC
BJ-Db1,30,1404.9051333333332,NA,NA,NA,NA,NA,NA,NA,NA,1194,1440,FALSE,1.176637465103294,NA,NA,0.9756285648148147,TRUE,FALSE,ICOS,FLX,v1.3,FLX_BJ-Db1_FLUXNET_2022-2024_v1.3_r1.zip,bqZsKSML866fLpZmVsqJ1vC4
BJ-Nhu,30,1349.8548666666666,10,1289.6695,NA,NA,NA,120,0,1,1205,1190,FALSE,1.1202115076071921,1.0466672792267062,NA,1.1343318207282913,TRUE,FALSE,ICOS,FLX,v1.3,FLX_BJ-Nhu_FLUXNET_2008-2017_v1.3_r1.zip,lmKaXHkgzrf_23otyyDTLet5
BR-CST,30,661.4289333333334,2,435.1015,10,1.3694,493.788,24,10,0.5833333333333333,745,642,FALSE,0.887824071588367,1.5201715768236455,1.3394998123351183,1.0302631360332295,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-CST_FLUXNET_2014-2015_v1.3_r1.zip,10.17190/AMF/1902820
BR-ITA,30,2457.0402,1,1954.4979999999996,10,4.6663,1691.0471999999997,12,10,0.16666666666666663,1279,1447,FALSE,1.9210634870992962,1.2571208566087049,1.4529696155139846,1.698023635107118,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-ITA_FLUXNET_2020-2024_v1.3_r1.zip,10.17190/AMF/3027371
BR-Ji3,30,6879.8211,7,6554.933285714286,84,18.026904761904763,6554.933285714285,84,84,0,2083,NA,TRUE,3.30284258281325,1.0495638628380504,1.0495638628380506,NA,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Ji3_FLUXNET_2004-2010_v1.3_r1.zip,10.17190/AMF/3027314
BR-Ma2,30,2495.3513666666668,18,2548.8483333333334,10,10.6303,3842.2896,216,10,0.9537037037037037,2352,2252,FALSE,1.0609487103174604,0.9790113181835718,0.6494438541713947,1.1080601095322677,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Ma2_FLUXNET_1999-2016_v1.3_r1.zip,10.17190/AMF/3027671
BR-Ma3,30,2134.5123,11,2119.0485454545455,11,6.674090909090909,2433.698181818182,132,11,0.9166666666666666,2395,2792,FALSE,0.8912368684759916,1.0072974989547194,0.8770653304286629,0.7645101361031518,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Ma3_FLUXNET_2008-2018_v1.3_r1.zip,10.17190/AMF/3027359
BR-Npw,30,1433.2037,5,1480.2816,22,3.3889545454545456,1232.1703636363636,60,22,0.6333333333333333,1320,1486,FALSE,1.085760378787879,0.9681966593383313,1.1631538481175199,0.9644708613728129,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Npw_FLUXNET_2013-2017_v1.3_r1.zip,10.17190/AMF/1881563
BR-SM1,30,5637.838066666666,2,5781.648,24,15.75175,5781.647999999999,24,24,0,1473,1700,TRUE,3.8274528626386055,0.9751264806620303,0.9751264806620304,3.3163753333333332,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-SM1_FLUXNET_2015-2016_v1.3_r1.zip,10.17190/AMF/3027374
