site_id,ERA_VARIABLE,ERA_SLOPE,ERA_INTERCEPT,ERA_RMSE,ERA_CORRELATION
AU-Rig,P,1,-9999,-9999,-9999
AU-Rig,SW_IN,1,30.75,67.66,0.78
AU-Rig,LW_IN,1,-0,7.74,0.84
AU-Rig,LW_IN_JSB,1,-0.08,12.02,0.76
AU-Rob,TA,1,-0,0.94,0.88
AU-Rob,PA,1,0,0.12,0.75
AU-Rob,VPD,1,-0,1.37,0.77
AU-Rob,WS,1,0.13,0.45,0.34
AU-Rob,P,1,-9999,-9999,-9999
AU-Rob,SW_IN,1,6.51,77.5,0.87
AU-Rob,LW_IN,1,-0.01,9.5,0.82
AU-Rob,LW_IN_JSB,1,-0.01,12.7,0.8
AU-Sam,TA,1,-0,1.12,0.9
AU-Sam,PA,1,0,0.03,0.99
AU-Sam,VPD,1,-0,2.07,0.76
AU-Sam,WS,1,0.07,0.29,0.47
AU-Sam,P,1,-9999,-9999,-9999
AU-Sam,SW_IN,1,7.36,53.17,0.9
AU-Sam,LW_IN,1,0.05,7.38,0.89
AU-Sam,LW_IN_JSB,1,-0.01,13.15,0.83
AU-Sil,TA,1,0,0.82,0.88
AU-Sil,PA,1,-0,0.13,0.89
AU-Sil,VPD,1,0,0.8,0.67
AU-Sil,WS,1,0.12,0.33,0.69
AU-Sil,P,1,-9999,-9999,-9999
AU-Sil,SW_IN,1,25.12,55.27,0.75
AU-Sil,LW_IN,1,0.01,8.09,0.68
AU-Sil,LW_IN_JSB,1,-0.08,12.86,0.62
AU-Sno,TA,1,-0,0.52,0.9
AU-Sno,PA,1,-0,0.03,0.97
AU-Sno,VPD,1,-0,0.54,0.71
AU-Sno,WS,1,0.14,0.37,0.68
AU-Sno,P,1,-9999,-9999,-9999
AU-Sno,SW_IN,1,31.39,34.55,0.78
AU-Sno,LW_IN,1,-0.01,4.9,0.77
AU-Sno,LW_IN_JSB,1,-0.04,6.12,0.73
AU-Stp,TA,1,0,1.12,0.96
AU-Stp,PA,1,-0,0.18,0.79
AU-Stp,VPD,1,0.01,3.2,0.92
AU-Stp,WS,1,0.05,0.73,0.66
AU-Stp,P,1,-9999,-9999,-9999
AU-Stp,SW_IN,1,13.09,85.36,0.91
AU-Stp,LW_IN,1,-0.01,9.22,0.94
AU-Stp,LW_IN_JSB,1,0.03,16.56,0.91
AU-TTE,TA,1,-0,0.77,0.98
AU-TTE,PA,1,-0,0.05,0.97
AU-TTE,VPD,1,-0,1.92,0.96
AU-TTE,WS,1,0.11,0.46,0.61
AU-TTE,P,1,-9999,-9999,-9999
AU-TTE,SW_IN,1,11.97,59.98,0.93
AU-TTE,LW_IN,1,0.03,6.27,0.96
AU-TTE,LW_IN_JSB,1,-0,10.75,0.93
AU-Tum,TA,1,-0,2.06,0.88
AU-Tum,PA,1,0,0.2,0.84
AU-Tum,VPD,1,0,2.07,0.8
AU-Tum,WS,1,0.42,0.99,0.51
AU-Tum,P,1,-9999,-9999,-9999
AU-Tum,SW_IN,1,28.23,119.7,0.78
AU-Tum,LW_IN,1,0,13.29,0.82
AU-Tum,LW_IN_JSB,1,0,20.4,0.73
AU-Wac,TA,1,-0,0.84,0.86
AU-Wac,PA,1,-0,0.07,0.93
AU-Wac,VPD,1,-0,0.9,0.7
AU-Wac,WS,1,0.18,0.5,0.4
AU-Wac,P,-9999,-9999,-9999,-9999
AU-Wac,SW_IN,1,21.41,37.33,0.73
AU-Wac,LW_IN,1,-0.01,7.62,0.43
AU-Wac,LW_IN_JSB,1,-0.93,9.4,0.57
AU-Wel,TA,1,0,0.49,0.96
AU-Wel,PA,1,-0,0.02,0.99
AU-Wel,VPD,1,0,0.79,0.92
AU-Wel,WS,1,0.04,0.17,0.64
AU-Wel,P,1,-9999,-9999,-9999
AU-Wel,SW_IN,1,10.75,25.63,0.92
AU-Wel,LW_IN,1,-0.08,3.9,0.89
AU-Wel,LW_IN_JSB,1,-0,5.37,0.89
AU-Wgt,TA,1,0,0.39,0.88
AU-Wgt,PA,1,0,0.02,0.99
AU-Wgt,VPD,1,0,0.29,0.72
AU-Wgt,WS,1,0.12,0.16,0.73
AU-Wgt,P,1,-9999,-9999,-9999
AU-Wgt,SW_IN,1,26.34,25.51,0.77
AU-Wgt,LW_IN,1,0.01,3.98,0.72
AU-Wgt,LW_IN_JSB,1,-0.5,4.74,0.65
AU-Whr,TA,1,0,1.09,0.95
AU-Whr,PA,1,0,0.15,0.89
