variant,aggregation_level,class,p_global,q_network,sampling_ratio
a_era5_as_built,class5,A,0.20011633293061212,0.052496798975672214,0.2623314059721194
a_era5_as_built,class5,B,0.2903583152269643,0.1677336747759283,0.5776782202528484
a_era5_as_built,class5,C,0.12128898674947629,0.34699103713188223,2.860861867438929
a_era5_as_built,class5,D,0.24622261846103122,0.3713188220230474,1.508061380972661
a_era5_as_built,class5,E,0.14201374663191588,0.028169014084507043,0.19835413650143358
b_beck_consistent,class5,A,0.20011633293061212,0.06274007682458387,0.3135180217715573
b_beck_consistent,class5,B,0.2903583152269643,0.11139564660691421,0.38364889436639554
b_beck_consistent,class5,C,0.12128898674947629,0.38028169014084506,3.1353356997393425
b_beck_consistent,class5,D,0.24622261846103122,0.4174135723431498,1.695269000679612
b_beck_consistent,class5,E,0.14201374663191588,0.028169014084507043,0.19835413650143358
c_beck_same_sample,class5,A,0.20011633293061212,0.05761843790012804,0.2879247138718384
c_beck_same_sample,class5,B,0.2903583152269643,0.11139564660691421,0.38364889436639554
c_beck_same_sample,class5,C,0.12128898674947629,0.3649167733674776,3.0086554694468437
c_beck_same_sample,class5,D,0.24622261846103122,0.4046094750320102,1.6432668840943478
c_beck_same_sample,class5,E,0.14201374663191588,0.028169014084507043,0.19835413650143358
a_era5_as_built,twoletter,Af,0.04612657874954013,0.019206145966709345,0.41637915681966386
a_era5_as_built,twoletter,Am,0.03298668926209418,0.005121638924455826,0.15526380606923254
a_era5_as_built,twoletter,Aw,0.1210030649189778,0.028169014084507043,0.23279587259519977
a_era5_as_built,twoletter,BS,0.10871632777403362,0.10243277848911651,0.9422023405906661
a_era5_as_built,twoletter,BW,0.18164198745293073,0.06530089628681178,0.3595033130967769
a_era5_as_built,twoletter,Cf,0.0643394081066682,0.25096030729833546,3.900569101945557
a_era5_as_built,twoletter,Cs,0.01840837072797192,0.088348271446863,4.799353117797431
a_era5_as_built,twoletter,Cw,0.03854120791483616,0.0076824583866837385,0.19933102262024413
a_era5_as_built,twoletter,Df,0.18756681351022858,0.31370038412291934,1.6724727485217545
a_era5_as_built,twoletter,Ds,0.019305415693163634,0.02176696542893726,1.1275056582513943
a_era5_as_built,twoletter,Dw,0.039350389257639014,0.03585147247119078,0.9110830451119618
a_era5_as_built,twoletter,EF,0.09560035422272174,0,NA
a_era5_as_built,twoletter,ET,0.04641339240919413,0.028169014084507043,0.6069156470218924
b_beck_consistent,twoletter,Af,0.04612657874954013,0.015364916773367477,0.3331033254557311
b_beck_consistent,twoletter,Am,0.03298668926209418,0.015364916773367477,0.4657914182076976
b_beck_consistent,twoletter,Aw,0.1210030649189778,0.03201024327784891,0.264540764312727
b_beck_consistent,twoletter,BS,0.10871632777403362,0.08066581306017925,0.7419843432151495
b_beck_consistent,twoletter,BW,0.18164198745293073,0.030729833546734954,0.1691780296926009
b_beck_consistent,twoletter,Cf,0.0643394081066682,0.2676056338028169,4.159280317890925
b_beck_consistent,twoletter,Cs,0.01840837072797192,0.0998719590268886,5.425355698379704
b_beck_consistent,twoletter,Cw,0.03854120791483616,0.012804097311139564,0.3322183710337402
b_beck_consistent,twoletter,Df,0.18756681351022858,0.3444302176696543,1.8363068136830694
b_beck_consistent,twoletter,Ds,0.019305415693163634,0.03585147247119078,1.8570681430022966
b_beck_consistent,twoletter,Dw,0.039350389257639014,0.03713188220230474,0.9436217252945319
b_beck_consistent,twoletter,EF,0.09560035422272174,0,NA
b_beck_consistent,twoletter,ET,0.04641339240919413,0.028169014084507043,0.6069156470218924
c_beck_same_sample,twoletter,Af,0.04612657874954013,0.014084507042253521,0.30534471500108684
c_beck_same_sample,twoletter,Am,0.03298668926209418,0.015364916773367477,0.4657914182076976
c_beck_same_sample,twoletter,Aw,0.1210030649189778,0.028169014084507043,0.23279587259519977
c_beck_same_sample,twoletter,BS,0.10871632777403362,0.08066581306017925,0.7419843432151495
c_beck_same_sample,twoletter,BW,0.18164198745293073,0.030729833546734954,0.1691780296926009
c_beck_same_sample,twoletter,Cf,0.0643394081066682,0.25224071702944945,3.9204699647105854
c_beck_same_sample,twoletter,Cs,0.01840837072797192,0.0998719590268886,5.425355698379704
c_beck_same_sample,twoletter,Cw,0.03854120791483616,0.012804097311139564,0.3322183710337402
c_beck_same_sample,twoletter,Df,0.18756681351022858,0.33290653008962867,1.774869039247576
c_beck_same_sample,twoletter,Ds,0.019305415693163634,0.034571062740076826,1.7907442807522145
c_beck_same_sample,twoletter,Dw,0.039350389257639014,0.03713188220230474,0.9436217252945319
c_beck_same_sample,twoletter,EF,0.09560035422272174,0,NA
c_beck_same_sample,twoletter,ET,0.04641339240919413,0.028169014084507043,0.6069156470218924
