rank_by_abs_delta,target_class,delta_frac,direction,site_id,era5_twoletter,era5_class,beck_twoletter,beck_class
3,BS,-0.02176696542893726,moved_out_under_beck,US-Tw3,BS,BSk,Cs,Csa
3,BS,-0.02176696542893726,moved_out_under_beck,US-UTP,BS,BSk,Ds,Dsa
3,BS,-0.02176696542893726,moved_out_under_beck,US-ZF2,BS,BSk,Df,Dfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-xBA,BS,BSk,ET,ET
3,BS,-0.02176696542893726,moved_out_under_beck,US-xDJ,BS,BSk,Df,Dfc
3,BS,-0.02176696542893726,moved_out_under_beck,US-xNG,BS,BSk,Df,Dfb
3,BS,-0.02176696542893726,moved_out_under_beck,ZA-Spk,BS,BSk,Cw,Cwb
3,BS,-0.02176696542893726,moved_out_under_beck,ZM-Mon,BS,BSh,Cw,Cwa
3,BS,-0.02176696542893726,moved_out_under_beck,DK-RCW,BS,BSk,Cf,Cfb
3,BS,-0.02176696542893726,moved_out_under_beck,SJ-Adv,BS,BSk,ET,ET
3,BS,-0.02176696542893726,moved_out_under_beck,US-KLS,BS,BSk,Df,Dfa
3,BS,-0.02176696542893726,moved_out_under_beck,US-ZF1,BS,BSk,Df,Dfa
4,Cf,0.016645326504481417,moved_in_under_beck,AR-Bal,BS,BSk,Cf,Cfb
4,Cf,0.016645326504481417,moved_in_under_beck,AT-Nsd,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,AU-MvA,BS,BSh,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,AU-MvB,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,AU-Rig,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,AU-Whr,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,CA-DSM,Cs,Csb,Cf,Cfb
4,Cf,0.016645326504481417,moved_in_under_beck,FR-Fon,BS,BSk,Cf,Cfb
4,Cf,0.016645326504481417,moved_in_under_beck,JP-Fjy,Df,Dfb,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,KR-GmP,Df,Dfa,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,KR-GmR,Df,Dfa,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,KR-GmS,Df,Dfa,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-A37,BW,BWk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-A39,BW,BWk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-A74,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-AR2,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-Akn,BW,BWk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-EA5,BS,BSh,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-HB1,BS,BSh,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-HRA,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-HRC,BS,BSk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-KS3,BW,BWh,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-LA3,BS,BSh,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,US-TLR,BW,BWk,Cf,Cfa
4,Cf,0.016645326504481417,moved_in_under_beck,DK-RCW,BS,BSk,Cf,Cfb
4,Cf,0.016645326504481417,moved_out_under_beck,AU-APL,Cf,Cfc,Df,Dfc
4,Cf,0.016645326504481417,moved_out_under_beck,AU-Col,Cf,Cfb,Cs,Csb
4,Cf,0.016645326504481417,moved_out_under_beck,AU-Sno,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,CA-Ca1,Cf,Cfb,Cs,Csb
4,Cf,0.016645326504481417,moved_out_under_beck,CA-Ca2,Cf,Cfb,Cs,Csb
4,Cf,0.016645326504481417,moved_out_under_beck,CA-Ca3,Cf,Cfb,Cs,Csb
4,Cf,0.016645326504481417,moved_out_under_beck,CH-Rh1,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,CH-Rh2,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,CN-Ash,Cf,Cfb,Cw,Cwb
4,Cf,0.016645326504481417,moved_out_under_beck,DE-Lnf,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,ES-VDA,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,KE-Aq1,Cf,Cfb,Cw,Cwb
4,Cf,0.016645326504481417,moved_out_under_beck,KE-Aq2,Cf,Cfb,Cw,Cwb
4,Cf,0.016645326504481417,moved_out_under_beck,KR-AdC,Cf,Cfa,Cw,Cwa
4,Cf,0.016645326504481417,moved_out_under_beck,KR-ScC,Cf,Cfa,Df,Dfa
4,Cf,0.016645326504481417,moved_out_under_beck,SE-Htm,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,US-WT1,Cf,Cfa,BS,BSk
4,Cf,0.016645326504481417,moved_out_under_beck,ZA-Jks,Cf,Cfb,Cs,Csb
4,Cf,0.016645326504481417,moved_out_under_beck,ZA-Uby,Cf,Cfa,Aw,Aw
4,Cf,0.016645326504481417,moved_out_under_beck,CZ-Lnz,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,DE-Hai,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,DE-Hzd,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,DE-Tha,Cf,Cfb,Df,Dfb
4,Cf,0.016645326504481417,moved_out_under_beck,HK-MPM,Cf,Cfa,Cw,Cwa
5,Ds,0.014084507042253523,moved_in_under_beck,CA-CF1,Df,Dfc,Ds,Dsc
5,Ds,0.014084507042253523,moved_in_under_beck,CA-CF3,Df,Dfc,Ds,Dsc
5,Ds,0.014084507042253523,moved_in_under_beck,RU-Ch2,Df,Dfc,Ds,Dsc
5,Ds,0.014084507042253523,moved_in_under_beck,RU-Che,Df,Dfc,Ds,Dsc
5,Ds,0.014084507042253523,moved_in_under_beck,US-CF1,BW,BWk,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-CF2,BW,BWk,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-CF3,BW,BWk,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-CF4,BW,BWk,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-Fmf,Cs,Csb,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-KPL,Df,Dfc,Ds,Dsc
5,Ds,0.014084507042253523,moved_in_under_beck,US-Me5,Cs,Csb,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-RC2,BS,BSk,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,US-UTP,BS,BSk,Ds,Dsa
5,Ds,0.014084507042253523,moved_in_under_beck,US-xTE,Cs,Csb,Ds,Dsb
5,Ds,0.014084507042253523,moved_in_under_beck,ES-Ln2,Cs,Csb,Ds,Dsb
5,Ds,0.014084507042253523,moved_out_under_beck,US-Me3,Ds,Dsb,Cs,Csb
5,Ds,0.014084507042253523,moved_out_under_beck,US-Me6,Ds,Dsb,Cs,Csb
5,Ds,0.014084507042253523,moved_out_under_beck,US-RC3,Ds,Dsa,BS,BSk
