site_id,data_hub,product_source_network,era5_annual_precip_mm,worldclim_bio12_mm,badm_map_mm,measured_annual_precip_mm,n_complete_measured_years,ratio_era5_to_bio12,ratio_era5_to_badm,ratio_era5_to_measured,flag_basis
US-CS2,AmeriFlux,AMF,3231.0546666666664,809,830,NA,0,3.99388710341986,3.892836947791164,NA,empirical factor near 4x
US-DFK,AmeriFlux,AMF,3277.5183666666667,799,787,NA,0,4.102025490196079,4.164572257518,NA,empirical factor near 4x
US-DS1,AmeriFlux,AMF,1578.2313333333334,392,432,NA,0,4.026100340136055,3.6533132716049384,NA,empirical factor near 4x
US-DS2,AmeriFlux,AMF,1542.8013666666666,392,432,1810.226,2,3.935717772108843,3.571299459876543,0.8522700296353419,empirical factor near 4x
US-HBK,AmeriFlux,AMF,4481.9504,1152,1400,NA,0,3.890581944444444,3.2013931428571425,NA,empirical factor near 4x
US-HVs,AmeriFlux,AMF,1515.1631666666667,196,217,NA,0,7.7304243197278915,6.982318740399386,NA,empirical factor near 8x
US-IAB,AmeriFlux,AMF,3589.859733333333,849,912,NA,0,4.228338908519827,3.936249707602339,NA,empirical factor near 4x
US-IAC,AmeriFlux,AMF,3589.859733333333,851,912,NA,0,4.218401566784175,3.936249707602339,NA,empirical factor near 4x
US-IAM,AmeriFlux,AMF,3589.859733333333,851,912,NA,0,4.218401566784175,3.936249707602339,NA,empirical factor near 4x
US-MBP,AmeriFlux,AMF,2870.626166666667,695,780,NA,0,4.130397362110312,3.6802899572649577,NA,empirical factor near 4x
US-Me7,AmeriFlux,AMF,2553.5444666666667,821,523,NA,0,3.110285586682907,4.88249420012747,NA,empirical factor near 4x
US-NGB,AmeriFlux,AMF,914.8648666666668,109,171,NA,0,8.393255657492356,5.35008693957115,NA,empirical factor near 8x
US-NR3,AmeriFlux,AMF,2853.9561,686,884,NA,0,4.160285860058309,3.2284571266968323,NA,empirical factor near 4x
US-Ne1,AmeriFlux,AMF,3120.004,799,790.37,NA,0,3.904886107634543,3.9475233118665938,NA,empirical factor near 4x
US-Ne2,AmeriFlux,AMF,3120.004,799,788.89,NA,0,3.904886107634543,3.954929077564679,NA,empirical factor near 4x
US-Ne3,AmeriFlux,AMF,3120.004,797,783.68,NA,0,3.914685069008782,3.981221927317272,NA,empirical factor near 4x
US-PAS,AmeriFlux,AMF,4443.1348333333335,1285,1268,NA,0,3.457692477302205,3.504049553101998,NA,empirical factor near 4x
US-PFL,AmeriFlux,AMF,3162.7420666666667,825,823,NA,0,3.833626747474747,3.8429429728635074,NA,empirical factor near 4x
US-PFb,AmeriFlux,AMF,3162.7420666666667,829,823,NA,0,3.815129151588259,3.8429429728635074,NA,empirical factor near 4x
US-PFc,AmeriFlux,AMF,3162.7420666666667,829,823,NA,0,3.815129151588259,3.8429429728635074,NA,empirical factor near 4x
US-PFd,AmeriFlux,AMF,3162.7420666666667,829,823,NA,0,3.815129151588259,3.8429429728635074,NA,empirical factor near 4x
US-PFf,AmeriFlux,AMF,3162.7420666666667,825,823,NA,0,3.833626747474747,3.8429429728635074,NA,empirical factor near 4x
US-PFg,AmeriFlux,AMF,3162.7420666666667,828,823,NA,0,3.8197367954911434,3.8429429728635074,NA,empirical factor near 4x
US-PFh,AmeriFlux,AMF,3162.7420666666667,827,823,NA,0,3.824355582426441,3.8429429728635074,NA,empirical factor near 4x
US-PFi,AmeriFlux,AMF,3162.7420666666667,834,823,NA,0,3.792256674660272,3.8429429728635074,NA,empirical factor near 4x
US-PFj,AmeriFlux,AMF,3162.7420666666667,834,823,NA,0,3.792256674660272,3.8429429728635074,NA,empirical factor near 4x
US-PFk,AmeriFlux,AMF,3162.7420666666667,817,823,NA,0,3.871165320277438,3.8429429728635074,NA,empirical factor near 4x
US-PFm,AmeriFlux,AMF,3162.7420666666667,825,823,NA,0,3.833626747474747,3.8429429728635074,NA,empirical factor near 4x
US-PFn,AmeriFlux,AMF,3162.7420666666667,824,823,NA,0,3.838279207119741,3.8429429728635074,NA,empirical factor near 4x
US-PFp,AmeriFlux,AMF,3162.7420666666667,824,823,NA,0,3.838279207119741,3.8429429728635074,NA,empirical factor near 4x
US-PFq,AmeriFlux,AMF,3162.7420666666667,827,823,NA,0,3.824355582426441,3.8429429728635074,NA,empirical factor near 4x
US-PFr,AmeriFlux,AMF,3162.7420666666667,827,823,NA,0,3.824355582426441,3.8429429728635074,NA,empirical factor near 4x
US-PFt,AmeriFlux,AMF,3162.7420666666667,827,823,NA,0,3.824355582426441,3.8429429728635074,NA,empirical factor near 4x
US-PLo,AmeriFlux,AMF,4001.626133333333,1098,1262,NA,0,3.644468245294475,3.170860644479662,NA,empirical factor near 4x
US-Rls,AmeriFlux,AMF,1305.950466666667,375,333,NA,0,3.482534577777778,3.921773173173173,NA,empirical factor near 4x
US-Rws,AmeriFlux,AMF,1305.950466666667,309,290,NA,0,4.226376914778856,4.503277471264368,NA,empirical factor near 4x
US-Syv,AmeriFlux,AMF,3158.2599666666665,836,826,NA,0,3.777822926634769,3.823559281678773,NA,empirical factor near 4x
US-Tw1,AmeriFlux,AMF,1717.7816666666663,370,421,NA,0,4.6426531531531525,4.080241488519398,NA,empirical factor near 4x
US-Tw2,AmeriFlux,AMF,1717.7816666666663,370,421,NA,0,4.6426531531531525,4.080241488519398,NA,empirical factor near 4x
US-Tw5,AmeriFlux,AMF,1717.7816666666663,370,421,NA,0,4.6426531531531525,4.080241488519398,NA,empirical factor near 4x
US-UMd,AmeriFlux,AMF,3229.198833333334,793,803,NA,0,4.072129676334594,4.021418223329182,NA,empirical factor near 4x
US-UTJ,AmeriFlux,AMF,824.7116,212,196.85,NA,0,3.8901490566037737,4.189543307086614,NA,empirical factor near 4x
US-UTW,AmeriFlux,AMF,822.7638333333333,228,225.22,NA,0,3.6086133040935673,3.6531561732232185,NA,empirical factor near 4x
US-UiA,AmeriFlux,AMF,3837.7169,1015,1051,NA,0,3.781001871921182,3.6514908658420553,NA,empirical factor near 4x
US-UiB,AmeriFlux,AMF,3837.7169,1015,1051,NA,0,3.781001871921182,3.6514908658420553,NA,empirical factor near 4x
US-UiC,AmeriFlux,AMF,3837.7169,1015,1051,NA,0,3.781001871921182,3.6514908658420553,NA,empirical factor near 4x
US-UiD,AmeriFlux,AMF,3837.7169,1015,1051,NA,0,3.781001871921182,3.6514908658420553,NA,empirical factor near 4x
US-WT1,AmeriFlux,AMF,1763.8166333333334,491,482,NA,0,3.5922945689069925,3.65937060857538,NA,empirical factor near 4x
IT-MBo,ICOS,ICOS,24150.380833333333,407,1365,1341.8354444444444,9,59.33754504504504,17.692586691086692,17.998019752215022,extreme outlier (not part of the 4x/8x grouping; added separately)
US-HB4,AmeriFlux,AMF,658044.5751,1350,1429,9581.273666666666,3,487.440426,460.4930546536039,68.68028176560104,extreme outlier (not part of the 4x/8x grouping; added separately)
