site_id,date,dd_value,hh_summed_day,ratio_dd_to_hh
FI-Hyy,2004-02-07,0.111,0.10400000000000005,1.0673076923076918
FI-Hyy,2004-02-08,0.05,0.04,1.25
FI-Hyy,2004-02-09,0.259,0.2540000000000001,1.0196850393700783
FI-Hyy,2004-02-12,0.106,0.10400000000000002,1.019230769230769
FI-Hyy,2004-02-13,0.448,0.4520000000000002,0.9911504424778758
FI-Hyy,2004-02-14,0.286,0.28,1.0214285714285714
FI-Hyy,2004-02-15,0.806,0.7939999999999998,1.0151133501259448
FI-Hyy,2004-02-16,0.03,0.03,1
FI-Hyy,2004-02-17,2.794,2.787999999999998,1.0021520803443336
FI-Hyy,2004-02-18,0.136,0.132,1.0303030303030303
FI-Hyy,2004-02-19,0.742,0.7380000000000002,1.0054200542005418
FI-Hyy,2004-02-20,0.049,0.05,0.98
FI-Hyy,2004-02-21,0.046,0.04200000000000001,1.095238095238095
FI-Hyy,2004-02-22,0.936,0.9340000000000002,1.0021413276231261
FI-Hyy,2004-02-23,4.065,4.047999999999998,1.0041996047430835
FI-Hyy,2004-02-24,0.039,0.038,1.0263157894736843
FI-Hyy,2004-02-25,2.724,2.7139999999999995,1.003684598378777
FI-Hyy,2004-02-26,3.074,3.0640000000000005,1.0032637075718014
FI-Hyy,2004-02-27,0.57,0.5680000000000003,1.0035211267605628
FI-Hyy,2004-02-28,0.337,0.34200000000000014,0.985380116959064
FI-Hyy,2004-02-29,0.065,0.06400000000000003,1.0156249999999996
FI-Hyy,2004-03-01,1.22,1.2139999999999997,1.0049423393739705
FI-Hyy,2004-03-02,9.322,9.284000000000002,1.004093063334769
FI-Hyy,2004-03-03,0.532,0.5280000000000002,1.0075757575757571
FI-Hyy,2004-03-06,0.017,0.014000000000000005,1.214285714285714
FI-Hyy,2004-03-07,0.023,0.024,0.9583333333333333
FI-Hyy,2004-03-08,0.064,0.064,1
FI-Hyy,2004-03-11,0.018,0.014000000000000002,1.2857142857142854
FI-Hyy,2004-03-14,0.429,0.42400000000000015,1.0117924528301883
FI-Hyy,2004-03-15,3.85,3.8339999999999996,1.004173187271779
FI-Hyy,2004-03-16,0.533,0.5300000000000002,1.0056603773584902
FI-Hyy,2004-03-17,1.116,1.11,1.0054054054054054
FI-Hyy,2004-03-18,0.927,0.918,1.0098039215686274
FI-Hyy,2004-03-20,6.054,6.030000000000003,1.003980099502487
FI-Hyy,2004-03-21,2.679,2.668,1.0041229385307344
FI-Hyy,2004-03-22,2.58,2.5700000000000003,1.0038910505836576
FI-Hyy,2004-03-23,0.823,0.8220000000000005,1.0012165450121648
FI-Hyy,2004-03-24,0.067,0.06,1.1166666666666667
FI-Hyy,2004-03-25,0.436,0.43800000000000017,0.9954337899543375
FI-Hyy,2004-03-26,0.092,0.09400000000000003,0.9787234042553189
FI-Hyy,2004-03-27,0.194,0.188,1.0319148936170213
FI-Hyy,2004-03-28,2.013,2.006,1.0034895314057828
FI-Hyy,2004-03-30,0.049,0.04800000000000001,1.0208333333333333
FI-Hyy,2004-04-10,2.349,2.335999999999999,1.0055650684931512
FI-Hyy,2004-04-11,3.312,3.299999999999997,1.0036363636363645
FI-Hyy,2004-04-12,0.186,0.18200000000000002,1.021978021978022
FI-Hyy,2004-04-14,1.059,1.0519999999999994,1.0066539923954378
FI-Hyy,2004-04-16,0.014,0.016,0.875
FI-Hyy,2004-04-21,0.15,0.15000000000000002,0.9999999999999998
FI-Hyy,2004-04-24,0.405,0.4020000000000001,1.007462686567164
FI-Hyy,2004-04-29,0.27,0.268,1.007462686567164
FI-Hyy,2004-05-01,0.562,0.56,1.0035714285714286
FI-Hyy,2004-05-03,0.655,0.652,1.0046012269938651
FI-Hyy,2004-05-04,4.291,4.2700000000000005,1.0049180327868852
FI-Hyy,2004-05-05,2.407,2.397999999999999,1.0037531276063392
FI-Hyy,2004-05-06,0.039,0.04,0.975
FI-Hyy,2004-05-07,0.372,0.37000000000000005,1.0054054054054054
FI-Hyy,2004-05-08,0.362,0.36,1.0055555555555555
FI-Hyy,2004-05-09,0.642,0.6359999999999999,1.009433962264151
FI-Hyy,2004-05-10,1.807,1.7979999999999994,1.0050055617352618
FI-Hyy,2004-05-12,0.611,0.6120000000000001,0.9983660130718952
FI-Hyy,2004-05-13,0.394,0.3920000000000001,1.0051020408163263
FI-Hyy,2004-05-14,0.86,0.8520000000000002,1.009389671361502
FI-Hyy,2004-05-15,1.441,1.4359999999999995,1.0034818941504182
FI-Hyy,2004-05-16,0.267,0.266,1.0037593984962405
FI-Hyy,2004-05-17,0.198,0.198,1
FI-Hyy,2004-05-18,6.032,6.008000000000001,1.0039946737683088
FI-Hyy,2004-05-19,0.677,0.6720000000000002,1.007440476190476
FI-Hyy,2004-05-20,0.558,0.552,1.0108695652173914
FI-Hyy,2004-05-21,5.035,5.016,1.003787878787879
FI-Hyy,2004-05-22,0.675,0.6720000000000002,1.0044642857142856
FI-Hyy,2004-05-23,1.208,1.2039999999999995,1.003322259136213
FI-Hyy,2004-05-24,0.293,0.29000000000000004,1.0103448275862068
FI-Hyy,2004-05-25,0.803,0.7980000000000003,1.0062656641604006
FI-Hyy,2004-05-26,0.107,0.10600000000000004,1.0094339622641506
FI-Hyy,2004-05-27,2.177,2.169999999999999,1.0032258064516133
FI-Hyy,2004-05-28,0.83,0.8300000000000001,0.9999999999999999
FI-Hyy,2004-05-29,1.743,1.7359999999999998,1.0040322580645162
FI-Hyy,2004-05-30,7.614,7.588,1.003426462836057
FI-Hyy,2004-05-31,0.235,0.23800000000000002,0.9873949579831931
FI-Hyy,2004-06-01,0.449,0.44800000000000006,1.0022321428571428
FI-Hyy,2004-06-02,0.102,0.1,1.0199999999999998
FI-Hyy,2004-06-03,0.853,0.8480000000000002,1.0058962264150941
FI-Hyy,2004-06-04,0.077,0.07600000000000001,1.013157894736842
FI-Hyy,2004-06-06,3.19,3.1779999999999973,1.003775959723097
FI-Hyy,2004-06-07,4.029,4.010000000000001,1.0047381546134662
FI-Hyy,2004-06-08,0.092,0.09000000000000002,1.022222222222222
FI-Hyy,2004-06-09,0.034,0.034,1
FI-Hyy,2004-06-10,0.736,0.732,1.005464480874317
FI-Hyy,2004-06-11,5.125,5.1080000000000005,1.0033281127642912
FI-Hyy,2004-06-12,14.067,14.012,1.003925206965458
FI-Hyy,2004-06-13,2.315,2.307999999999999,1.0030329289428082
FI-Hyy,2004-06-14,5.866,5.840000000000003,1.00445205479452
FI-Hyy,2004-06-15,0.986,0.9820000000000002,1.0040733197556007
FI-Hyy,2004-06-16,4.947,4.925999999999998,1.0042630937880637
FI-Hyy,2004-06-17,0.726,0.7220000000000002,1.0055401662049859
FI-Hyy,2004-06-18,0.989,0.9880000000000002,1.0010121457489876
FI-Hyy,2004-06-19,0.645,0.6420000000000002,1.0046728971962613
FI-Hyy,2004-06-20,5.599,5.5760000000000005,1.0041248206599713
FI-Hyy,2004-06-22,0.723,0.724,0.9986187845303868
FI-Hyy,2004-06-23,4.2,4.178000000000001,1.0052656773575872
FI-Hyy,2004-06-24,5.2,5.182000000000002,1.003473562331146
FI-Hyy,2004-06-25,0.949,0.9460000000000003,1.0031712473572936
FI-Hyy,2004-06-26,10.551,10.509999999999996,1.0039010466222649
FI-Hyy,2004-06-27,2.677,2.6620000000000004,1.0056348610067618
FI-Hyy,2004-06-28,6.054,6.028,1.0043132050431323
FI-Hyy,2004-06-29,0.059,0.05,1.18
FI-Hyy,2004-06-30,21.121,21.037999999999997,1.0039452419431505
FI-Hyy,2004-07-01,5.463,5.441999999999998,1.0038588754134512
FI-Hyy,2004-07-02,0.399,0.39800000000000013,1.00251256281407
FI-Hyy,2004-07-03,18.289,18.22,1.0037870472008783
FI-Hyy,2004-07-04,4.779,4.758000000000001,1.0044136191677173
FI-Hyy,2004-07-05,5.688,5.668,1.0035285815102328
FI-Hyy,2004-07-06,1.309,1.3040000000000005,1.0038343558282203
FI-Hyy,2004-07-07,3.069,3.056,1.0042539267015707
FI-Hyy,2004-07-08,0.566,0.5640000000000001,1.0035460992907799
FI-Hyy,2004-07-09,0.079,0.08000000000000002,0.9874999999999998
FI-Hyy,2004-07-10,1.871,1.8619999999999999,1.0048335123523093
FI-Hyy,2004-07-11,7.876,7.8459999999999965,1.0038236043844002
FI-Hyy,2004-07-12,3.322,3.3099999999999996,1.0036253776435047
FI-Hyy,2004-07-13,4.353,4.338,1.0034578146611342
FI-Hyy,2004-07-14,7.683,7.651999999999999,1.00405122843701
FI-Hyy,2004-07-15,0.556,0.5520000000000003,1.0072463768115938
FI-Hyy,2004-07-17,0.208,0.21000000000000005,0.9904761904761902
FI-Hyy,2004-07-19,0.339,0.33599999999999997,1.0089285714285716
FI-Hyy,2004-07-20,6.632,6.602000000000001,1.0045440775522567
FI-Hyy,2004-07-23,0.069,0.06799999999999999,1.0147058823529413
FI-Hyy,2004-07-24,4.358,4.341999999999999,1.0036849378166746
FI-Hyy,2004-07-25,4.123,4.1080000000000005,1.0036514118792599
FI-Hyy,2004-07-26,0.022,0.022000000000000002,0.9999999999999999
FI-Hyy,2004-07-27,0.308,0.302,1.0198675496688743
FI-Hyy,2004-07-28,29.62,29.503999999999998,1.0039316702819958
FI-Hyy,2004-07-29,39.616,39.45799999999999,1.004004257691723
FI-Hyy,2004-07-30,1.572,1.5599999999999994,1.007692307692308
FI-Hyy,2004-07-31,8.047,8.016,1.003867265469062
FI-Hyy,2004-08-01,3.287,3.276000000000001,1.003357753357753
FI-Hyy,2004-08-02,0.597,0.598,0.9983277591973244
FI-Hyy,2004-08-03,3.352,3.338,1.0041941282204911
FI-Hyy,2004-08-05,0.027,0.028,0.9642857142857143
FI-Hyy,2004-08-07,0.76,0.758,1.0026385224274406
FI-Hyy,2004-08-08,2.933,2.9220000000000006,1.0037645448323065
FI-Hyy,2004-08-09,0.349,0.35200000000000004,0.9914772727272726
FI-Hyy,2004-08-10,0.516,0.512,1.0078125
FI-Hyy,2004-08-11,1.816,1.8099999999999996,1.003314917127072
FI-Hyy,2004-08-12,0.231,0.22400000000000003,1.03125
FI-Hyy,2004-08-13,1.328,1.319999999999999,1.006060606060607
FI-Hyy,2004-08-14,0.392,0.392,1
FI-Hyy,2004-08-15,5.926,5.902000000000002,1.004066418163334
FI-Hyy,2004-08-17,3.944,3.9280000000000004,1.0040733197556007
FI-Hyy,2004-08-18,1.647,1.64,1.004268292682927
FI-Hyy,2004-08-19,4.074,4.058,1.003942828979793
FI-Hyy,2004-08-20,8.779,8.743999999999994,1.0040027447392503
FI-Hyy,2004-08-21,4.339,4.322000000000001,1.0039333641832484
FI-Hyy,2004-08-22,1.348,1.3379999999999992,1.0074738415545597
FI-Hyy,2004-08-23,1.427,1.4199999999999993,1.0049295774647893
FI-Hyy,2004-08-24,0.197,0.19600000000000004,1.0051020408163265
FI-Hyy,2004-08-26,1.093,1.0879999999999996,1.0045955882352944
FI-Hyy,2004-08-27,5.505,5.486,1.0034633612832666
FI-Hyy,2004-08-28,4.521,4.504,1.0037744227353464
FI-Hyy,2004-08-29,0.462,0.458,1.0087336244541485
FI-Hyy,2004-08-30,11.243,11.2,1.0038392857142857
FI-Hyy,2004-08-31,7.481,7.451999999999998,1.0038915727321527
FI-Hyy,2004-09-01,6.468,6.442000000000005,1.0040360136603532
FI-Hyy,2004-09-02,4.091,4.072,1.0046660117878192
FI-Hyy,2004-09-03,0.954,0.9480000000000003,1.0063291139240502
FI-Hyy,2004-09-04,0.392,0.386,1.0155440414507773
FI-Hyy,2004-09-05,0.211,0.21000000000000002,1.0047619047619045
FI-Hyy,2004-09-06,0.105,0.104,1.0096153846153846
FI-Hyy,2004-09-07,0.751,0.748,1.0040106951871657
FI-Hyy,2004-09-08,0.534,0.5300000000000001,1.0075471698113205
FI-Hyy,2004-09-09,0.073,0.07,1.0428571428571427
FI-Hyy,2004-09-10,0.013,0.010000000000000002,1.2999999999999996
FI-Hyy,2004-09-12,1.626,1.6179999999999999,1.0049443757725587
FI-Hyy,2004-09-13,4.528,4.508000000000002,1.0044365572315879
FI-Hyy,2004-09-14,7.5,7.4719999999999995,1.0037473233404712
FI-Hyy,2004-09-15,4.625,4.6080000000000005,1.003689236111111
FI-Hyy,2004-09-16,8.828,8.796000000000001,1.0036380172805819
FI-Hyy,2004-09-17,1.74,1.7339999999999995,1.003460207612457
FI-Hyy,2004-09-18,3.966,3.943999999999999,1.0055780933062883
FI-Hyy,2004-09-19,7.376,7.346000000000001,1.0040838551592703
FI-Hyy,2004-09-20,0.231,0.22600000000000003,1.0221238938053097
FI-Hyy,2004-09-21,10.837,10.796,1.0037977028529086
FI-Hyy,2004-09-22,2.484,2.4739999999999993,1.0040420371867425
FI-Hyy,2004-09-23,1.512,1.5079999999999993,1.0026525198938996
FI-Hyy,2004-09-24,3.296,3.2820000000000005,1.0042656916514319
FI-Hyy,2004-09-25,10.458,10.420000000000002,1.0036468330134356
FI-Hyy,2004-09-26,0.656,0.654,1.003058103975535
FI-Hyy,2004-09-27,5.352,5.33,1.004127579737336
FI-Hyy,2004-09-28,8.164,8.134,1.0036882222768624
FI-Hyy,2004-09-29,1,0.998,1.002004008016032
FI-Hyy,2004-10-03,0.054,0.05600000000000003,0.9642857142857137
FI-Hyy,2004-10-04,0.037,0.03400000000000001,1.0882352941176467
FI-Hyy,2004-10-05,4.604,4.588,1.003487358326068
FI-Hyy,2004-10-06,0.569,0.5680000000000002,1.0017605633802813
FI-Hyy,2004-10-07,0.904,0.9020000000000001,1.0022172949002217
FI-Hyy,2004-10-08,1.622,1.6099999999999985,1.0074534161490694
FI-Hyy,2004-10-09,0.211,0.20800000000000002,1.0144230769230769
FI-Hyy,2004-10-14,0.075,0.07400000000000001,1.0135135135135134
FI-Hyy,2004-10-16,0.578,0.5760000000000001,1.003472222222222
FI-Hyy,2004-10-17,0.349,0.34600000000000003,1.0086705202312136
FI-Hyy,2004-10-18,0.146,0.14000000000000004,1.0428571428571425
