site_id,flux,location_lat,location_long,tower_value,model_value,n_tower_years,tower_carbon_src,tower_partition,n_models
CN-Jzh,NEE,41.14806,121.20167,-526.4746137912961,-31.72750864526347,5,VUT,NA,17
CN-Lch,NEE,37.88936,114.69289,-623.2123644110088,-35.701143600672026,12,VUT,NA,17
CN-Lsh,NEE,45.27984,127.57821,187.423857072,-56.770856875392155,5,VUT,NA,17
CN-Nmn,NEE,42.94611,120.72694,-437.16264582700796,-29.69970230546585,5,VUT,NA,17
CN-Sb1,NEE,42.40907,117.31461,-1883.3090471423998,-34.12752750315212,5,VUT,NA,17
CN-Sb2,NEE,42.39117,117.37017,-1270.8376968407042,-34.20639984872082,5,VUT,NA,17
CN-Sdq,NEE,42.00119,101.13741,-262.8219294542263,2.593454066093275e-5,12,VUT,NA,17
CN-Xi2,NEE,43.55444,116.6714,-142.68383414043427,-29.57792672026278,8,VUT,NA,17
CN-YaS,NEE,37.70877,107.22655,7.720823202237259,-4.234586027559402,10,VUT,NA,17
CN-Yan,NEE,37.82861,107.49278,-253.00675987200003,-4.64965952146261,3,VUT,NA,17
CN-You,NEE,38.01419,100.24206,-143.53315797657598,-11.750046785124567,10,VUT,NA,17
CN-Yuc,NEE,36.8287,116.5701,-573.3888402116571,-46.093725796125455,9,VUT,NA,17
CN-Zha,NEE,38.97514,100.4464,-650.1715627900008,-9.850547071467673,13,VUT,NA,17
CR-AqC,NEE,9.938369,-83.7289,-837.4366514748342,-154.85880151946458,8,VUT,NA,17
CR-Fsc,NEE,10.4189,-85.4732,-1157.9251548959996,-128.44516627671555,4,VUT,NA,17
CZ-BK1,NEE,49.502075,18.536882,-737.8259119795106,-91.90229731081604,22,VUT,NA,17
CZ-BK2,NEE,49.49443,18.54285,36.745094114742884,-92.09359322365049,7,VUT,NA,17
CZ-KrP,NEE,49.573257,15.078773,-97.25159903915517,-75.75935735799703,10,VUT,NA,17
CZ-LnG,NEE,48.704224,16.926247,37.65858794496002,-81.53824637555226,6,VUT,NA,17
CZ-Lnz,NEE,48.68155,16.946331,-516.7678369909875,-85.18710416918634,11,VUT,NA,17
CZ-RAJ,NEE,49.44372,16.696512,-247.1776412154495,-67.41808366816667,13,VUT,NA,17
CZ-Stn,NEE,49.035976,17.9699,-257.85570066193577,-82.81752413956974,15,VUT,NA,17
CZ-wet,NEE,49.02465,14.77035,74.11022475124548,-68.43136030228766,20,VUT,NA,17
DE-Akm,NEE,53.86617,13.68342,17.106617131012968,-104.48256056648711,15,VUT,NA,17
DE-Amv,NEE,52.1757,6.95537,39.774140812799985,-54.33564847187904,3,VUT,NA,17
DE-Brs,NEE,52.29663,10.44871,-287.27154258048,-91.16491027424331,3,VUT,NA,17
DE-Fen,NEE,47.832905,11.060701,-216.86705918207997,-68.59510830733592,3,VUT,NA,17
DE-Geb,NEE,51.09973,10.91463,-182.87156954880004,-100.3472679317315,5,VUT,NA,17
DE-Gri,NEE,50.950005,13.512533,-96.31955739812501,-87.71919731017033,22,VUT,NA,17
DE-GsB,NEE,52.029648,11.10478,186.54013235231997,-111.71553980117017,11,VUT,NA,17
DE-Hai,NEE,51.079212,10.452168,-522.1038668808477,-94.1917518031388,25,VUT,NA,17
DE-Har,NEE,47.93391,7.59814,-206.39288083968,-78.58965760011915,6,VUT,NA,17
DE-Hdn,NEE,53.86825,13.268543,-336.25548969984,-105.17211938028186,4,VUT,NA,17
DE-HoH,NEE,52.08656,11.22235,-260.84982303359993,-116.06892751740293,11,VUT,NA,17
DE-Hte,NEE,54.213055,12.179944,-233.3689920662606,-41.58947540905024,10,VUT,NA,17
DE-Hzd,NEE,50.96381,13.48978,147.77908581017093,-88.16624683666464,16,VUT,NA,17
DE-Kli,NEE,50.893044,13.5223,-99.80310153077562,-80.61876846372425,22,VUT,NA,17
DE-Lnf,NEE,51.328217,10.3678,-643.8874456750025,-82.99265710564987,20,CUT,NA,17
DE-Msr,NEE,47.80918,11.456168,-353.03324900544,-66.07562651155149,6,VUT,NA,17
DE-Obe,NEE,50.7864,13.72168,-249.75186531578916,-63.2841831240475,17,VUT,NA,17
DE-Rns,NEE,51.494953,9.932118,-455.962566982464,-83.41623975869481,4,VUT,NA,17
DE-RuC,NEE,50.5031,6.336,156.1120265138269,-96.77262990025724,12,VUT,NA,17
DE-RuM,NEE,50.929787,6.2969923,-521.6778157248,-57.278546664278906,9,VUT,NA,17
DE-RuR,NEE,50.621914,6.304126,-171.84289240257547,-92.7414201017732,15,VUT,NA,17
DE-RuS,NEE,50.865906,6.4471445,-484.7332090044314,-54.244105471145076,15,VUT,NA,17
DE-RuW,NEE,50.50493,6.3309627,-452.6991776087887,-97.1418305349847,13,VUT,NA,17
DE-Seh,NEE,50.870625,6.449653,-510.3467603712,-54.19293313323169,4,VUT,NA,17
DE-SfS,NEE,47.80629,11.32757,-465.16272190073016,-68.2235662421208,11,VUT,NA,17
DE-Spw,NEE,51.89225,14.03369,-391.9559693299199,-83.06997523557538,6,VUT,NA,17
DE-Tha,NEE,50.962597,13.565333,-493.1207784918951,-88.11157022631664,30,VUT,NA,17
DE-Zrk,NEE,53.875942,12.88901,15.90035989165714,-101.57273732211854,10,VUT,NA,17
DK-Eng,NEE,55.69053,12.19175,-72.44556914304002,-53.62179885586261,4,VUT,NA,17
DK-RCW,NEE,55.680683,12.101398,-353.1071230271999,-53.43589590464785,3,VUT,NA,17
DK-Sor,NEE,55.48587,11.644645,-249.44013099810178,-54.17578522233225,29,VUT,NA,17
DK-Vng,NEE,56.037476,9.160709,-136.88106979968,-60.98056806112788,4,VUT,NA,17
EE-Pts,NEE,58.562298,24.369932,4.964296740479988,-60.637563831176976,3,VUT,NA,17
EE-Stg,NEE,58.023636,26.070753,-186.83662429553138,-67.8050018376855,9,VUT,NA,17
ES-Abr,NEE,38.70184,-6.785881,-0.31365872179200394,-49.458133169746475,6,VUT,NA,17
ES-Agu,NEE,36.939384,-2.034044,40.20767862799619,-29.236738386526213,15,CUT,NA,17
ES-Amo,NEE,36.833405,-2.2522173,76.81388920279853,-27.139256978937112,13,VUT,NA,17
ES-Crg,NEE,39.11926,-0.95852,-224.06769291456,-47.66971594213351,4,VUT,NA,17
ES-FtD,NEE,36.99854,-6.434575,-153.039399604992,-57.744857921138646,4,VUT,NA,17
ES-HeB,NEE,38.40475,-1.726215,-184.45581194111998,-28.82513091965012,6,VUT,NA,17
ES-Hen,NEE,38.411087,-1.697534,-175.7816017138944,-28.82250532191074,6,VUT,NA,17
ES-LJu,NEE,36.926594,-2.752115,-7.129325895686069,-33.22817904858783,21,VUT,NA,17
ES-LM1,NEE,39.94269,-5.778683,-11.023680896221098,-45.827471840402836,11,VUT,NA,17
ES-LM2,NEE,39.934593,-5.775881,31.04990868978431,-45.64844614316826,11,VUT,NA,17
ES-LMa,NEE,39.94033,-5.77465,50.868493596288,-45.75961817066468,6,VUT,NA,17
ES-LgS,NEE,37.097935,-2.965833,-102.536035538112,-44.087244918685826,3,VUT,NA,17
ES-Mcd,NEE,39.58819,-0.39969,-154.45740446290287,-49.467166593097545,7,VUT,NA,17
ES-MtB,NEE,37.020206,-6.5544033,-407.76335766432,-56.721272376110846,4,VUT,NA,17
ES-Mzn,NEE,40.089497,-0.827409,-20.366102056320017,-61.75681712781682,2,VUT,NA,17
ES-Pdu,NEE,37.016975,-3.609228,-130.761917568,-38.44621388367523,4,VUT,NA,17
ES-Pzb,NEE,38.362118,-4.767329,45.92325182976002,-41.62281666790477,5,VUT,NA,17
ES-Srn,NEE,40.15047,-0.8380832,26.467920288000002,-62.44837141375638,2,VUT,NA,17
ES-VDA,NEE,42.15111,1.4473800000000001,-82.78651595519999,-46.962052245929954,3,VUT,NA,17
ES-Yst,NEE,38.338932,-2.3506052,-339.31041958656,-38.653209670447836,6,VUT,NA,17
FI-Hyy,NEE,61.847410000000004,24.29477,-228.60092958375273,-39.566977670342,29,VUT,NA,17
FI-Jok,NEE,60.8986,23.51345,124.36938745919998,-47.7254898753215,4,VUT,NA,17
FI-Ken,NEE,67.98721,24.24301,53.39903132752457,-33.828338008150354,8,VUT,NA,17
FI-Let,NEE,60.64183,23.95952,-33.206153672982865,-55.310330631930356,16,VUT,NA,17
FI-Nsv,NEE,62.8639,24.08382,34.593834734207995,-49.806552900195584,4,VUT,NA,17
FI-Qvd,NEE,60.295242,22.391607,92.427580185984,-46.6571531783984,6,VUT,NA,17
FI-Rk2,NEE,61.182884,25.262684,296.2116696384,-47.006073933806874,4,VUT,NA,17
FI-Ruk,NEE,64.68398,25.106318,383.97345398496,-39.853306633535226,4,VUT,NA,17
FI-Sar,NEE,63.15143,27.199064,-123.40239114240003,-40.82035387923679,1,VUT,NA,17
FI-Sii,NEE,61.83265,24.19285,-29.994643007999997,-40.42497468576198,7,VUT,NA,17
FI-Sod,NEE,67.36239,26.63859,149.8354920576,-43.60906191289848,2,VUT,NA,17
FI-Var,NEE,67.7549,29.61,13.041644020416005,-30.50094839554214,10,VUT,NA,16
FR-Aur,NEE,43.54965,1.106103,-181.5010717342386,-72.54250450651409,21,VUT,NA,17
FR-Bil,NEE,44.493652,-0.956092,-451.56321605072293,-57.12918996654594,12,VUT,NA,17
FR-CLt,NEE,45.0414,6.41053,111.07936892505597,-48.24873912633734,6,VUT,NA,17
FR-EM2,NEE,49.87211,3.02065,-244.4772965402058,-93.85018379310725,8,VUT,NA,17
FR-FBn,NEE,43.24079,5.67865,-607.0011372792943,-29.36511859493038,16,VUT,NA,17
FR-Fon,NEE,48.476357,2.780096,-314.39438838143997,-74.06540112227867,6,VUT,NA,17
FR-Gri,NEE,48.84422,1.95191,-383.1713522986271,-56.757252528221215,22,VUT,NA,17
FR-Hes,NEE,48.6741,7.06465,-445.1534159832421,-63.05704033045106,25,CUT,NA,17
FR-LBr,NEE,44.71711,-0.7693,-323.7045636928732,-59.93456230895072,11,VUT,NA,17
FR-LGt,NEE,47.322918,2.284102,199.84874704045714,-74.90140739024787,8,VUT,NA,17
FR-Lam,NEE,43.496437,1.237878,-191.5397071776,-67.69132689385219,4,VUT,NA,17
FR-Lqu,NEE,45.6444,2.7349,-99.56440995839999,-75.05380143302568,3,VUT,NA,17
FR-Lus,NEE,46.414246,0.1206518,-340.90413655104,-84.74493974526786,3,VUT,NA,17
FR-Mau,NEE,43.385,1.29306,-216.29804987231995,-83.24341312360207,6,VUT,NA,17
FR-Mej,NEE,48.1184,-1.79635,164.38005505464682,-98.88931747236347,7,VUT,NA,17
FR-Nzn,NEE,48.005814,-2.81721,97.94165119183542,-77.45978780358087,9,VUT,NA,17
FR-Pue,NEE,43.7413,3.5957,-220.16217890765154,-70.09505795314612,26,VUT,NA,17
FR-Tou,NEE,43.572857,1.37474,118.62024770236114,-67.05244320678617,8,VUT,NA,17
GF-Guy,NEE,5.2787,-52.9248,-219.51161905326862,-62.28811467555806,22,VUT,NA,17
GL-Dsk,NEE,69.25349,-53.51413,-20.21645497536001,-0.0011649625621276245,6,VUT,NA,16
HK-MPM,NEE,22.498167,114.029236,-1048.39150176,-67.36924537286382,3,VUT,NA,17
ID-JOP,NEE,-1.69306,103.39139,-781.5427572362605,-171.29551363222845,11,VUT,NA,17
ID-PaB,NEE,-2.340796,114.0379,-150.99732273141615,-116.74926118175927,13,VUT,NA,17
ID-PaD,NEE,-2.3460708,114.03641,-295.99967534458983,-116.536529797394,17,VUT,NA,17
ID-Pag,NEE,-2.3239167,113.90439,-587.808799196791,-117.79282505622723,13,VUT,NA,17
IE-CaC,NEE,52.85879,-6.918136,-169.20415078272003,-72.33038027455552,5,VUT,NA,17
IE-CaN,NEE,52.85879,-6.918136,-184.57262536319993,-72.33038027455552,4,VUT,NA,17
IE-Cra,NEE,53.32308,-7.64177,-29.676745547135997,-60.80292656946949,3,VUT,NA,17
IL-Yat,NEE,31.345045,35.051987,-86.9612016642111,-11.000683251157,25,VUT,NA,17
IT-Arz,NEE,45.61902,10.00228,-86.74862368587429,-82.30603231124473,9,VUT,NA,17
IT-BCi,NEE,40.52375,14.957444,-76.15485573558654,-57.875518098112934,20,VUT,NA,17
