site_id,nee_annual_ref,nee_annual_25,nee_annual_75,half_width_site,location_lat,location_long
DE-Brs,-287.27154258048,-305.9315773632,-273.9542231116799,15.988677125760063,52.29663,10.44871
DE-Fen,-216.86705918207997,-259.57977895872,-185.01236155008,37.283708704320006,47.832905,11.060701
DE-Geb,-182.87156954880004,-214.63000909632004,-170.6166865152,22.006661290560018,51.09973,10.91463
DE-Gri,-96.31955739812501,-110.92126792426183,-82.94741332210879,13.98692730107652,50.950005,13.512533
DE-GsB,186.54013235231997,166.270070456064,208.19437865332364,20.962154098629824,52.029648,11.10478
DE-Hai,-522.1038668808477,-553.1046860016719,-497.928780606105,27.587952697783436,51.079212,10.452168
DE-Har,-206.39288083968,-240.98530181759998,-187.31765113343997,26.833825342080004,47.93391,7.59814
DE-Hdn,-336.25548969984,-353.78121593087997,-324.32537286144003,14.727921534719968,53.86825,13.268543
DE-HoH,-260.84982303359993,-286.6947942915491,-242.09325933696007,22.300767477294514,52.08656,11.22235
DE-Hte,-233.3689920662606,-249.28811213307426,-222.29723214348067,13.495439994796797,54.213055,12.179944
DE-Hzd,147.77908581017093,103.8573230424024,181.35340084115415,38.74803889937588,50.96381,13.48978
DE-Kli,-99.80310153077562,-118.88312187699177,-83.97433774947564,17.454392063758064,50.893044,13.5223
DE-Msr,-353.03324900544,-393.15066343084794,-306.11527837344,43.517692528703975,47.80918,11.456168
DE-Obe,-249.75186531578916,-277.22073357046816,-222.45496674214584,27.382883414161157,50.7864,13.72168
DE-Rns,-455.962566982464,-488.3666833100159,-432.81627369407994,27.77520480796798,51.494953,9.932118
DE-RuC,156.1120265138269,141.7545232639069,164.8402337126749,11.542855224383999,50.5031,6.336
DE-RuM,-521.6778157248,-533.2774082770285,-505.97726762567305,13.650070325677717,50.929787,6.2969923
DE-RuR,-171.84289240257547,-185.11124561064034,-157.7679083460585,13.671668632290917,50.621914,6.304126
DE-RuS,-484.7332090044314,-495.73467694977666,-471.8523611047864,11.941157922495137,50.865906,6.4471445
DE-RuW,-452.6991776087887,-524.1208993177183,-421.53597115336146,51.29246408217844,50.50493,6.3309627
DE-Seh,-510.3467603712,-536.71614196032,-492.80662961856,21.95475617087999,50.870625,6.449653
DE-SfS,-465.16272190073016,-491.68854999590405,-436.8397367304262,27.424406632738936,47.80629,11.32757
DE-Spw,-391.9559693299199,-411.40240676928,-375.97050471168,17.715951028799992,51.89225,14.03369
DE-Tha,-493.1207784918951,-506.669403953261,-482.12709069307556,12.271156630092719,50.962597,13.565333
DE-Zrk,15.90035989165714,-36.95020479687494,93.90062136096002,65.42541307891747,53.875942,12.88901
DK-Eng,-72.44556914304002,-80.13421960704001,-64.10331430848,8.015452649280007,55.69053,12.19175
DK-RCW,-353.1071230271999,-370.91015873279997,-340.3840342463999,15.26306224320004,55.680683,12.101398
DK-Sor,-249.44013099810178,-260.60700041171015,-234.72379462020137,12.941602895754386,55.48587,11.644645
DK-Vng,-136.88106979968,-144.38411412480002,-131.99191373952,6.196100192640017,56.037476,9.160709
EE-Pts,4.964296740479988,-1.478220744959998,19.22117276736,10.349696756159998,58.562298,24.369932
EE-Stg,-186.83662429553138,-200.11635911478854,-167.1897396528,16.46330973099427,58.023636,26.070753
ES-Abr,-0.31365872179200394,-9.520738700543998,11.20637223936003,10.363555469952015,38.70184,-6.785881
ES-Amo,76.81388920279853,71.71321026056728,80.98048081159854,4.63363527551563,36.833405,-2.2522173
ES-Crg,-224.06769291456,-273.48795421055996,-185.73246154655996,43.877746332,39.11926,-0.95852
ES-FtD,-153.039399604992,-197.38062505727999,-123.55472635199999,36.91294935264,36.99854,-6.434575
