site_id,n_own_years,tower_nee,tower_half_width,model_median,model_min,model_max,n_models,diff_tower_minus_model
FI-Let,12,-33.206153672982865,22.634354844851654,-63.70481273672501,-158.13779895392204,1.9558053264220516,17,30.498659063742146
FI-Qvd,3,92.427580185984,58.85505821376,-29.977305094026928,-159.80667465174398,-2.5183220806929167,17,122.40488528001093
FI-Rk2,1,296.2116696384,20.57433333465599,-41.62937485603899,-205.05505104145726,86.31865934479764,17,337.84104449443896
FI-Ruk,1,383.97345398496,28.860795186479976,-5.4663859108664345,-202.22113451903016,61.231090352829845,17,389.4398398958264
FI-Sii,3,-29.994643007999997,3.4924830726857152,-31.879760988526044,-92.55495302891046,37.74940751139024,17,1.8851179805260472
FI-Var,5,13.041644020416005,10.502877987216,-29.104719236700582,-124.17738256259747,14.425482844011041,16,42.14636325711659
FR-Aur,16,-181.5010717342386,15.451478344486276,-72.857097766277235,-273.02735479341834,-13.037835782264123,17,-108.64397396796136
FR-Bil,7,-451.56321605072293,14.772266517730884,-58.67657164986325,-172.68489532154527,11.890475413186234,17,-392.88664440085967
FR-CLt,2,111.07936892505597,16.393498824844784,-54.02344742181697,-278.21998232283426,49.57109456581324,17,165.10281634687294
FR-EM2,4,-244.4772965402058,34.910028524694866,-61.06721441192638,-274.5355091313615,30.561394850351093,17,-183.4100821282794
FR-FBn,12,-607.0011372792943,25.93982070073025,-36.77306257661185,-156.73374993214395,-1.7372334930294415,17,-570.2280747026824
FR-Fon,2,-314.39438838143997,23.966790347520032,-84.43708951813986,-269.99141817947367,14.809957552001556,17,-229.9572988633001
FR-Gri,17,-383.1713522986271,28.690477033290932,-67.47362573796975,-282.049380490061,-1.3354672058158883,17,-315.6977265606573
FR-LBr,11,-323.7045636928732,20.30195637535266,-40.27933596159922,-154.88456032063993,23.689886951516655,17,-283.425227731274
FR-LGt,4,199.84874704045714,25.985869758144005,-55.06603273594901,-253.9094678441003,9.793589543583167,17,254.91477977640614
FR-Mau,6,-216.29804987231995,24.57939246192001,-66.79627990722656,-251.6053603765083,-10.72966625385996,17,-149.5017699650934
FR-Mej,2,164.38005505464682,18.34188234089143,-97.4719602130564,-258.5864176716351,19.656836580955897,17,261.8520152677032
FR-Nzn,5,97.94165119183542,33.668122539065145,-43.47405100433351,-238.4592590021916,6.525013161900702,17,141.41570219616892
FR-Pue,21,-220.16217890765154,20.255482598518086,-69.95163063175873,-227.49371215978184,3.099104347492483,17,-150.2105482758928
FR-Tou,3,118.62024770236114,26.049379842000008,-90.27858287325958,-275.9257080368184,45.688123875317096,17,208.8988305756207
GF-Guy,17,-219.51161905326862,48.035946081877384,-74.3314854492186,-172.7418207189214,-10.222206933593469,17,-145.18013360405
GL-Dsk,1,-20.21645497536001,8.720431531200006,0,-5.837854627407598,2.563981056213379,16,-20.21645497536001
HK-MPM,3,-1048.39150176,55.28425115519997,-71.68465184309893,-295.61223004956395,46.69443302699626,17,-976.7068499169011
ID-JOP,7,-781.5427572362605,31.2416596576183,-174.2198161892022,-754.819624019513,52.659095538077786,17,-607.3229410470583
ID-PaB,13,-150.99732273141615,62.21648602015552,-122.84838149662617,-313.88442923386367,48.14994793333806,17,-28.148941234789973
ID-PaD,17,-295.99967534458983,81.55435872359858,-122.30565787492931,-305.597572555947,35.99578437115275,17,-173.69401746966054
ID-Pag,13,-587.808799196791,71.7267147672261,-120.14219624857515,-310.83579050730964,57.5127161746142,17,-467.6666029482159
IE-CaC,5,-169.20415078272003,9.864951355007989,-77.10001780840749,-186.09839687525442,48.17450463834552,17,-92.10413297431255
IE-CaN,4,-184.57262536319993,8.79556734720002,-73.4120948977058,-178.64638496521982,48.03621229864532,17,-111.16053046549413
IE-Cra,1,-29.676745547135997,5.750786566079999,-63.4410251797706,-179.49773388919283,24.14743756254477,17,33.7642796326346
IL-Yat,21,-86.9612016642111,8.095193829117378,-12.275344779692194,-38.16293717088723,18.514913916415974,17,-74.68585688451891
IT-Arz,5,-86.74862368587429,18.494791434411418,-78.52743644748949,-269.46178812228175,16.96699740949949,17,-8.2211872383848
IT-BCi,17,-76.15485573558654,26.567586520085648,-63.943105680290756,-217.32877431692265,-12.300588628660195,17,-12.21175005529578
IT-BFt,2,-42.013829216859406,58.929923971748565,-90.21457941495704,-352.80858021734366,71.7517962158642,17,48.20075019809764
IT-CA1,4,-317.6955113184,20.591028100799974,-51.976031934136635,-211.6534462205424,-14.857764553669995,17,-265.71947938426337
IT-CA2,4,-171.34972827264002,41.331678684480025,-51.74422294246827,-211.60580784775564,-14.865808310521892,17,-119.60550533017175
IT-CA3,4,-531.8350077064321,41.46165771264006,-51.544169498047005,-211.57784124660412,-15.05546829711919,17,-480.2908382083851
IT-Cp2,9,-771.1443666843428,21.347732939451475,-45.01943008172266,-202.30452632202642,-1.520204332139757,17,-726.1249366026201
IT-Cpz,8,-509.2001822283428,20.270409401211424,-50.74813489785491,-210.20220736291273,-10.323341369628906,17,-458.45204733048786
IT-Lav,18,-2030.3991810625007,29.191662287068425,-99.54019699907673,-217.02810986020646,13.558877384612783,17,-1930.858984063424
IT-Lsn,5,-38.03330391278399,9.516084187651195,-102.41836031987307,-333.9891794350331,2.7370030615970875,17,64.38505640708908
IT-MBo,18,3.0261056197005054,13.121033914281561,-84.77024684063284,-205.37484553901945,9.036311435609274,17,87.79635246033334
IT-MtM,6,-402.21377708018684,31.268741414198388,-39.8057682591475,-158.77866399588223,9.18541310814473,17,-362.40800882103935
IT-MtP,6,171.09254745792,28.367208210239994,-39.90372204697,-159.1590117871235,8.882660021553324,17,210.99626950489
IT-NiG,1,-54.218229783552005,30.779292823775982,-62.067415145097975,-274.50167219271094,-2.3337346665268535,17,7.84918536154597
IT-PT1,3,-587.0865045888,22.97283249600008,-63.575060964658924,-310.7964019028949,64.3712566495393,17,-523.5114436241411
