value,area_km2
-113.09999999999991,26514.262618898305
-113,23548.204039794065
-112.89999999999998,28956.00907860911
-112.79999999999995,6131.9335615197215
-112.69999999999993,35202.18327839795
-112.59999999999991,33778.79491906421
-112.5,37705.034656780466
-112.39999999999998,10857.983603424362
-112.29999999999995,17473.33732757543
-112.19999999999993,37413.13313219153
-112.09999999999991,19802.177828397624
-112,32070.09717527703
-111.89999999999998,29108.63620142272
-111.79999999999995,27064.61221954132
-111.69999999999993,23475.108870711592
-111.59999999999991,27104.244260393094
-111.5,14327.104505507774
-111.39999999999998,23640.947904141496
-111.29999999999995,23136.604666144623
-111.19999999999993,19784.495930671652
-111.09999999999991,25459.562692620522
-111,30011.136700476432
-110.89999999999998,15736.411847687905
-110.79999999999995,38748.21219893247
-110.69999999999993,27973.75667929451
-110.59999999999991,25912.90299212739
-110.5,31391.440258147468
-110.39999999999998,29356.556776573547
-110.29999999999995,31916.556421953817
-110.19999999999993,31448.125620098792
-110.09999999999991,16982.7286156287
-110,38887.01891959311
-109.89999999999998,22638.48292412321
-109.79999999999995,40264.31458106027
-109.69999999999993,25047.204783455345
-109.59999999999991,37608.08591719809
-109.5,39085.472915913575
-109.39999999999998,31823.41862815217
-109.29999999999995,35307.01565524537
-109.19999999999993,12150.589165095213
-109.09999999999991,34415.337272802906
-109,18085.58380106851
-108.89999999999998,31987.542231890337
-108.79999999999995,22720.002875775153
-108.69999999999993,20673.46361250634
-108.59999999999991,25814.559692518294
-108.5,14999.30157474388
-108.39999999999998,34187.31983605757
-108.29999999999995,42191.012433587
-108.19999999999993,29340.98534617546
-108.09999999999991,16476.078545380395
-108,26471.115302813367
-107.89999999999998,22574.069655788837
-107.79999999999995,37698.02412026805
-107.69999999999993,32557.175481884646
-107.59999999999991,41849.57996578762
-107.5,32569.666996525855
-107.39999999999998,34308.307885447204
-107.29999999999995,14218.274134042098
-107.19999999999993,28525.69974587891
-107.09999999999991,52980.38061748782
-107,44339.671673375655
-106.89999999999998,28306.00823563697
-106.79999999999995,20238.673660059474
-106.69999999999993,37602.09644446598
-106.59999999999991,17798.57401223287
-106.5,25787.10215310241
-106.39999999999998,28468.180947495024
-106.29999999999995,64597.77605324305
-106.19999999999993,43301.07043751547
-106.09999999999991,31725.996561188942
-106,14273.513522566487
-105.89999999999998,28144.63583666023
-105.79999999999995,37067.53839929914
-105.69999999999993,22646.07835068999
-105.59999999999991,27912.750435457638
-105.5,41430.082713335745
-105.39999999999998,43498.23203023944
-105.29999999999995,26050.64779095682
-105.19999999999993,29428.597348087762
-105.09999999999991,39615.03781946685
-105,31687.49634215962
-104.89999999999998,42610.514727847556
-104.79999999999995,36435.78654026979
-104.69999999999993,44576.40635508884
-104.59999999999991,19972.501205566543
-104.5,44877.287644670505
-104.39999999999998,19702.34110227738
-104.29999999999995,44157.33299236424
-104.19999999999993,44676.65345900306
-104.09999999999991,34931.59490839539
-104,36604.05145481108
-103.89999999999998,33942.53008056054
-103.79999999999995,38316.882839591475
