site_id,product_id_june,product_name_june,first_year_june,last_year_june,data_hub,product_source_network,product_id_live,product_name_live,first_year_live,last_year_live,n_extracted_dirs,pid_changed,name_changed,year_extended,any_change,on_disk
IT-Cp2,B6lVx5OEcdr4ZS-3ix2K7iPP,ICOS_IT-Cp2_FLUXNET_2012-2024_v1.3_r1.zip,2012,2024,ICOS,ICOS,Oz2rJQyIT8nYjOwvl4nCxlsl,ICOS_IT-Cp2_FLUXNET_2012-2025_v1.3_r1.zip,2012,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-BFt,IUOlBlndAhz4kdSgYJUDyq-D,ICOS_IT-BFt_FLUXNET_2019-2024_v1.3_r1.zip,2019,2024,ICOS,ICOS,8UQ9ATu4z2i3sFoq4KVNw-kl,ICOS_IT-BFt_FLUXNET_2019-2025_v1.3_r1.zip,2019,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IT-BCi,HQxDGoqXHnhDFU4W8C4uo-jb,ICOS_IT-BCi_FLUXNET_2004-2024_v1.3_r1.zip,2004,2024,ICOS,ICOS,2LNryh4qBQqqtGj-L8ONRyxA,ICOS_IT-BCi_FLUXNET_2004-2025_v1.3_r1.zip,2004,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
IE-Cra,AwIT0Qy0HIwmIzj92q58ehk7,ICOS_IE-Cra_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,mU-KbJVlM50AB1sGJMwmKHsQ,ICOS_IE-Cra_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,2,TRUE,TRUE,TRUE,TRUE,TRUE
GL-ZaH,Zdiwv_V4gNbOfd5Bttpb-9q2,ICOS_GL-ZaH_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,xSezAuPuEWtDU6peOk5xDi8I,ICOS_GL-ZaH_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
GL-NuF,EfhStDGazgCMZH4SX2aNUPlt,ICOS_GL-NuF_FLUXNET_2019-2024_v1.3_r1.zip,2019,2024,ICOS,ICOS,QR9BBqqZy5rUr4szZgHgzgNX,ICOS_GL-NuF_FLUXNET_2019-2025_v1.3_r1.zip,2019,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
GL-Dsk,c9E9mFx4AxSPu_Wb2l-pmMHm,ICOS_GL-Dsk_FLUXNET_2020-2024_v1.3_r1.zip,2020,2024,ICOS,ICOS,kC7cwDWXS2G6vPpfo6iAKHPm,ICOS_GL-Dsk_FLUXNET_2020-2025_v1.3_r1.zip,2020,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
GF-Guy,3jDZZoDeBw29TRwEqPKQozcn,ICOS_GF-Guy_FLUXNET_2017-2024_v1.3_r1.zip,2017,2024,ICOS,ICOS,NWyicIqnZ9k5ECe3WLq8BvOK,ICOS_GF-Guy_FLUXNET_2004-2025_v1.3_r1.zip,2004,2025,2,TRUE,TRUE,TRUE,TRUE,TRUE
FR-Tou,LZSDmUp2MspQPIyTfDwNXYhi,ICOS_FR-Tou_FLUXNET_2018-2024_v1.3_r1.zip,2018,2024,ICOS,ICOS,_bAXw_GAvp0HwOAaJJRMiIMQ,ICOS_FR-Tou_FLUXNET_2018-2025_v1.3_r1.zip,2018,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-Pue,5vx0Ks1CqWMCVA8BrWv_IDrV,ICOS_FR-Pue_FLUXNET_2000-2024_v1.3_r1.zip,2000,2024,ICOS,ICOS,HaC9deo1SSLTZxUtYYJcdLAd,ICOS_FR-Pue_FLUXNET_2000-2025_v1.3_r1.zip,2000,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-Mej,89dJgrylR97XwCZTAHP5qw5a,ICOS_FR-Mej_FLUXNET_2019-2024_v1.3_r1.zip,2019,2024,ICOS,ICOS,o3EABLXhro9lDfVSoil4ycG9,ICOS_FR-Mej_FLUXNET_2019-2025_v1.3_r1.zip,2019,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-LGt,j0j6eVryKF77_tfyxVLMNM31,ICOS_FR-LGt_FLUXNET_2017-2024_v1.3_r1.zip,2017,2024,ICOS,ICOS,UMboDXr3WG42YyPcyuL7LzHW,ICOS_FR-LGt_FLUXNET_2017-2025_v1.3_r1.zip,2017,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-Hes,762ZAgt8A5AGDMT1ry74n13K,ICOS_FR-Hes_FLUXNET_1997-2024_v1.3_r1.zip,1997,2024,ICOS,ICOS,Di7uhs3hUdH1SvS0f0Wv5vjH,ICOS_FR-Hes_FLUXNET_1997-2025_v1.3_r1.zip,1997,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-Gri,_WcCYfVZLDpg4Gz-RlhwVX6Y,ICOS_FR-Gri_FLUXNET_2004-2024_v1.3_r1.zip,2004,2024,ICOS,ICOS,gsAnVUkxq-6VBt2qu1hewpGD,ICOS_FR-Gri_FLUXNET_2004-2025_v1.3_r1.zip,2004,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-EM2,jEdjHpIeW8bczJxWBYm_jkpP,ICOS_FR-EM2_FLUXNET_2017-2024_v1.3_r2.zip,2017,2024,ICOS,ICOS,tqY53lt1dCh3HZXtN-rLGEp5,ICOS_FR-EM2_FLUXNET_2017-2025_v1.3_r1.zip,2017,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-CLt,uygvRiLA3PaY4noVh_1XaaAF,ICOS_FR-CLt_FLUXNET_2019-2024_v1.3_r2.zip,2019,2024,ICOS,ICOS,Ioa3MKkE2Hh0vcxOxxeZ6vER,ICOS_FR-CLt_FLUXNET_2019-2025_v1.3_r1.zip,2019,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
FR-Bil,Qa701KsgkCkpYT4vev--kpOk,ICOS_FR-Bil_FLUXNET_2014-2024_v1.3_r1.zip,2014,2024,ICOS,ICOS,OHrM-TP6a33pLElt40MWm6rD,ICOS_FR-Bil_FLUXNET_2014-2025_v1.3_r1.zip,2014,2025,1,TRUE,TRUE,TRUE,TRUE,TRUE
