site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,factor_estimate,n_refs,nearest_cluster,group,was_in_original_26,kg_class_current,currently_classified,temporal_resolution,location_lat,location_long,n_months_qc_ge_0.9,has_measured_precip,factor_applied,map_era5_corrected,n_genuine_months,map_gauge,has_gauge,ratio_corrected_to_gauge
ES-Srn,30,2009.6956666666667,NA,NA,NA,NA,NA,NA,NA,NA,421,476,FALSE,4.7736239113222485,NA,NA,4.222049719887956,TRUE,FALSE,ICOS,EUF,v1.3,EUF_ES-Srn_FLUXNET_2023-2024_v1.3_r1.zip,zeJEF_Ad4wJIKY-U5orJ3sKQ,4.497836815605102,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,40.15047,-0.8380832,NA,FALSE,4,502.4239166666667,NA,NA,FALSE,NA
ES-TzM,30,1359.1763666666666,1,1521.853,12,4.141666666666667,1521.853,12,12,0,403,314,FALSE,3.372646071133168,0.893106211090471,0.893106211090471,4.328587154989384,FALSE,FALSE,ICOS,EUF,v1.3,EUF_ES-TzM_FLUXNET_2020-2024_v1.3_r1.zip,gu5gauPM7ynjb6T28S4OY_sW,3.850616613061276,2,4,clustered_4x_8x,FALSE,Csa,TRUE,HH,39.265785,-1.9397246,0,FALSE,4,339.79409166666665,NA,NA,FALSE,NA
FI-Jok,30,2532.4077333333335,4,2361.8084999999996,48,6.451645833333333,2361.8085,48,48,0,612,627,FALSE,4.1379211328976035,1.0722324580224578,1.0722324580224576,4.038927804359384,FALSE,FALSE,ICOS,EUF,v1.3,EUF_FI-Jok_FLUXNET_2000-2003_v1.3_r1.zip,8PzFwQMtdQ_ly0Tahg8oE1Sz,4.088424468628494,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,60.8986,23.51345,0,FALSE,4,633.1019333333334,NA,NA,FALSE,NA
FI-Nsv,30,2571.0564666666664,NA,NA,NA,NA,NA,NA,NA,NA,607,633,FALSE,4.235677869302581,NA,NA,4.061700579252237,TRUE,FALSE,ICOS,EUF,v1.3,EUF_FI-Nsv_FLUXNET_2021-2024_v1.3_r1.zip,cSm1qTXbblwvWpF9j1Oow7qX,4.148689224277409,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,62.8639,24.08382,NA,FALSE,4,642.7641166666666,NA,NA,FALSE,NA
FI-Ruk,30,2184.7618,1,2880.148,12,7.862083333333333,2880.148,12,12,0,518,553,FALSE,4.217686872586873,0.7585588657249558,0.7585588657249558,3.9507446654611216,FALSE,FALSE,ICOS,EUF,v1.3,EUF_FI-Ruk_FLUXNET_2020-2023_v1.3_r1.zip,TYPI56oF2JQVeXc0g4SU60It,4.084215769023997,2,4,clustered_4x_8x,FALSE,Dfc,TRUE,HH,64.68398,25.106318,0,FALSE,4,546.19045,NA,NA,FALSE,NA
FI-Si2,30,2563.5688,5,2662.2619999999997,60,7.2808,2662.2619999999997,60,60,0,660,NA,FALSE,3.884195151515152,0.9629288176745942,0.9629288176745942,NA,FALSE,FALSE,ICOS,EUF,v1.3,EUF_FI-Si2_FLUXNET_2012-2016_v1.3_r1.zip,Wojh4t-c8scGC-S00oT_sfAW,3.884195151515152,1,4,clustered_4x_8x,FALSE,Dfb,TRUE,NA,61.837303,24.169725,0,FALSE,4,640.8922,NA,NA,FALSE,NA
IE-Cra,30,3474.463133333333,1,3975.8160000000007,12,10.908416666666668,3975.816,12,12,0,1026,883,FALSE,3.386416309291748,0.873899378978638,0.8738993789786382,3.934839335598338,FALSE,FALSE,ICOS,ICOS,v1.3,ICOS_IE-Cra_FLUXNET_2020-2024_v1.3_r1.zip,AwIT0Qy0HIwmIzj92q58ehk7,3.660627822445043,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,53.32308,-7.64177,0,FALSE,4,868.6157833333333,NA,NA,FALSE,NA
IE-Gwr,30,3274.024,1,2983.488,12,8.17625,2983.488,12,12,0,969,857.4,FALSE,3.378765737874097,1.09738132011927,1.09738132011927,3.8185491019360858,FALSE,FALSE,ICOS,EUF,v1.3,EUF_IE-Gwr_FLUXNET_2016-2016_v1.3_r1.zip,GDCw0QfMze-6S4E59YD2vQBI,3.5986574199050914,2,4,clustered_4x_8x,FALSE,Cfb,TRUE,HH,52.6365,-7.011306,0,FALSE,4,818.506,NA,NA,FALSE,NA
IT-Arz,30,3927.6580333333336,5,4079.6906,60,11.1754,4079.6906,60,60,0,935,900,FALSE,4.200703778966132,0.9627342900300658,0.962734290030066,4.364064481481482,FALSE,FALSE,ICOS,EUF,v1.3,EUF_IT-Arz_FLUXNET_2016-2024_v1.3_r1.zip,xK4i981ZSwQZHJeKKfpx5eZo,4.282384130223807,2,4,clustered_4x_8x,FALSE,Cfa,TRUE,HH,45.61902,10.00228,0,FALSE,4,981.9145083333334,NA,NA,FALSE,NA
JP-BBY,30,4008.198666666666,7,4014.731142857143,84,10.958773809523809,4014.731142857143,84,84,0,1154,1170,FALSE,3.473309069901791,0.9983728733113054,0.9983728733113054,3.425810826210826,FALSE,FALSE,ICOS,JPF,v1.3,JPF_JP-BBY_FLUXNET_2014-2020_v1.3_r1.zip,pMEqkfODsJGzX9RKz9kSDRtA,3.449559948056309,2,4,clustered_4x_8x,FALSE,Dfb,TRUE,HH,43.322998,141.81065,0,FALSE,4,1002.0496666666666,NA,NA,FALSE,NA
