site_id,n_years_era5,map_era5,n_years_pf_all,map_pf_allmonths,n_months_qc0,map_pf_qc0_monthly_mean,map_pf_qc0_annualized,n_months_total,n_qc0,frac_filled,bio12_mm,badm_map_mm,excluded,ratio_to_bio12,ratio_to_pf_allmonths,ratio_to_pf_qc0,ratio_to_badm_map,too_few_qc0_months,implausible_raw,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name,product_id,ratio_badm_bio12,within_2pct,badm_round_100,badm_round_50,n_genuine_months,map_gauge,diff_badm,diff_bio12,closer_to
BR-Npw,30,1433.2037,5,1480.2816,22,3.3889545454545456,1232.1703636363636,60,22,0.6333333333333333,1320,1486,FALSE,1.085760378787879,0.9681966593383312,1.16315384811752,0.9644708613728128,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Npw_FLUXNET_2013-2017_v1.3_r1.zip,10.17190/AMF/1881563,1.1257575757575757,FALSE,FALSE,FALSE,34,54.3504705882353,1431.6495294117647,1265.6495294117647,bio12
BR-Sa1,30,2009.1521666666667,10,2164.2831,51,5.823843137254902,2120.4136470588237,120,51,0.575,1868,2074.79,FALSE,1.0755632583868666,0.9283222544530644,0.9475284077017306,0.968364107532168,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Sa1_FLUXNET_2002-2011_v1.3_r1.zip,10.17190/AMF/3027310,1.1107012847965738,FALSE,FALSE,FALSE,17,59.62447058823529,2015.1655294117647,1808.3755294117648,bio12
BR-Sa3,30,1457.539266666667,5,1535.3479999999995,14,5.108928571428572,1865.8148571428571,60,14,0.7666666666666666,1852,2043.77,FALSE,0.7870082433405328,0.9493217607126638,0.7811810807952364,0.7131620811865653,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Sa3_FLUXNET_2000-2004_v1.3_r1.zip,10.17190/AMF/3027311,1.103547516198704,FALSE,FALSE,FALSE,44,46.356545454545454,1997.4134545454544,1805.6434545454545,bio12
BR-Xpw,30,1431.8699666666666,4,1191.626,11,3.841818181818182,1381.74,48,11,0.7708333333333334,1341,1490,FALSE,1.0677628386776037,1.2016102087959366,1.0362803180530828,0.9609865548098434,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_BR-Xpw_FLUXNET_2017-2022_v1.3_r1.zip,10.17190/AMF/3365275,1.1111111111111112,FALSE,FALSE,FALSE,36,34.99666666666667,1455.0033333333333,1306.0033333333333,bio12
CA-ARB,30,488.89663333333334,10,483.9614,37,0.7079189189189189,257.11427027027025,120,37,0.6916666666666667,625,700,FALSE,0.7822346133333333,1.010197576363184,1.9014760745073425,0.698423761904762,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-ARB_FLUXNET_2011-2024_v1.3_r1.zip,10.17190/AMF/1902821,1.12,FALSE,TRUE,TRUE,51,23.955058823529413,676.0449411764706,601.0449411764706,bio12
CA-ARF,30,488.89456666666666,10,483.9614,37,0.7079189189189189,257.11427027027025,120,37,0.6916666666666667,625,700,FALSE,0.7822313066666666,1.0101933060501658,1.9014680365767191,0.6984208095238095,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-ARF_FLUXNET_2011-2024_v1.3_r1.zip,10.17190/AMF/1902822,1.12,FALSE,TRUE,TRUE,51,23.955058823529413,676.0449411764706,601.0449411764706,bio12
CA-BOU,30,711.3454333333333,3,712.867,9,2.4165555555555556,879.7653333333333,36,9,0.75,1032,1011,FALSE,0.6892882105943152,0.9978655672563512,0.8085627000533475,0.7036057698648203,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-BOU_FLUXNET_2018-2020_v1.3_r1.zip,10.17190/AMF/2469435,0.9796511627906976,FALSE,FALSE,FALSE,21,19.881714285714285,991.1182857142857,1012.1182857142857,badm
CA-CF1,30,3649.1881,2,3710.235,19,9.080263157894738,3324.3391578947367,24,19,0.20833333333333337,417,452,FALSE,8.751050599520383,0.983546352185239,1.0977183514304798,8.073425,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-CF1_FLUXNET_2007-2008_v1.3_r1.zip,10.17190/AMF/2229375,1.0839328537170263,FALSE,FALSE,FALSE,3,178.60399999999998,273.396,238.39600000000002,bio12
CA-CF2,30,4963.8835,4,5143.8295,28,9.194178571428573,3367.709142857143,48,28,0.41666666666666663,417,452,TRUE,11.903797362110312,0.9650171141947844,1.4739644338135072,10.98204314159292,FALSE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-CF2_FLUXNET_2008-2011_v1.3_r1.zip,10.17190/AMF/3027323,1.0839328537170263,FALSE,FALSE,FALSE,12,309.191,142.80900000000003,107.80900000000003,bio12
CA-Ca1,30,1315.8228666666666,14,1338.2473571428573,5,4.1672,1525.3776,168,5,0.9702380952380952,1692,1369,FALSE,0.7776730890464932,0.9832433889321728,0.8626210760317096,0.9611562210859508,TRUE,FALSE,AmeriFlux,AMF,v1.3,AMF_CA-Ca1_FLUXNET_1997-2010_v1.3_r1.zip,10.17190/AMF/2007163,0.8091016548463357,FALSE,FALSE,FALSE,162,43.83555555555556,1325.1644444444444,1648.1644444444444,badm
