site_id,location_lat,location_long,diff,axis,biomass_percentile
US-Rws,43.1675,-116.7132,39.88947297058105,nee,67.2
US-SD1,41.2048,-86.0296,209.28489517211915,nee,2.8400000000000003
US-SD2,41.1785,-85.9977,1.3416192077636708,nee,43.08
US-Seg,34.3603,-106.7003,-2.9625604095458993,nee,33.76
US-Ses,34.335,-106.7448,0.7740395904541018,nee,62.03999999999999
US-SHC,39.4315,-120.2398,18.720166796875006,nee,63.75999999999999
US-Slt,39.9138,-74.596,90.22501547241211,nee,61.63999999999999
US-Sne,38.0369,-121.7547,98.43270068359375,nee,80.47999999999999
US-Snf,38.0402,-121.7272,388.82320068359377,nee,42.68
US-SP1,29.7381,-82.2188,280.70717651367187,nee,37.36
US-SRC,31.9083,-110.8395,33.25296769104004,nee,21.36
US-SRG,31.7894,-110.8277,-12.438232308959961,nee,25.759999999999998
US-SRM,31.8214,-110.8661,5.164767691040041,nee,21.36
US-SRS,31.8173,-110.8508,143.95236769104005,nee,21.36
US-SSH,40.6658,-77.9041,303.64568045043944,nee,81.76
US-Sta,41.3966,-106.8024,280.9689266052246,nee,46.08
US-StJ,39.0882,-75.4372,-35.45385457763672,nee,65.28
US-Syv,46.2421,-89.3459,-20.17221273803711,nee,24.12
US-TaS,25.1908,-80.6391,307.31404193115236,nee,71.72
US-TKs,68.6337,-149.5769,5.015623303222654,nee,90.28
US-Ton,38.4309,-120.966,-31.776201274414063,nee,32.68
US-Tw1,38.1074,-121.6469,535.3982006835937,nee,80.47999999999999
US-Tw3,38.1152,-121.6469,56.532300683593746,nee,60
US-Tw4,38.1027,-121.6413,437.31220068359374,nee,80.47999999999999
US-Tw5,38.1072,-121.6426,541.4632006835938,nee,80.47999999999999
US-Twt,38.1087,-121.6531,179.41820068359374,nee,80.47999999999999
US-Uaf,64.8663,-147.8555,71.84584326171876,nee,64.60000000000001
US-UC1,40.7536,-78.0056,616.9861132202149,nee,53.72
US-UC2,40.7559,-77.9998,348.68668045043944,nee,30
US-UiA,40.0646,-88.1961,411.90336810302733,nee,82.08
US-UiB,40.0628,-88.1984,799.1593681030273,nee,82.08
US-UiC,40.0628,-88.1961,69.39536810302734,nee,82.08
US-UiD,40.0646,-88.1985,320.4423681030273,nee,82.08
US-UiE,40.0629,-88.2033,275.32736810302737,nee,89.75999999999999
US-UiF,40.0665,-88.2015,790.5633681030273,nee,89.75999999999999
US-UiG,40.0629,-88.2009,237.00636810302734,nee,89.75999999999999
US-UMd,45.5625,-84.6975,372.44340208435057,nee,57.96
US-UTB,40.7848,-113.8299,72.78016723327637,nee,90.60000000000001
US-UTV,40.1266,-109.9546,474.55605423736574,nee,70.24000000000001
US-UTW,39.4453,-110.7288,551.3319913635254,nee,50.88
US-Var,38.4133,-120.9508,18.676968725585937,nee,27.439999999999998
US-Vcm,35.8885,-106.5322,-7.373447009277342,nee,23.44
US-Vcp,35.8641,-106.5965,262.26175299072264,nee,51.6
US-VT1,40.4064,-87.5214,-19.816960772705077,nee,54.92
US-VT2,40.4018,-87.5213,-0.473660772705081,nee,54.92
US-WCr,45.8058,-90.0795,329.62055990600584,nee,91.64
US-Whs,31.7438,-110.0522,0.2576421417236361,nee,50.8
US-Wjs,34.4258,-105.8617,100.1169499053955,nee,47.839999999999996
US-Wkg,31.7365,-109.9419,4.6466464385986335,nee,61.36000000000001
US-WPT,41.4646,-82.9962,138.90548443603515,nee,51.88
US-WT1,34.3674,-101.8154,8.366878668212891,nee,99.03999999999999
US-xAB,45.7624,-122.3303,36.7042467956543,nee,36.44
US-xAE,35.4106,-99.0588,-16.47861024169922,nee,89.64
US-xBL,39.0603,-78.0716,272.8419404296875,nee,8.36
US-xBN,65.154,-147.5026,-5.654532032470701,nee,71.52
US-xBR,44.0639,-71.2873,154.9871898498535,nee,73.11999999999999
US-xCL,33.4012,-97.57,47.69830002441407,nee,46.28
US-xCP,40.8155,-104.7456,63.545971099853524,nee,99.16
US-xDC,47.1617,-99.1066,15.797615722656253,nee,90.56
US-xDJ,63.881100000000004,-145.7514,-19.20982625061035,nee,37.12
US-xDL,32.5417,-87.8039,391.1390095825195,nee,88.08
US-xDS,28.125,-81.4362,29.221461083984366,nee,45.12
US-xGR,35.689,-83.5019,377.18231762695314,nee,45.08
US-xHA,42.5369,-72.1727,322.49364242553713,nee,70.56
US-xHE,63.8757,-149.2133,-23.937752054443358,nee,20.84
US-xJE,31.1948,-84.4686,-32.494725476074215,nee,54.52
US-xJR,32.5907,-106.8425,5.309770709228516,nee,63.88
US-xKA,39.1104,-96.6129,-14.77095905761719,nee,74.92
