axis,site_id,location_lat,location_long,n_measured_years,stat_measured_years,stat_full_34yr,paired_diff
nee,US-Ro6,44.6946,-93.0578,7,44.03924948828561,39.060001373291016,4.979248114994597
nee,US-Rpf,65.1198,-147.429,8,36.88221736252308,31.61534118652344,5.266876175999638
nee,US-RRC,37.3344,-77.2065,1,NA,67.10773468017578,NA
nee,US-Rwe,43.0653,-116.7591,3,16.27177135149638,27.956377029418945,-11.684605677922566
nee,US-Rwf,43.1207,-116.7231,6,21.422098954518635,27.956377029418945,-6.53427807490031
nee,US-Rws,43.1675,-116.7132,8,22.67809146642685,27.956377029418945,-5.278285562992096
nee,US-Seg,34.3603,-106.7003,16,18.422463804483414,18.8623104095459,-0.43984660506248474
nee,US-Ses,34.335,-106.7448,16,19.339364916086197,18.8623104095459,0.47705450654029846
nee,US-SHC,39.4315,-120.2398,2,NA,37.540283203125,NA
nee,US-Slt,39.9138,-74.596,17,61.733978930641626,59.29898452758789,2.434994403053736
nee,US-Sne,38.0369,-121.7547,4,28.559153974056244,28.40679931640625,0.1523546576499939
nee,US-Snf,38.0402,-121.7272,1,NA,28.40679931640625,NA
nee,US-SP1,29.7381,-82.2188,16,56.18469995632768,58.737823486328125,-2.5531235300004482
nee,US-SRC,31.9083,-110.8395,2,NA,24.90163230895996,NA
nee,US-SRG,31.7894,-110.8277,15,25.652779571215312,24.90163230895996,0.7511472622553512
nee,US-SRM,31.8214,-110.8661,20,22.011866500973703,24.90163230895996,-2.889765807986258
nee,US-SRS,31.8173,-110.8508,7,17.851170437676565,24.90163230895996,-7.050461871283396
nee,US-SSH,40.6658,-77.9041,3,53.999683698018394,62.82831954956055,-8.828635851542153
nee,US-Sta,41.3966,-106.8024,1,NA,36.54007339477539,NA
nee,US-StJ,39.0882,-75.4372,4,56.092209577560425,53.63750457763672,2.454704999923706
nee,US-Syv,46.2421,-89.3459,9,67.99921074840758,57.82821273803711,10.170998010370468
nee,US-TaS,25.1908,-80.6391,6,67.7600326538086,107.30545806884766,-39.54542541503906
nee,US-TKs,68.6337,-149.5769,3,19.1945694287618,29.282676696777344,-10.088107268015545
nee,US-Ton,38.4309,-120.966,22,38.53505491473797,37.63893127441406,0.896123640323907
nee,US-Tw1,38.1074,-121.6469,1,NA,28.40679931640625,NA
nee,US-Tw3,38.1152,-121.6469,2,NA,28.40679931640625,NA
nee,US-Tw4,38.1027,-121.6413,10,32.86634238958359,28.40679931640625,4.459543073177343
nee,US-Tw5,38.1072,-121.6426,1,NA,28.40679931640625,NA
nee,US-Twt,38.1087,-121.6531,6,34.75559731324513,28.40679931640625,6.348797996838883
nee,US-Uaf,64.8663,-147.8555,11,42.589855418963865,36.42315673828125,6.1666986806826145
nee,US-UC1,40.7536,-78.0056,4,49.608362674713135,62.71988677978515,-13.111524105072014
nee,US-UC2,40.7559,-77.9998,3,51.310139656066895,62.82831954956055,-11.518179893493652
nee,US-UiA,40.0646,-88.1961,7,54.04304388591221,45.558631896972656,8.484411988939556
nee,US-UiB,40.0628,-88.1984,10,47.96777415275574,45.558631896972656,2.409142255783081
nee,US-UiC,40.0628,-88.1961,12,46.73976067701976,45.558631896972656,1.1811287800471035
nee,US-UiD,40.0646,-88.1985,6,53.71862689654033,45.558631896972656,8.159994999567672
