site_id,cancellation_ratio
CZ-wet,1.9171282688459668
CZ-Lnz,2.5087632076492277
CZ-BK1,1.6972247684534367
CH-Dav,1.4958958096809878
CD-Ygb,6.744397399129776
BE-Vie,2.2773365767955323
BE-Maa,6.447183916195635
BE-Lon,12.66734613832637
BE-Dor,4.616139219686132
BE-Bra,5.4858560621711066
VU-Coc,8.699160228787644
ML-Kem,8.350160916979537
KE-Mkt,4.1775577948189895
KE-Kpt,7.475201243310678
ID-JOP,2.2381596607823537
CR-AqC,1.6582772063234938
CN-Sb2,3.7789799366583647
CN-Sb1,3.7789799366583647
BW-Gum,6.29334829257268
BJ-Nhu,2.296028905637312
BJ-Db1,1.4849399352903108
BJ-Bfg,2.296028905637312
ZM-Mon,5.534430957953998
UK-HpF,3.7986291588807757
UK-HgF,4.345174360670897
UK-Gwr,1.7735281425250906
UK-Gnn,1.9406158024715385
UK-GaB,1.7538022616641875
UK-Cvn,6.381793391813914
UK-CCr,2.4930000851689784
UK-BnB,1.9406158024715385
SN-Nkr,48.67092580288111
SN-Dhr,27.347974348982067
SE-Trb,2.1805390009405667
SE-St1,1.7660123379160122
SE-Srj,2.1805390009405667
SE-Ros,2.1805390009405667
SE-Hmr,2.1805390009405667
SE-HfM,2.1805390009405667
SD-Dem,40.93324090586912
RU-Fyo,1.3650734845832835
RU-Fy4,1.3201637112883249
RU-Fy2,1.3650734845832835
RU-Che,3.3115013202615415
RU-Ch2,3.3115013202615415
PA-SPs,1.4344112409959942
PA-SPn,1.4344112409959942
NO-Ikr,1.7642969825914725
NO-Fns,1.8643672985407065
NO-And,2.2942877367989696
NL-Vkp,3.4901866207928838
NL-Hrw,3.4901866207928838
IT-SRo,3.234007954883819
IT-Ro2,2.547082275989196
IT-Ro1,2.547082275989196
IT-PT1,3.582160520503647
IT-NiG,1.3812131748848557
IT-MtP,1.5802041653459677
IT-MtM,1.5802041653459677
IT-Lav,1.5868328785090717
IT-Cpz,3.091162841746879
IT-CA3,2.3607415349018486
IT-CA2,2.3607415349018486
